@relation 'xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-14,16-17,19-20'

@attribute noc numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.160839,83.558824,0
0,0.220497,11.195652,0
0,0.75,0,0
0,0.5,0,0
0,0.30662,28.414634,0
1,0.308824,13.941176,0
0,0.75,0,0
0,0.75,0,0
0,0.75,0,0
0,0.5,3.333333,1
0,0.625,2.75,0
4,0.518519,7,0
0,0.666667,0,0
0,1,0,0
0,0.666667,19,0
0,0.571429,4.571429,0
0,0.316667,7.083333,0
0,0.2125,49.882353,0
7,0.180556,37.5625,0
1,0.355263,14.75,1
0,0.361111,116.833333,0
0,0.75,4.5,0
0,0,0,0
0,0.263889,21.1,0
0,0,0,0
0,0.5,0,0
0,0.5,4.666667,0
0,0.5,53.666667,1
1,0.383333,11.8,0
0,0.75,3,0
0,0.555556,4.555556,0
0,0.31,26.1,1
0,0.555556,4.555556,0
0,1,3,0
0,0.75,0,0
0,1,5,0
1,0.325,10.3,1
4,0.337931,21.827586,1
0,0.487179,0,0
2,0.333333,13.5,0
0,0.119298,19.844444,1
0,0.125926,10.944444,0
0,0.232323,21.181818,1
1,0.611111,30.333333,1
0,0.5,0,0
6,0.466667,18.222222,0
0,0.545455,4.545455,0
0,0.455882,0,1
52,0.456522,9.826087,0
0,0.75,0,0
0,0.538462,4.538462,0
0,0.233083,28.5,0
0,0.458333,98.833333,0
0,0.3,0,0
1,0.227273,25.772727,0
0,0.571429,4.571429,0
0,0.25,100.142857,0
0,0.888889,51,0
0,0.5,0,0
0,0.40625,143,1
0,0.4,0,0
0,0.308571,4.714286,0
0,0.5,0,0
0,0.333333,19.666667,0
0,0.46875,0,0
0,0.5,18.666667,0
0,0.342857,5,0
0,0.4,34.133333,0
0,0.571429,118,0
0,0.666667,4.666667,0
2,0.106971,22.301887,1
0,0.75,0,0
0,0.275,72.5,0
0,0,0,0
0,0.545455,4.545455,0
0,1,0,0
0,1,0,0
0,0.666667,4.666667,0
0,0.135526,130.716049,1
0,0.201149,85.366667,0
0,0.348485,0,0
0,1,0,0
0,1,0,0
0,0.75,0,0
0,0.214286,12.027778,0
0,0,0,0
0,0.75,0,0
0,0.397059,4.647059,0
0,0.75,0,0
3,0.1375,21.492308,1
1,0.611111,38.166667,1
0,0.5,13.5,1
0,0.317647,6.235294,0
0,0.428571,4.571429,0
0,0.388889,12,0
0,0.188889,86,0
0,0.6,4.6,0
0,0.333333,7.333333,0
0,0.333333,39.166667,1
1,0.44,50.6,0
0,0.5,24.25,1
0,0.5,6.5,0
