@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-4,6-11,13-14,18,20,22,24-26,28,30,33-43,45,47,49-55,57-61'

@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,2,1,0,0,0.112667,0,0,1,0,0,0,0,0,18,clean
0,0,0,1,0,0,0.042456,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.123094,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.101164,0,6,2,0,0,0,0,0,35,clean
0,0,0,0,0,0,0.083567,0,0,2,0,0,0,0,0,15,clean
0,0,0,0,0,0,0.073134,0,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,2,0,0,0.180807,0,0,2,0.001472,0,0,0,0,21,buggy
0,0,0,1,0,0,0.145898,0,0,1,0,0,0,0,0,9,clean
0,0,4,0,0,0,0.060687,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,0,0.358735,0,0,1,0,0,0,0,0,9,clean
3.05,0.001257,9,0,0,0.002571,0.387965,0.010089,4,3,0,0,0,0,0,48,clean
0,0,0,0,0,0,0.24008,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.028285,0,2,2,0,0,0,0,0,39,clean
0,0,0,0,0,0,0.044092,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,0,0.11495,0,0,2,0,0,0,0,0,31,clean
0,0,0,1,0,0,0.246347,0,0,3,0,0,0,0,0,37,buggy
1.01,0,1,0,0,0,0.199952,0,1,3,0,1.01,0,0,0.001152,35,clean
0,0,0,0,0,0,0.157212,0,0,2,0.002256,0,0,0,0,24,clean
0,0,0,0,0,0,0.206585,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,16,clean
0,0,0,0,0,0,0.174739,0,0,1,0,0,0,0,0,9,clean
0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,11,clean
0,0,0,0,0,0,0.136638,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.016145,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.27076,0,0,1,0,0,0,0,0,11,clean
0,0,0,0,0,0,0.073134,0,0,3,0,1.01,0,0,0.00406,17,clean
0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,11,clean
0,0,0,0,0,0,0.251675,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,0,0.135853,0,0,1,0,0,0,0,0,11,clean
0,0,1,0,0,0,0.2724,0,0,1,0,0,0,0,0,18,buggy
0,0,0,22,0,0,0.280119,0,0,1,0.00885,0,0,0,0,9,buggy
1.01,0.002193,2,0,0,0.003374,0.739952,0,0,1,0,0,0,0,0,0,buggy
0,0,6,0,0,0,0.064392,0,0,1,0,0,0,0,0,9,clean
0,0,2,0,0,0,0.233481,0,0,1,0,0,0,0,0,18,clean
0,0,2,0,0,0,0.33686,0.003039,1,2,0,0,0,0,0,19,clean
0,0,0,2,0,0,0.142869,0,1,3,0,0,0,0,0,16,clean
0,0,9,0,0,0,0.089145,0.010266,1,2,0,0,0,0,0,16,buggy
0,0,0,0,0,0,0.048688,0,0,1,0,0,0,0,0,27,clean
0,0,0,0,0,0,3.49127,0,2,2,0,0,0,0,0,39,clean
0,0,0,0,0,0,0.048688,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.159497,0,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0,0.002265,0.177842,0,0,3,0,1.01,0,0,0.00406,17,clean
0,0,0,0,0,0,0.26789,0,0,1,0,0,0,0,0,27,clean
0,0,8,0,0,0,0.064392,0,0,2,0,0,0,0,0,33,clean
0,0,0,0,0,0,0.176221,0,0,1,0,0,0,0,0,10,clean
0,0,0,0,0,0,0.074714,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.134047,0,0,2,0,0,0,0,0,39,clean
0,0,0,0,0,0,0.074362,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0.025024,3.6437,0,0,2,0,0,0,0,0,39,buggy
0,0,0,0,0,0,0.206049,0.018412,2,2,0,0,0,0,0,58,buggy
0,0,0,0,0,0,0.145898,0,2,3,0,0,0,0,0,55,clean
0,0,0,4,0,0,0.087698,0,2,2,0,0,0,0,0,39,clean
4.22,0.009005,19,0,0,0.011996,3.64623,0,0,1,0,0,0,0,0,9,buggy
0,0,0,0,0,0,0.069929,0,0,1,0,0,0,0,0,9,clean
0,0,0,0,0,0,0.033753,0,0,1,0,0,0,0,0,9,clean
