@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,8-9,11,13-14,18,21,23-28,30,33-39,41-42,46-47,49-55,57-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute WCHU_noc numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0.004517,0,0,1,1,0,0,0,1.01,4,0.01184,0,1.07,1,1,0,0,127,clean
0,0.014817,0,0,0,0,1,0,0,0,1,0,0,1.15,2,0,2,0,8,clean
0,0.024575,0,0,0,2,0,0,0,0,4,0,0,0,6,0,0,0,45,clean
0,0.347495,0,0,3,5,5,0,0,0,6,0,1.02,2.39,5,0,0,0.001409,94,buggy
0,0.01212,0,0,1,0,0,0,0,0,3,0,1.02,0,1,0,0,0.001409,73,clean
5,0.147577,0,0.001194,8,3,2,0.002311,0,3.03,2,0.006412,1.02,4.43,8,1,0,0.001409,27,buggy
1,0.057262,0,0.00267,12,2,0,0,0,0,1,0,0,6.51,13,1,0,0,9,buggy
4,0.007528,0.010809,0,1,2,0,0,1.01,0,1,0,0,0,4,0,1,0,8,clean
0,0.046309,0.000472,0.000875,2,1,1,0,1.02,0,2,0,0,2.31,6,0,2,0,10,buggy
0,0.019258,0,0,3,0,1,0,0,0,2,0,0,0,3,0,0,0,10,buggy
1,0.002797,0,0,1,0,0,0,0,0,6,0,1.02,0,1,0,0,0.001409,79,clean
0,0.043239,0,0.001721,7,2,0,0,0,1.01,4,0.000358,0,1.08,8,0,0,0,45,buggy
0,0.014835,0.000634,0,0,0,0,0,1.01,0,5,0,1.01,5.81,10,1,0,0.004395,42,clean
0,0.030785,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,33,clean
0,0.005436,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,73,clean
0,0.003978,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,82,clean
0,0.006098,0,0.000695,1,0,0,0,0,0,1,0,0,0,1,0,0,0,17,clean
0,0.023178,0,0,2,0,2,0,0,0,5,0,1.02,0,2,0,0,0.001409,94,clean
0,0.00703,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,8,clean
10,0.231619,0.006522,0.001543,10,0,3,0.001038,1.01,0,2,0,0,2.73,27,4,3,0,36,buggy
0,0.014268,0,0.001311,4,3,1,0,0,1.01,3,0.000798,1.02,0,4,0,0,0.001409,38,clean
