@relation synapse-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,3,1,11,0.7,0.5,0,0.3,0,96.166667,39,0
3,0,4,0,5,0.666667,1,0,0.666667,0,6.25,1,0
2,0,6,0,11,0.846154,0.923077,0,0.416667,0,81,17,0
1,0,0,4,3,0,1,0,0.5,0,24.5,7,0
1,0,0,8,1,2,0,0,1,0,0,1,0
2,0,2,1,3,0.555556,1,0,0.625,0,33,4,1
2,0,65,3,10,0.903743,0.454545,0,0.252101,0,23.611111,7,0
3,0,1,5,2,2,0,0,0.75,0,3.5,1,0
1,1,20,1,9,0.857143,0.666667,0,0.357143,0,26.125,14,0
1,0,0,1,0,0.722222,1,0,0.428571,0,13,5,0
1,0,0,10,2,2,0,0,1,0,0,1,0
3,0,8,2,5,0.833333,0.666667,0,0.5,2,16.2,6,0
2,0,4,0,4,0.666667,1,0,0.666667,0,5.5,1,0
1,11,20,11,14,0.685714,0.8,0,0.333333,0,21.25,5,0
1,0,9,1,14,1,0.777778,1,0.32,0,35.833333,14,0
1,0,0,0,0,2,0,0,1,0,3,0,0
2,0,22,3,3,0.791667,0.666667,1,0.277778,0,3.888889,1,0
2,0,203,3,12,0.924242,0.916667,2,0.210227,1,13.695652,13,0
2,0,13,0,11,0.866667,0.333333,0,0.4,1,16,4,0
1,0,28,1,10,0.833333,0.666667,1,0.232143,0,14.666667,3,0
2,0,43,2,15,0.825397,0.777778,0,0.223214,0,29.933333,10,1
1,0,105,4,12,0.87037,0.888889,3,0.222222,0,13.210526,7,0
1,0,20,1,8,0.809524,0.666667,1,0.238095,0,9.625,2,0
1,0,66,1,24,0.666667,0.5,0,0.25,0,32.538462,19,0
2,0,8,0,10,0.916667,0.666667,0,0.416667,0,14.6,3,0
3,0,4,0,5,0.666667,1,0,0.666667,0,6.25,1,0
1,0,0,2,5,0.25,0,0,0.6,0,24.4,5,0
1,0,0,8,3,2,0,0,0,0,6,0,0
1,0,24,0,21,0.885714,0.8,0,0.261905,0,28.75,2,0
1,0,0,11,3,2,0,0,1,0,0,1,0
2,0,13,0,13,0.866667,0.333333,0,0.4,1,14.833333,4,0
1,0,172,13,17,0.824885,0.714286,1,0.225806,0,16.3125,8,0
2,0,43,2,16,0.873016,0.666667,0,0.22449,0,29,23,1
3,0,11,1,9,0.866667,0.666667,0,0.466667,1,32.833333,9,0
1,0,1,8,2,2,0,0,0.75,0,0,1,0
2,0,6,0,14,0.8,0.8,0,0.416667,0,39.2,5,0
2,7,8,7,8,0.75,0.5,0,0.3125,1,13.2,3,0
3,0,13,0,10,1.04,0.8,0,0.4,2,10.166667,1,0
1,11,1,11,4,2,0,0,0.666667,0,17,5,0
1,0,4,1,7,0.666667,1,1,0.5,0,6.75,2,0
1,0,6,6,2,2,0,0,0.666667,0,0,1,0
1,0,0,1,12,0,1,0,0.75,0,37,4,0
2,0,1,4,13,0.75,0.75,1,0.35,0,29.166667,12,0
2,0,6,0,11,0.833333,0.666667,0,0.416667,0,41.6,14,1
1,1,4,2,16,0.833333,0.5,0,0.444444,0,46.5,1,0
1,0,13,1,19,0.7,0.5,0,0.28,0,19.166667,8,0
3,0,76,10,13,0.868056,0.888889,0,0.3,3,20.647059,24,0
1,0,11,1,6,0.7,0.2,0,0.266667,0,23.285714,4,0
2,0,4,2,6,0.777778,0.666667,0,0.444444,0,16,5,0
3,0,13,0,10,0.866667,0.333333,0,0.4,1,13,3,0
1,0,1081,51,9,2,0,0,0.139265,0,0,1,0
2,7,0,7,6,0.703704,0.666667,0,0.277778,0,11,2,0
2,0,63,3,10,0.830357,0.875,2,0.255102,1,18.133333,12,1
2,0,1,4,6,0.733333,0.666667,1,0.4,1,7.666667,1,0
1,0,30,0,24,0.9375,0.75,0,0.267857,0,29,2,0
5,0,3,2,5,2,0,0,0.5,0,5,1,0
1,0,1,5,2,2,0,0,0.666667,0,0,1,0
1,0,0,4,3,0.25,1,0,0.6,0,56.2,9,0
