@relation 'synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
1,0,0.375,0
0,0,0.296296,1
0,0,0.555556,0
0,0,0.75,0
0,0,0.3,0
0,0,0.75,1
0,1,0.244898,1
0,0,0.555556,0
0,0,0.666667,0
0,0,0.428571,0
7,0,0.283333,0
0,0,0.583333,0
0,0,0.75,0
0,0,0.7,0
0,0,0.25,0
0,0,1,0
0,1,0.194286,0
0,0,0.5,0
0,0,0.204545,0
0,0,0.5,0
0,0,0.6,0
0,1,0.375,0
0,0,1,0
0,1,0.244898,1
0,0,0.277778,1
0,0,0.2,0
0,0,0.3125,0
0,0,0.475,0
0,0,0.666667,0
0,0,1,1
0,0,0.458333,0
0,0,0.75,0
0,0,0.5,0
0,0,0.5,0
0,0,0.555556,0
0,0,0.555556,0
0,4,0.134615,1
0,0,0.555556,1
17,0,0.45,0
0,2,0.3,0
0,1,0.244898,1
0,0,1,0
0,0,0.333333,0
2,0,0.666667,0
1,0,0.5,0
0,0,0.464286,0
0,0,0.666667,0
0,1,0.333333,1
0,0,0.138258,0
0,1,0.261905,1
0,0,0.555556,1
0,0,0.666667,0
0,0,0.5,0
0,2,0.097917,0
0,0,0.238095,0
0,2,0.238636,1
0,0,0.4,0
0,0,0.666667,0
0,0,1,0
0,0,0.6,0
0,0,0.333333,1
3,0,0.333333,0
0,1,0.5,0
0,1,0.4,0
0,0,0.666667,1
0,0,1,0
0,0,0.833333,0
0,1,0.392857,0
0,0,0.555556,0
0,0,0.222222,1
0,1,0.25,1
0,1,0.144928,1
0,0,0.666667,0
7,0,0.5,0
0,0,0.666667,0
0,0,0.666667,0
0,0,0.6,0
0,0,0.333333,0
0,0,0.555556,1
0,0,1,1
0,0,0.314286,1
0,0,0.5,1
0,0,0.555556,0
0,1,0.5,1
0,0,0.3,0
0,0,0.555556,0
0,0,0.666667,0
0,0,0.2,1
0,0,0.5,1
0,0,0.5,1
0,0,0.333333,1
0,0,0.777778,0
0,0,0.361111,0
0,0,0.666667,0
0,0,0.75,0
0,1,0.333333,0
0,0,0.75,0
0,0,0.555556,1
0,0,0.75,0
0,0,0.75,0
0,0,0.555556,1
0,0,0.666667,0
0,0,0.555556,0
0,1,0.333333,1
0,0,0.75,0
0,1,0.270833,0
0,0,0.160714,1
0,0,0.555556,0
0,0,0.625,0
0,0,0.555556,0
0,0,1,0
0,0,0.555556,0
0,0,0.555556,0
0,0,0.242188,1
0,0,0.38,0
0,0,0.555556,0
0,0,0.3,1
0,0,0.3,0
0,0,0.377778,1
0,2,0.276786,1
0,0,0.4375,0
0,1,0.404762,1
0,0,0.666667,0
0,0,0.196429,1
0,0,0.30303,0
0,0,0.5,1
0,0,0.388889,0
1,0,0.666667,0
0,2,0.316667,1
0,0,0.666667,0
0,0,0.555556,0
0,0,0.555556,0
0,0,0.28,0
0,0,0.666667,0
0,1,0.244898,1
0,0,0.666667,1
0,0,0.666667,0
0,0,0.666667,0
0,0,0.555556,0
0,0,0.583333,0
0,2,0.223958,1
0,0,0.333333,0
0,0,0.375,1
0,0,0.35,1
0,2,0.255102,1
0,0,0.75,1
17,0,0.380952,0
0,0,0.5,0
0,0,0.75,0
0,0,0.666667,0
0,0,0.666667,0
0,0,0.555556,0
0,0,0.555556,0
0,3,0.227941,1
0,0,0.666667,0
0,0,1,0
0,0,0.666667,0
0,0,0.833333,0
0,2,0.5,0
0,0,0.416667,0
0,0,0.555556,0
0,0,0.5,0
0,2,0.25,0
0,0,0.666667,0
0,0,1,0
0,0,0.666667,1
0,0,0.666667,0
0,2,0.4,1
0,0,0.258929,0
0,0,0.555556,0
0,0,1,1
0,0,0.5,0
0,0,0.5,0
0,0,0.270833,1
0,0,0.4,0
0,0,0.75,1
0,2,0.172414,1
0,0,0.625,0
0,0,0.777778,0
0,0,0.428571,0
0,1,0.28,0
0,0,0.416667,0
0,1,0.333333,0
0,1,0.270833,0
0,1,0.266667,0
0,0,0.5,1
0,0,0.181818,0
0,0,0.3125,1
0,0,0.297143,1
0,0,0.3,1
0,0,0.361111,0
0,1,0.3,0
2,0,0.678571,0
0,0,0.6,0
17,0,0.346939,1
0,0,1,0
0,0,0.666667,0
0,1,0.288889,0
7,0,0.666667,0
0,0,0.566667,0
0,0,1,0
0,2,0.288889,0
0,0,0.75,0
2,0,0.255102,0
0,0,0.22619,0
0,0,0.164835,0
0,0,0.555556,0
0,0,0.555556,0
0,0,0.666667,0
0,0,0.555556,0
0,0,1,0
0,0,0.5,0
0,1,0.190476,0
0,1,0.185714,0
0,0,0.371429,1
0,0,0.666667,0
0,0,0.2,1
0,0,0.666667,0
0,0,0.5,0
0,0,0.375,0
0,0,0.291667,0
0,1,0.314286,0
