@relation 'synapse-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0.7,0.5,0,0.3,0
0,0.666667,1,0,0.666667,0
0,0.846154,0.923077,0,0.416667,0
0,0,1,0,0.5,0
0,2,0,0,1,0
0,0.555556,1,0,0.625,1
0,0.903743,0.454545,0,0.252101,0
0,2,0,0,0.75,0
1,0.857143,0.666667,0,0.357143,0
0,0.722222,1,0,0.428571,0
0,2,0,0,1,0
0,0.833333,0.666667,0,0.5,0
0,0.666667,1,0,0.666667,0
11,0.685714,0.8,0,0.333333,0
0,1,0.777778,1,0.32,0
0,2,0,0,1,0
0,0.791667,0.666667,1,0.277778,0
0,0.924242,0.916667,2,0.210227,0
0,0.866667,0.333333,0,0.4,0
0,0.833333,0.666667,1,0.232143,0
0,0.825397,0.777778,0,0.223214,1
0,0.87037,0.888889,3,0.222222,0
0,0.809524,0.666667,1,0.238095,0
0,0.666667,0.5,0,0.25,0
0,0.916667,0.666667,0,0.416667,0
0,0.666667,1,0,0.666667,0
0,0.25,0,0,0.6,0
0,2,0,0,0,0
0,0.885714,0.8,0,0.261905,0
0,2,0,0,1,0
0,0.866667,0.333333,0,0.4,0
0,0.824885,0.714286,1,0.225806,0
0,0.873016,0.666667,0,0.22449,1
0,0.866667,0.666667,0,0.466667,0
0,2,0,0,0.75,0
0,0.8,0.8,0,0.416667,0
7,0.75,0.5,0,0.3125,0
0,1.04,0.8,0,0.4,0
11,2,0,0,0.666667,0
0,0.666667,1,1,0.5,0
0,2,0,0,0.666667,0
0,0,1,0,0.75,0
0,0.75,0.75,1,0.35,0
0,0.833333,0.666667,0,0.416667,1
1,0.833333,0.5,0,0.444444,0
0,0.7,0.5,0,0.28,0
0,0.868056,0.888889,0,0.3,0
0,0.7,0.2,0,0.266667,0
0,0.777778,0.666667,0,0.444444,0
0,0.866667,0.333333,0,0.4,0
0,2,0,0,0.139265,0
7,0.703704,0.666667,0,0.277778,0
0,0.830357,0.875,2,0.255102,1
0,0.733333,0.666667,1,0.4,0
0,0.9375,0.75,0,0.267857,0
0,2,0,0,0.5,0
0,2,0,0,0.666667,0
0,0.25,1,0,0.6,0
