@relation poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,90,1,5,38,0.838141,0.9375,9,0.275,1,18.25,0.95,1
1,14,164,31,4,18,0.842105,1,0,0.2375,0,5.95,1.05,0
1,0,86,4,5,16,0.673913,0.833333,3,0.183333,0,17.541667,1.7083,1
2,0,72,1,4,14,0.933333,0.333333,0,0.46875,1,14.3125,0.875,1
2,0,4,2,4,7,0.8,0.6,0,0.375,1,16.875,0.625,1
2,0,49,2,3,9,0.85,0.5,0,0.522727,1,8.454545,0.8182,1
3,0,1,5,1,3,2,0,0,0.555556,0,7,1.3333,0
2,0,20,2,19,4,0.821429,1,4,0.666667,1,31.875,0.875,0
1,0,6,2,9,11,0.787879,0,1,0.375,0,11.5,1,1
2,1,0,7,5,6,0.357143,1,0,0.375,1,33.5,1.625,1
1,0,88,1,1,14,0.683333,0,1,0.21875,0,14.375,1.125,1
2,0,89,3,7,22,0.721088,0.857143,2,0.233766,1,17.636364,1.0455,1
2,0,258,4,4,23,0.758333,0.8,0,0.3,1,14.4,1.76,1
2,0,611,1,5,60,0.953972,0.5,14,0.266129,1,20.580645,0.9677,1
2,0,79,4,3,13,0.785714,0.666667,0,0.483333,1,15.533333,1.2,1
2,0,0,1,5,18,0.684211,0.833333,4,0.36,1,14.75,0.9,1
1,0,0,0,0,0,2,0,0,0,0,0,0,0
2,2,0,2,3,10,0,1,1,0.55,1,4.2,0.9,1
2,0,54,2,3,10,0.818182,0.5,0,0.5,1,8.583333,0.8333,1
1,0,0,6,28,79,0.925951,0.4375,3,0.144928,0,14.322581,1.6559,1
1,0,0,6,1,1,2,0,0,1,0,0,1,0
3,0,130,3,32,10,1.047118,0.019048,2,0.161538,2,47,2.4,1
1,0,89,4,30,45,0.878216,0.727273,4,0.140162,0,32.703704,2.2963,1
2,0,479,2,4,35,0.898649,0.9375,6,0.335135,1,12.684211,0.9211,1
2,0,209,3,4,24,0.846154,0.9,3,0.346154,1,12.407407,0.8889,1
2,0,0,2,6,6,0.821429,1,6,0.583333,1,38.5,1.375,0
1,0,6,4,1,4,2,0,0,0.583333,0,0,1,0
2,0,46,4,3,10,0.818182,0.5,0,0.4,1,9.416667,1,1
2,3,6,4,5,4,2,0,0,0.6875,0,14.25,1.25,1
2,0,312,1,5,42,0.860465,0.944444,8,0.327273,1,19.795455,0.9545,1
1,2,0,2,3,4,0.5,1,2,0.458333,0,16.5,1.1667,0
2,0,54,2,3,10,0.818182,0.5,0,0.5,1,8.583333,0.8333,1
2,0,21,2,5,18,0.685185,0.833333,2,0.225564,1,13.631579,0.9474,1
2,0,43,2,3,9,0.8,0,0,0.418182,1,15.363636,1.0909,1
1,132,105,155,0,12,2,0,0,0.483333,0,4.6,0.8,1
2,0,46,1,3,11,0.777778,0.333333,0,0.333333,1,14.230769,1.0769,1
1,0,53,1,2,6,1.033333,1,0,0.157143,0,20.636364,1.6364,0
2,0,46,2,3,10,0.818182,0.5,0,0.4,1,9.5,1,1
1,2,42,15,0,12,0.818182,0,0,0.708333,0,3.833333,0.8333,0
1,0,0,5,1,20,0.976667,0.133333,1,0.253968,0,5.571429,0.9524,1
1,0,6,6,0,4,2,0,0,1,0,0,1,0
1,0,7,2,3,4,0.75,1,0,0.55,0,36.666667,2,1
3,0,0,3,1,1,2,0,0,1,0,7,0,0
1,0,0,1,1,4,0.222222,1,1,0.4375,1,30.5,2.5,0
2,0,46,1,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.666667,0.7778,1
2,0,6,3,7,12,0.672727,0,0,0.316667,1,11.416667,1,1
2,0,0,0,3,4,0.5,1,0,0.5,1,26.2,4.8,0
2,0,43,1,6,15,0.833333,0.666667,0,0.333333,1,15.8,1,0
1,0,15,1,0,5,2,0,0,0.291667,0,43,0.8333,0
1,0,0,4,3,4,0.333333,0,1,0.47619,0,29,2.1429,0
3,0,10,1,1,4,1.25,0,0,0.5,1,4,0.4,1
1,0,88,1,1,14,0.683333,0,1,0.21875,0,14.375,1.125,0
3,0,0,0,0,85,0.5,0.5,0,0.075456,2,32.976471,0.9882,1
1,2,3,11,1,10,0.333333,1,0,0.34,0,5.8,1,0
2,0,111,2,3,16,0.776471,0.8,0,0.458333,1,11.555556,0.8889,1
1,0,78,2,1,16,0.533333,1,0,0.291667,0,9.5,1.625,0
2,0,57,3,4,12,0.769231,0.666667,0,0.482143,1,12.714286,0.8571,1
2,0,258,7,4,23,0.758333,0.8,0,0.257143,1,14.36,1.76,1
1,1,4,3,7,2,0.833333,1,0,0.416667,0,46.75,2,1
2,0,4,1,6,8,0.875,0.5,0,0.35,1,32.111111,1.3333,1
1,0,0,1,3,2,0,0,1,0.666667,0,5.5,0.5,0
2,0,55,2,3,11,1.1,0.333333,0,0.272727,0,7.454545,0.8182,1
1,4,15,5,19,3,2,0,0,0.333333,0,30.833333,2.3333,1
2,0,87,3,5,12,0.871429,0.8,0,0.516667,1,14,1,1
2,0,66,4,4,15,0.85,0.4,0,0.313725,1,17.470588,1.2353,1
2,0,21,1,2,7,1.166667,0.5,0,0.428571,1,3.285714,0.7143,1
2,2,106,4,4,15,0.760417,0.5,0,0.485294,1,27.058824,1.5294,1
2,0,5,2,3,8,0.740741,1,0,0.228571,1,21,1.2,0
1,0,1,1,9,2,2,0,0,0.625,0,86.5,6,0
2,0,46,2,3,10,0.818182,0,0,0.4,1,9.5,1,1
1,0,0,2,0,0,2,0,0,0,0,0,0,0
3,0,0,2,2,6,0.888889,0.333333,0,0.52381,1,15.714286,0.7143,1
1,0,28,0,11,6,0.6875,1,0,0.333333,0,45,3.2222,1
1,0,0,1,3,5,0.166667,1,2,0.428571,0,11.285714,1,1
2,0,9,5,2,5,0.5,1,1,0.342857,0,5.714286,0.7143,0
1,0,0,2,1,38,0.923684,0,1,0.302564,0,4.74359,1.0256,0
1,0,1,2,6,2,2,0,0,0.5,0,67.5,1,0
2,0,54,4,2,8,0.924242,1,1,0.3125,1,17,1.3333,0
2,0,281,0,5,31,0.940909,0.545455,0,0.230415,1,16.580645,1.0645,0
1,0,0,1,0,0,2,0,0,0,0,0,0,0
2,0,66,2,3,11,0.805556,0.666667,0,0.4,1,9.538462,0.8462,1
2,0,69,4,4,12,0.74359,0.666667,0,0.321429,1,12.214286,1.1429,1
2,0,74,5,4,13,0.75,0.75,0,0.294118,1,11.941176,1.1176,1
1,0,0,1,3,0,0.333333,1,0,0.5,0,25.666667,2.3333,0
1,0,9,2,3,11,0.25,1,0,0.454545,0,7.181818,0.6364,0
2,0,114,1,4,18,0.789474,0.833333,0,0.45,1,16.55,0.9,1
2,0,0,1,5,22,0.818182,0.636364,5,0.291667,1,16.166667,0.9167,1
2,0,169,5,3,20,0.946779,0.352941,0,0.443182,1,12.590909,0.9091,1
1,0,0,1,1,5,0.583333,1,2,0.4,0,7,0.8,0
1,0,0,1,3,7,0.5,1,1,0.511111,0,24.555556,1.1111,1
3,0,10,1,1,5,1.25,0,0,0.55,1,4.4,0.2,1
1,4,6,4,1,1,2,0,0,0.666667,0,2.75,0.75,0
3,0,155,6,5,28,0.975369,0.238095,4,0.34,1,18.333333,0.9333,1
1,0,0,9,0,1,2,0,0,1,0,0,1,0
2,0,45,3,3,8,1.111111,0,0,0.525,1,6.8,0.8,1
2,0,196,1,5,34,0.909317,0.565217,6,0.277778,1,19.027778,0.9444,1
2,0,77,3,3,11,0.861538,0.8,0,0.517857,1,13.785714,1,1
1,0,66,15,0,10,1.090909,1,0,0.27381,0,40.083333,2.5833,1
2,0,54,2,3,10,0.981818,0.2,0,0.5,1,8.583333,0.8333,1
2,0,36,1,3,7,1.125,0,0,0.555556,1,6.888889,0.7778,1
2,0,6,5,5,9,0.875,0.333333,0,0.355556,1,18.666667,1.1111,0
2,0,219,2,5,21,0.850649,0.857143,0,0.347826,1,13.695652,1.5652,1
2,0,69,4,4,12,0.74359,0.666667,0,0.321429,1,12.142857,1.1429,1
2,0,100,2,6,28,0.75,0.888889,3,0.221675,1,17.862069,1.0345,1
1,0,6,1,0,4,2,0,0,0.5,0,0,1,1
1,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,38,3,8,17,0.822917,0.666667,1,0.27451,1,23.294118,1.1765,0
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.333333,0.7778,1
1,0,0,10,0,9,0.25,1,0,0.311111,1,31.444444,1.8889,0
1,0,3,1,6,6,0.75,1,2,0.333333,0,16.833333,0.8333,0
2,0,175,1,2,20,0.630952,0,0,0.30303,1,20.409091,2.0909,1
2,0,106,2,4,25,0.753788,0.909091,7,0.18,0,18.04,1.32,1
1,3,325,10,1,22,1.04,0,0,0.544872,0,25.461538,1.9615,0
1,0,8,0,2,7,0.821429,0.083333,0,0.642857,0,13.625,0.625,1
3,0,0,3,1,5,2,0,0,0.466667,0,6.4,0.8,0
2,0,6,1,17,2,0.916667,0.666667,2,0.55,1,86.2,1.4,1
1,48,15,50,46,6,1.2,1,0,0.666667,0,152.5,0.8333,1
