@relation synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,1,13,1,9,0.75,0,0.375,0,31.571429,20,0
1,0,36,22,4,2,0,0.296296,0,0,1,1
2,0,3,0,11,2,0,0.555556,0,46.333333,10,0
2,0,1,0,7,2,0,0.75,0,9,1,0
2,0,14,2,8,0.831169,0,0.3,0,30.916667,30,0
1,0,0,1,12,0,0,0.75,0,37,4,1
1,0,20,1,13,0.571429,1,0.244898,0,67.75,26,1
3,0,3,0,7,2,0,0.555556,0,14.333333,3,0
3,0,1,3,3,2,0,0.666667,2,77,5,0
1,0,0,1,0,0.722222,0,0.428571,0,13,5,0
2,7,0,7,7,0,0,0.283333,0,16.2,3,0
1,0,10,2,9,1,0,0.583333,0,24,1,0
1,0,1,8,1,2,0,0.75,0,0,1,0
1,0,6,6,1,2,0,0.7,0,0,1,0
1,0,3,1,9,0.4,0,0.25,0,23,3,0
1,0,0,0,0,2,0,1,0,3,0,0
1,0,245,12,4,0.943333,1,0.194286,0,5.961538,4,0
3,0,4,3,8,2,0,0.5,0,46,10,0
1,0,231,2,0,2,0,0.204545,0,0,1,0
1,0,1,2,9,0.5,0,0.5,0,54,11,0
1,0,0,2,6,0.25,0,0.6,0,23.6,5,0
2,0,0,2,7,0.571429,1,0.375,0,26,15,0
1,0,0,2,0,0,0,1,0,5.333333,1,0
1,0,20,1,10,0.714286,1,0.244898,0,14.375,3,1
1,0,58,1,3,0.858333,0,0.277778,0,10.9375,9,1
1,0,13,1,4,0.8,0,0.2,0,8.333333,1,0
1,0,8,1,10,0.25,0,0.3125,0,23.2,6,0
1,0,9,7,1,0.666667,0,0.475,0,14.4,2,0
1,0,1,6,2,2,0,0.666667,0,0,1,0
1,0,0,12,3,2,0,1,0,0,1,1
1,0,15,10,1,2,0,0.458333,0,0,1,0
3,0,6,4,8,0.75,0,0.75,0,30.6,9,0
1,0,0,4,3,0,0,0.5,0,24.5,7,0
2,0,4,0,9,0.8125,0,0.5,0,60.2,22,0
3,0,3,0,12,2,0,0.555556,0,49.333333,9,0
3,0,3,1,1,1.5,0,0.555556,0,15,0,0
1,0,1172,9,30,0.941568,4,0.134615,0,20.471698,39,1
2,0,3,0,10,1.5,0,0.555556,0,69,12,1
1,17,10,17,7,1,0,0.45,0,24.8,5,0
1,0,29,8,7,0.769231,2,0.3,0,9.928571,10,0
1,0,20,1,13,0.714286,1,0.244898,0,17.75,5,1
1,0,1,6,0,1.692308,0,1,0,26,0,0
1,0,0,4,0,0.5,0,0.333333,0,42.75,4,0
2,2,1,2,12,2,0,0.666667,0,187.5,25,0
1,1,0,2,19,0.25,0,0.5,0,47,4,0
3,0,26,0,3,0.857143,0,0.464286,3,24.875,8,0
3,0,4,0,5,0.666667,0,0.666667,0,6.25,1,0
1,0,11,1,16,1.044444,1,0.333333,0,38.166667,13,1
1,0,1128,65,10,2,0,0.138258,0,0,1,0
1,0,20,1,10,0.714286,1,0.261905,0,57,31,1
4,0,1,0,4,2,0,0.555556,1,10.666667,1,1
3,0,2,0,10,0.666667,0,0.666667,0,54.75,16,0
1,0,0,0,12,1,0,0.5,0,24.6,1,0
1,0,540,26,30,0.893939,2,0.097917,0,14.229508,10,0
2,0,59,2,15,0.875,0,0.238095,0,13.866667,3,0
1,0,38,1,28,0.818182,2,0.238636,0,31.333333,11,1
1,0,4,13,9,0.666667,0,0.4,0,26.75,5,0
2,0,2,0,12,0.666667,0,0.666667,0,40,8,0
1,0,0,3,2,2,0,1,0,0,1,0
1,0,0,4,3,0.25,0,0.6,0,56.2,9,0
1,0,2,1,16,0.583333,0,0.333333,0,123.75,30,1
1,3,9,16,4,0.5,0,0.333333,0,28.857143,9,0
2,0,0,2,12,0,1,0.5,0,45.5,17,0
2,0,0,4,7,0.533333,1,0.4,1,16.166667,2,0
2,0,2,0,10,0.814815,0,0.666667,0,93.25,17,1
1,0,0,0,0,2,0,1,0,3,0,0
3,0,3,2,5,2,0,0.833333,1,22.333333,8,0
1,0,5,0,9,0.7,1,0.392857,0,14.571429,5,0
2,0,3,0,9,2,0,0.555556,0,40.666667,11,0
1,0,25,8,7,0.222222,0,0.222222,0,52.6,10,1
1,0,13,1,8,0.666667,1,0.25,0,8.571429,2,1
1,0,589,23,20,0.86087,1,0.144928,0,18.638298,8,1
3,0,4,0,5,0.666667,0,0.666667,0,6.25,1,0
2,7,1,7,7,2,0,0.5,0,22,3,0
3,0,1,2,3,2,0,0.666667,2,37.5,2,0
2,0,4,0,10,0.666667,0,0.666667,0,35.75,10,0
1,0,0,2,5,0.25,0,0.6,0,24.4,5,0
1,0,2,1,10,0.583333,0,0.333333,0,23.25,4,0
1,0,2,1,20,0.5,0,0.555556,0,42,8,1
1,0,0,11,2,2,0,1,0,0,1,1
1,0,99,0,26,0.357143,0,0.314286,0,28.6,19,1
1,0,1,7,15,2,0,0.5,0,30.5,7,1
3,0,3,0,7,2,0,0.555556,0,14.333333,3,0
1,0,4,1,7,0.666667,1,0.5,0,6.75,2,1
3,0,37,21,11,0.794872,0,0.3,1,26.357143,29,0
2,0,3,0,12,2,0,0.555556,0,44.666667,8,0
2,0,2,0,6,1.047619,0,0.666667,0,21.5,7,0
2,0,150,2,26,0.873518,0,0.2,0,23.333333,16,1
5,0,3,2,5,2,0,0.5,0,5,1,1
1,0,1,2,12,0.5,0,0.5,0,29,7,1
1,0,2,2,11,0.5,0,0.333333,0,35.25,12,1
4,0,3,82,0,1.5,0,0.777778,0,4.333333,0,0
1,0,15,0,11,2,0,0.361111,0,4.833333,1,0
1,0,1,0,11,0.625,0,0.666667,0,47,8,0
2,0,1,0,8,2,0,0.75,0,22,1,0
1,0,0,3,6,0.541667,1,0.333333,0,36.285714,3,0
2,0,1,5,6,2,0,0.75,0,24,5,0
2,0,3,0,10,2,0,0.555556,0,17.666667,4,1
3,0,1,2,8,2,0,0.75,1,56,11,0
3,0,1,5,2,2,0,0.75,0,3.5,1,0
2,0,3,0,9,2,0,0.555556,0,49.666667,7,1
2,0,2,0,11,0.666667,0,0.666667,0,46.25,13,0
2,0,3,0,11,2,0,0.555556,0,63,11,0
1,0,20,0,26,0.785714,1,0.333333,0,33.875,3,1
1,0,1,3,2,2,0,0.75,0,0,1,0
1,0,0,1,11,0.625,1,0.270833,0,49.714286,31,0
1,0,81,2,10,0.857143,0,0.160714,0,10.4,1,1
1,0,1,6,2,0.666667,0,0.555556,0,7.833333,1,0
