@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R3'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute exp numeric
@attribute rexp numeric
@attribute bug {1,0}

@data
1,1,0.581676,0.065669,0.021729,690.333333,1,6,36,0.666667,3709,1752.666667,1
1,1,0,0.002985,0.008955,670,0,3,0,1,13391,7983.5,0
1,2,0,0,0,34.5,0,1,7,1,1508,1508,1
1,1,0,0,0,0,0,1,458,0.666667,12804,8025.5,0
1,37,0.622239,0.217704,0.266461,170.533799,0,1,835,0.018648,6003,6003,0
1,2,0,0.063584,0.063584,86.5,0,1,0,1,1963,1963,0
1,1,0,0.01087,0.01087,92,0,1,6,1,1941,1941,0
1,9,0.712136,0.146362,0.112639,344.547619,0,1,2202,0.119048,9460,9460,0
1,1,0,0.003859,0,1555,1,10,10,1,2048,1289.5,0
1,2,0.781666,0.010143,0.00039,1098.571429,0,10,26,0.857143,1052,482.985714,0
1,1,0.94566,0.00366,0.001372,1093,0,6,8,1,4212,2648.233333,0
1,1,0.877962,0.049702,0.023857,503,0,5,2,1,887,723.5,0
1,2,0.169455,0.02926,0.021084,581,0,3,6,0.5,12929,8051.5,1
1,2,0.106413,0.074468,0.002901,344.666667,0,3,2,1,12303,7802.5,0
1,1,0,0.006803,0.006803,147,0,1,0,1,12159,7684,0
1,3,0.600562,0.090007,0.001102,544.4,1,3,160,1,12157,7682,0
1,1,0,0.004608,0.023041,217,0,1,1,1,12130,9990,0
1,2,0.863121,0.008837,0.001473,339.5,0,1,3,1,10752,10752,0
1,5,0.908951,0.013636,0.005303,264,0,1,86,0.8,9910,9910,0
1,3,0.645076,0.012999,0.002786,359,0,1,45,1,9721,9721,0
1,6,0.856485,0.008755,0.004596,761.5,0,6,136,0.5,17768,4494.333333,0
1,1,0,0.00177,0.00177,565,0,2,318,1,14518,8189.833333,0
1,37,0.851037,1.395643,1.676248,119.578279,0,1,15598,0.002821,1456,1456,1
1,21,0,0,0,158.61708,0,1,0,0.002755,363,363,1
1,1,0,0,0,61,0,1,70,1,9926,9926,0
1,2,0.307457,0.130709,0.040945,317.5,0,1,15,1,9830,9830,0
1,1,0,0.125,0.125,8,0,6,388,1,971,924,0
1,1,0,0.078431,0.031513,1428,1,1,67,1,10777,10777,0
1,1,0,0.025641,0.003663,273,0,10,12,1,3201,823.547619,0
1,1,0,0.016736,0.008368,239,0,8,80,1,3200,842.476191,0
1,1,0,0.017778,0.002963,1350,0,8,25,1,31,31,0
1,1,0,0.0069,0.00345,3768,0,10,85,1,3193,836.178571,0
1,1,0,0.020408,0.005102,196,0,6,17,1,2300,685.954762,0
1,1,0.740386,0.020963,0,588.333333,0,11,147,1,2299,684.954762,0
1,2,0.756834,0.133929,0.029762,168,0,11,913,1,11305,2833.178319,0
1,1,0,0.018072,0.006024,332,0,8,99,1,2289,679.138095,0
1,2,0.811278,0.001422,0.000474,2110,0,11,52,1,2288,680.554762,0
1,1,0,0.02766,0.025532,470,0,8,12,1,2283,675.554762,0
