@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-4,6-7,9,11,13-14,18,20,24-26,28,30,33,35-36,38-42,47,49-50,52,55,58-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.0022,0,0,2,1,0,0,0.112667,0,0,0,1,0,0,0,0,3,0,1,0,0,3.06,0,0.010398,18,3,clean
0,0,0,0,0,0,1,0,0,0.042456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,clean
7,0,0.003137,0.002748,0,0,0,0,0,0.123094,0,0,0,1,0,0,0,0.002785,64,0,34,0,0,1.01,0.020279,0.005149,9,12,clean
12,0,0,0,0,0,0,0,0,0.101164,0,0,6,2,0,0,0,0,11,0,11,0,0,0,0,0,35,1,clean
0,0,0,0,0,0,0,0,0,0.083567,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,15,6,clean
0,0,0,0,0,0,0,0,0,0.073134,0,0,0,3,0,1.01,0,0,0,0,0,0,0.00406,4.04,0,0.013377,17,6,clean
0,0,0.003231,0.001056,0,0,2,0,0,0.180807,1.02,0,0,2,0.001472,0,0,0,2,0,0,0,0,4.07,0,0.013377,21,6,buggy
0,0,0,0,0,0,1,0,0,0.145898,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,9,3,clean
0,0,0,0,0,4,0,0,0,0.060687,0,0,0,1,0,0,0,0,5,0,1,0,0,3.03,0,0.010398,10,2,clean
0,0,0.001633,0,0,0,0,0,0,0.358735,0,0,0,1,0,0,0,0.005695,26,0,0,0,0,3.03,0.004804,0.010398,9,0,clean
2,3.05,0.007729,0.001972,0.001257,9,0,0,0.002571,0.387965,0,0.010089,4,3,0,0,2.02,0.004289,11,0,2,0,0,5.08,0.003956,0.013074,48,19,clean
0,0,0,0,0,0,0,0,0,0.24008,0,0,0,1,0,0,0,0,6,0,3,0,0,0,0,0,9,2,clean
0,0,0,0,0,0,0,0,0,0.028285,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0.003733,0,39,4,clean
1,0,0,0,0,0,0,0,0,0.044092,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,10,4,clean
0,0,0.031783,0,0,0,0,0,0,0.11495,0,0,0,2,0,0,0,0,1,0,1,0,0,5.08,0,0.039276,31,9,clean
0,0,0.000938,0,0,0,1,0,0,0.246347,0,0,0,3,0,0,0,0,3,0,3,0,0,3.06,0.000706,0.010398,37,11,buggy
0,1.01,0.003978,0,0,1,0,0,0,0.199952,0,0,1,3,0,1.01,0,0.000894,3,0,2,0,0.001152,4.08,0,0.017531,35,5,clean
0,0,0,0,0,0,0,0,0,0.157212,2.02,0,0,2,0.002256,0,0,0,4,0,3,0,0,3.03,0.000404,0.008406,24,7,clean
0,0,0,0,0,0,0,0,0,0.206585,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,0.03059,0.010398,10,2,clean
0,0,0,0.013591,0,0,0,0,0,0,0,0,1,3,0,0,0,0.012527,1,0,1,0,0,5.05,0.02301,0.024375,16,3,clean
0,0,0,0,0,0,0,0,0,0.174739,0,0,0,1,0,0,0,0,8,0,8,0,0,3.03,0,0.010398,9,18,clean
0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,11,0,clean
0,0,0.015802,0,0,0,0,0,0,0.136638,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,clean
0,0,0,0,0,0,0,0,0,0.016145,0,0,0,1,0,0,0,0,0,0,0,0,0,3.03,0.02407,0.010398,9,2,clean
1,0,0,0,0,0,0,0,0,0.27076,0,0,0,1,0,0,0,0,3,0,3,0,0,1.01,0.001453,0.005149,11,5,clean
0,0,0,0,0,0,0,0,0,0.073134,0,0,0,3,0,1.01,0,0,3,0,3,0,0.00406,4.04,0.003144,0.013377,17,6,clean
0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,11,0,clean
0,0,0,0,0,0,0,0,0,0.251675,0,0,0,1,0,0,0,0,4,0,4,0,0,2.02,0,0.00831,10,2,clean
0,0,0,0.027692,0,0,0,0,0,0.135853,0,0,0,1,0,0,0,0.027312,7,0,7,0,0,0,0.03059,0,11,3,clean
0,0,0,0,0,1,0,0,0,0.2724,0,0,0,1,0,0,0,0,3,0,0,0,0,3.06,0,0.010398,18,4,buggy
0,0,0.000449,0,0,0,22,0,0,0.280119,6.13,0,0,1,0.00885,0,0,0,0,0,0,0,0,3.03,0,0.010398,9,4,buggy
2,1.01,0.037227,0.034085,0.002193,2,0,0,0.003374,0.739952,0,0,0,1,0,0,0,0.05114,19,0,8,0,0,0,0.022297,0,0,27,buggy
0,0,0.000995,0.001449,0,6,0,0,0,0.064392,0,0,0,1,0,0,0,0.00246,7,0,1,0,0,2.02,0,0.00831,9,3,clean
1,0,0,0,0,2,0,0,0,0.233481,0,0,0,1,0,0,0,0,2,0,0,0,0,3.06,0,0.010398,18,7,clean
1,0,0,0,0,2,0,0,0,0.33686,0,0.003039,1,2,0,0,1.01,0,2,0,0,0,0,4.04,0.00412,0.012964,19,0,clean
0,0,0,0,0,0,2,0,0,0.142869,0,0,1,3,0,0,0,0,9,0,0,0,0,1.01,0.020279,0.01201,16,2,clean
0,0,0,0,0,9,0,0,0,0.089145,0,0.010266,1,2,0,0,1.01,0,9,0,0,0,0,0,0,0,16,4,buggy
0,0,0,0,0,0,0,0,0,0.048688,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,27,10,clean
0,0,0.003137,0,0,0,0,0,0,3.49127,0,0,2,2,0,0,0,0,0,0,0,0,0,2.03,0.002985,0.004949,39,3,clean
0,0,0,0,0,0,0,0,0,0.048688,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,9,2,clean
1,0,0,0.001334,0,0,0,0,0,0.159497,0,0,0,3,0,1.01,0,0.001458,8,0,6,0,0.00406,4.04,0.004106,0.013377,17,7,clean
2,0,0,0.004444,0,0,0,0,0.002265,0.177842,0,0,0,3,0,1.01,0,0.004101,5,0,5,0,0.00406,4.04,0.007839,0.013377,17,6,clean
0,0,0.018433,0,0,0,0,0,0,0.26789,0,0,0,1,0,0,0,0,3,0,0,0,0,3.15,0.020279,0.011701,27,11,clean
0,0,0.006204,0,0,8,0,0,0,0.064392,0,0,0,2,0,0,0,0,8,0,0,0,0,3.05,0,0.010808,33,10,clean
0,0,0,0,0,0,0,0,0,0.176221,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,0,0.005149,10,2,clean
0,0,0,0,0,0,0,0,0,0.074714,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,0,0.005149,9,1,clean
0,0,0,0,0,0,0,0,0,0.134047,0,0,0,2,0,0,0,0,3,0,3,0,0,3.09,0,0.010398,39,3,clean
1,0,0.002501,0.0028,0,0,0,0,0,0.074362,0,0,0,1,0,0,0,0.003125,4,0,4,0,0,2.02,0.001164,0.00831,9,3,clean
3,0,0.000942,0,0,0,0,0,0.025024,3.6437,0,0,0,2,0,0,0,0,4,0,4,0,0,3.09,0.001313,0.010398,39,11,buggy
