@relation 'data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,6-11,13-15,18-21,24-26,28,30,33,35-43,45-47,49-55,57-61'

@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0.002555,0,0,0,2,0,0,0,1,0,0,0,0,0,8,buggy
0.004756,0,0,0,2,0,0,0,1,0,0,0,4,0,7,buggy
0.009143,1.01,0.00026,6,0,2.06,0,0,1,0,0,0,0,0,7,clean
0.005395,0,0,0,4,0,0,1,1,0,0,0,0,0,17,buggy
0,1.01,0.000402,0,0,0,0,1,2,0,0,0,0,0,22,buggy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,clean
0,0,0,0,2,0,0,29,2,0,0,4.06,0,0,24,buggy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,clean
0.000453,3.04,0.001366,0,1,0,0,0,1,0,0,0,0,0,7,buggy
0.003493,0,0,1,0,0,0,0,1,0,0,0,0,0,22,buggy
0.002402,1.02,0.006808,3,0,1.01,0,0,1,0.001069,0,0,0,0,7,clean
0,0,0,0,0,0,0.000966,2,2,0,0,1.01,0,0,97,buggy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,clean
0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,clean
0,6.18,0.01632,0,0,0,0.002083,3,2,0,0,1.03,0,0,12,clean
