@relation 'synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,1,13,0.75,1,0,0,0.375,0,0,31.571429,20,3.4286,0
1,0,36,2,0,0,0,0.296296,0,0,0,1,1,1
2,0,3,2,0,0,0.75,0.555556,0,0,46.333333,10,3.6667,0
2,0,1,2,0,0,0.875,0.75,0,0,9,1,0.5,0
2,0,14,0.831169,0.714286,0,0.541667,0.3,0,0,30.916667,30,3.3333,0
1,0,0,0,1,0,0,0.75,0,0,37,4,2,1
1,0,20,0.571429,1,1,0,0.244898,0,0,67.75,26,5.875,1
3,0,3,2,0,0,0.777778,0.555556,0,0,14.333333,3,1.3333,0
3,0,1,2,0,0,0.962963,0.666667,2,5,77,5,2.5,0
1,0,0,0.722222,1,0,0,0.428571,0,0,13,5,1.4286,0
2,7,0,0,1,0,0.590909,0.283333,0,0,16.2,3,1.5,0
1,0,10,1,1,0,0,0.583333,0,0,24,1,0.6,0
1,0,1,2,0,0,0,0.75,0,0,0,1,1,0
1,0,6,2,0,0,0,0.7,0,0,0,1,1,0
1,0,3,0.4,1,0,0,0.25,0,0,23,3,1,0
1,0,0,2,0,0,0,1,0,0,3,0,0,0
1,0,245,0.943333,0.666667,1,0,0.194286,0,0,5.961538,4,1.3462,0
3,0,4,2,0,0,0.7,0.5,0,0,46,10,4.25,0
1,0,231,2,0,0,0,0.204545,0,0,0,1,1,0
1,0,1,0.5,1,0,0,0.5,0,0,54,11,3.6667,0
1,0,0,0.25,1,0,0,0.6,0,0,23.6,5,3,0
2,0,0,0.571429,1,1,0.65,0.375,0,0,26,15,2.625,0
1,0,0,0,1,0,0,1,0,0,5.333333,1,0.6667,0
1,0,20,0.714286,1,1,0,0.244898,0,0,14.375,3,1.25,1
1,0,58,0.858333,1,0,0,0.277778,0,0,10.9375,9,1.5625,1
1,0,13,0.8,1,0,0,0.2,0,0,8.333333,1,0.6667,0
1,0,8,0.25,1,0,0,0.3125,0,0,23.2,6,1.8,0
1,0,9,0.666667,1,0,0,0.475,0,0,14.4,2,1.2,0
1,0,1,2,0,0,0,0.666667,0,0,0,1,1,0
1,0,0,2,0,0,0,1,0,0,0,1,1,1
1,0,15,2,0,0,0,0.458333,0,0,0,1,1,0
3,0,6,0.75,1,0,0.571429,0.75,0,0,30.6,9,3.2,0
1,0,0,0,1,0,0,0.5,0,0,24.5,7,3,0
2,0,4,0.8125,1,0,0.5,0.5,0,0,60.2,22,5.4,0
3,0,3,2,0,0,0.777778,0.555556,0,0,49.333333,9,3.3333,0
3,0,3,1.5,0,0,1,0.555556,0,0,15,0,0,0
1,0,1172,0.941568,0.961538,4,0,0.134615,0,0,20.471698,39,1.8302,1
2,0,3,1.5,1,0,0.75,0.555556,0,0,69,12,4.3333,1
1,17,10,1,1,0,0,0.45,0,0,24.8,5,1.4,0
1,0,29,0.769231,1,2,0,0.3,0,0,9.928571,10,1.5714,0
1,0,20,0.714286,1,1,0,0.244898,0,0,17.75,5,1.5,1
1,0,1,1.692308,0,0,0,1,0,0,26,0,0,0
1,0,0,0.5,1,0,0,0.333333,0,0,42.75,4,2,0
2,2,1,2,0,0,0.857143,0.666667,0,0,187.5,25,12.5,0
1,1,0,0.25,1,0,0,0.5,0,0,47,4,1.6,0
3,0,26,0.857143,1,0,0.806452,0.464286,3,4,24.875,8,1.625,0
3,0,4,0.666667,1,0,0.666667,0.666667,0,0,6.25,1,0.5,0
1,0,11,1.044444,0.777778,1,0,0.333333,0,0,38.166667,13,2.8333,1
1,0,1128,2,0,0,0,0.138258,0,0,0,1,1,0
1,0,20,0.714286,1,1,0,0.261905,0,0,57,31,5.125,1
4,0,1,2,0,0,0.964286,0.555556,1,6,10.666667,1,0.6667,1
3,0,2,0.666667,1,0,0.666667,0.666667,0,0,54.75,16,4.25,0
1,0,0,1,0.25,0,0,0.5,0,0,24.6,1,0.6,0
1,0,540,0.893939,1,2,0,0.097917,0,0,14.229508,10,1.5574,0
2,0,59,0.875,0.875,0,0.133333,0.238095,0,0,13.866667,3,1.0667,0
1,0,38,0.818182,1,2,0,0.238636,0,0,31.333333,11,2.0833,1
1,0,4,0.666667,1,0,0,0.4,0,0,26.75,5,2.25,0
2,0,2,0.666667,1,0,0.6,0.666667,0,0,40,8,2.25,0
