@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R2

@attribute ev(g) numeric
@attribute L numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute defects {false,true}

@data
1.4,1.3,1.3,1.3,2,2,2,1.2,false
1,1,1,1,1,1,1,1,true
3,0.04,75.47,3212.96,44,11,31,29,true
5,0.04,89.79,4015.7,41,12,24,28,true
41,0.01,272.58,87305.94,71,48,49,64,true
7,0.02,80.95,12588.26,32,4,39,35,true
1,0.03,66.66,3065.47,71,14,49,29,true
123,0.01,246.47,151702.06,40,2,225,99,true
1,0.1,72.35,395.99,3,1,8,8,true
1,0.04,61.05,1907.72,2,2,10,15,true
1,0.04,114.46,4508.48,14,13,18,28,true
12,0.04,55.32,1756.64,32,20,17,23,true
1,0.04,43.87,1519.8,15,2,24,21,true
8,0.05,163.74,3894.48,38,24,17,21,true
1,0.08,27.79,247.32,25,1,9,15,true
4,0.03,85.6,5273.87,62,2,39,26,true
5,0.07,38.68,417.61,0,0,12,17,true
1,0.04,160.24,4865,15,1,17,21,true
1,0.05,54.76,1381.07,1,3,10,25,true
1,0.03,43.78,2744.89,27,11,23,23,true
1,0.02,65.2,9333.72,62,21,34,34,true
1,0.03,36.33,1904.78,6,2,11,28,true
6,0.05,66.64,1745.71,6,0,20,19,true
6,0.06,60.39,969.56,5,0,19,19,true
1,0.11,32.14,155.56,0,0,8,14,true
3,0.07,31.08,374.47,6,1,8,18,true
1,0.16,33.52,76.96,0,0,7,10,true
5,0.07,36.9,432.2,0,0,13,17,true
1,0.12,45.57,166.89,0,0,15,11,true
1,0.16,30.96,63.41,0,0,8,10,true
1,0.08,50.38,411.72,9,5,3,16,true
1,0.08,44.56,369.81,0,0,12,15,true
1,0.14,33.87,92.94,4,0,6,11,true
1,0.08,67.47,653.12,4,7,9,18,true
3,0.08,31.98,266.6,14,4,28,14,true
1,0.04,52.7,1453.64,73,16,32,22,true
21,0.02,97.66,11037.62,23,13,37,23,true
1,0.05,98.09,2179.83,17,0,18,16,true
1,0.04,218.7,6070.69,49,1,39,20,true
4,0.04,40.9,1587.13,0,2,13,25,true
1,0.08,17.5,151.89,3,1,2,15,true
1,0.26,59.59,50.52,7,2,8,5,true
3,0.02,118.33,23607.11,42,0,36,28,true
1,0.07,34.79,364.4,0,0,7,21,true
8,0.03,64.48,4792.82,18,10,80,26,true
1,0.05,96.31,2068.3,0,12,11,16,true
1,0.33,11.07,5.54,0,0,1,6,true
9,0.02,87.72,13132.05,50,0,56,32,true
1,0.15,21.43,50.31,1,0,7,13,true
4,0.03,70.21,5686.6,27,0,31,28,true
1,0.15,21.43,50.31,1,0,7,13,true
4,0.07,42.78,472.49,1,3,9,18,true
6,0.02,95.98,20441.11,55,0,55,33,true
9,0.03,88.87,5055.99,6,6,5,24,true
20,0.03,92.23,8140.23,39,0,32,28,true
4,0.05,32.1,731.9,8,2,9,25,true
5,0.05,44.67,1054.48,9,0,7,18,true
1,0.02,140.08,16746.63,20,0,27,31,true
1,0.07,40.63,413.69,9,1,12,16,true
1,0.5,17.43,3.87,0,0,0,4,true
3,0.07,31.08,374.47,5,1,7,18,true
5,0.05,43.84,842.58,7,0,5,18,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.13,32.35,106.57,0,0,9,11,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.08,46.5,358.84,0,0,12,15,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.5,17.43,3.87,0,0,0,4,true
7,0.07,81.27,804.58,1,0,16,14,true
1,0.09,32.54,213.83,7,2,4,15,true
1,0.08,39.65,325.74,4,3,3,16,true
1,0.22,15.23,17.13,0,0,2,9,true
1,0.06,36.57,520.13,6,5,7,12,true
1,0.08,31.88,266.96,6,2,8,13,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.05,23.63,604.03,4,0,20,22,true
1,0.5,17.43,3.87,0,0,0,4,true
1,0.27,26.64,19.9,2,2,6,6,false
1,0.08,30.85,285.97,2,0,21,15,false
1,0.22,7.33,8.25,3,2,2,6,false
5,0.03,97.32,5903.6,35,1,43,31,false
1,0.07,29.59,347.74,0,0,1,16,false
1,0,0,0,0,0,0,1,false
1,0.08,14.24,128.58,0,0,2,12,false
1,0,0,0,0,0,0,1,false
1,0.02,46.96,5113.08,1,7,2,34,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0.24,31.25,29.71,9,0,5,7,false
1,0.24,28.57,28,2,0,2,6,false
1,0.17,26.02,50.47,15,0,11,10,false
1,0.24,31.25,29.71,9,0,5,7,false
1,0.24,28.57,28,2,0,2,6,false
1,0.13,46.18,141.56,19,0,18,12,false
1,0.11,28.36,137.25,2,0,7,10,false
1,0.09,27.48,207.81,5,2,14,14,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0.13,37.7,126.71,8,0,9,10,false
1,0.4,13.95,4.84,2,0,1,5,false
1,0.4,13.95,4.84,3,0,3,5,false
1,0.14,21.71,59.11,6,1,5,8,false
1,0,0,0,0,0,0,2,false
1,0.15,11.42,28.2,0,0,0,8,false
1,0,0,0,0,0,0,1,false
1,0.56,25,4.5,0,0,1,3,false
1,0.11,25.22,118.78,0,0,5,13,false
1,0.05,14.61,381.12,0,0,1,13,false
5,0.06,55.33,781.29,9,1,23,18,false
7,0.05,47.89,1213.43,11,6,30,26,false
1,0,0,0,0,0,0,2,false
5,0.04,41.98,1256.97,2,4,16,25,false
1,0.5,14.04,3.12,0,0,5,4,false
5,0.04,56.74,1993.3,17,9,18,27,false
1,0.08,37.81,337.06,3,1,16,16,false
1,0.16,36.95,78.32,15,0,7,10,false
1,0.09,13.12,85.54,0,0,2,15,false
1,0.14,23.6,65.93,19,0,11,12,false
1,0.16,36.95,78.32,15,0,7,10,false
1,0.09,13.12,85.54,0,0,2,15,false
1,0.16,21.55,44.71,15,0,15,10,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0.04,59.57,1649.83,19,0,25,27,false
5,0.08,51.55,412.43,6,8,14,16,false
1,0,0,0,0,0,0,2,false
1,0.17,15.63,31.26,0,0,1,9,false
1,0.3,12.6,7.78,4,1,4,5,false
1,0.21,31.45,39.05,4,0,7,8,false
1,0.29,15.36,10.46,0,0,0,6,false
1,0.07,58.73,693.95,0,0,3,15,false
1,0.5,17.43,3.87,0,0,1,4,false
1,0.15,18.6,43.67,0,0,0,9,false
1,0.1,19.43,106.17,0,0,0,14,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
9,0.05,68.42,1818.77,10,0,28,21,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.05,20.42,409.52,5,0,7,11,false
1,0.16,21.55,44.71,16,0,10,10,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.29,11.86,8.07,0,0,1,7,false
1,0.14,23.6,65.93,19,0,11,12,false
5,0.06,54.02,732,5,1,22,18,false
5,0.1,44.98,245.75,5,1,13,14,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
5,0.03,50.49,3153.14,10,0,31,30,false
1,0.12,27.97,115.91,9,5,7,10,false
1,0,0,0,0,0,0,2,false
1,0.08,17.84,142.7,0,0,0,11,false
15,0.02,133.5,26735.64,0,3,8,36,false
70,0.03,89.69,5501.1,0,0,2,17,false
9,0.03,15.66,888.52,4,1,4,19,false
6,0.04,28.38,1145.81,0,0,1,20,false
1,0.06,72.17,1077.82,15,0,15,15,false
1,0,0,0,0,0,0,2,false
1,0.5,9.83,2.18,0,0,1,4,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.18,17.09,31.01,9,0,5,8,false
1,0.12,30.24,109.61,12,0,11,10,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.18,17.09,31.01,9,0,5,8,false
1,0.16,21.55,44.71,16,0,10,10,false
1,0,0,0,0,0,0,2,false
1,0,0,0,0,0,0,2,false
1,0.16,18.44,42.33,0,0,1,10,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.08,37.53,363.31,2,0,7,11,false
1,0.07,18.15,226.9,0,0,2,10,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.04,31.82,887.67,0,0,2,22,false
3,0.05,27.19,537.1,3,0,9,18,false
3,0.06,113.81,1775.43,26,2,48,17,false
13,0.01,109.99,32344.76,159,35,17,47,false
1,0.15,26.32,69.11,14,0,7,11,false
1,0.17,28.4,51.74,9,0,7,7,false
1,0.1,27.93,161.89,18,0,11,13,false
1,0.15,26.32,69.11,14,0,7,11,false
1,0.17,28.4,51.74,9,0,7,7,false
1,0.12,25.77,95.83,12,0,14,10,false
1,0.09,67.09,437.84,0,0,3,12,false
1,0.07,65.33,776.26,0,2,10,12,false
1,0.4,13.95,4.84,2,0,1,5,false
1,0.33,13.29,6.64,3,2,1,6,false
1,0.04,66.95,2408.85,6,3,16,24,false
1,0.5,5.8,1.29,0,0,1,4,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.09,20.13,133.1,1,0,2,10,false
1,0.06,60.96,918.35,8,0,10,13,false
1,0.21,8.54,10.33,0,0,2,7,false
1,0.1,19.11,117.06,0,1,2,11,false
7,0.02,44.12,8388.52,19,8,42,26,false
1,0.09,43.17,273.2,18,0,14,15,false
1,0.25,49.83,42.92,15,1,11,6,false
1,0.11,26.65,124.4,15,0,12,11,false
1,0.09,43.17,273.2,18,0,14,15,false
1,0.24,46.01,45.09,15,1,13,6,false
1,0.1,27.93,161.89,18,0,11,13,false
9,0.05,31.49,669.69,5,0,11,18,false
3,0.06,34.03,507.27,1,1,3,16,false
5,0.07,50.36,523.37,0,1,11,16,false
5,0.04,36.38,1164.27,6,0,9,18,false
1,0.27,26.64,19.9,2,2,1,6,false
1,0.15,17.2,42.48,0,0,0,10,false
3,0.05,50.81,1200.76,0,0,1,22,false
1,0.03,47.52,2159.45,2,2,4,26,false
4,0.04,15.74,596.81,1,1,4,19,false
1,0.33,21.04,10.52,0,0,0,4,false
1,0.1,48.43,269.03,5,0,13,11,false
1,0.04,41.03,1414.57,7,1,23,22,false
