@relation 'lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,14,19'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,1,2,0,0,0.666667,0,0,4,0.5,0
1,0,0,0.388889,1,0,0.34,0,0,26.6,1.6,0
1,0,13,0.600962,1,0,0.253086,0,0,42.185185,5.7407,0
1,0,0,2,0,0,1,0,0,0,1,1
1,2,3,2,0,0,1,0,0,1.333333,0.6667,1
3,0,1,2,0,0,0.583333,1,1,29.5,0.5,1
2,0,1,0,1,0,0.314286,1,1,51.571429,3.5714,0
1,0,0,2,0,1,1,0,0,12,0,1
2,3,0,0.575,0.8,0,0.416667,1,4,21.111111,1,1
1,0,0,0.436364,0.727273,5,0.479167,0,0,61,0.6667,1
2,1,0,0.47619,1,1,0.251852,1,5,35.933333,1.2667,1
4,0,0,0.55,0.4,1,0.4,1,1,74,4.8,1
2,0,12,0.625,1,0,0.158824,2,4,22.529412,2.0588,1
1,1,91,2,0,0,0.297619,0,0,12.5,0.9286,1
2,0,1,2,0,0,0.666667,1,3,18.5,2,0
2,0,15,2,0,0,0.666667,1,3,4.166667,0.8333,0
2,0,0,2,0,1,1,0,0,9,0,0
3,0,0,0.613636,1,0,0.208333,2,2,27.25,1.75,1
1,0,0,0.5,0.5,0,0.428571,0,0,23.214286,2.5714,1
1,0,0,2,0,0,0,0,0,68,0,0
1,0,282,0.720301,0.210526,1,0.405714,0,0,77.777778,7.0556,1
3,0,0,0,1,0,0.571429,1,1,51.5,0.5,1
1,5,15,2,0,0,0.583333,0,0,2.5,0.8333,0
2,0,1,0.64,1,6,0.35,0,0,26.166667,1.5,0
1,0,41,0.804762,0.533333,5,0.237037,0,0,43,1.2,0
1,0,2,0.625,1,3,0.333333,0,0,62,0.8,1
3,0,12,0.666667,0.666667,1,0.3,2,8,14.25,0.875,0
1,13,72,0.833333,1,0,0.230769,0,0,18.076923,1.8462,0
2,0,0,0.291667,1,2,0.259259,2,3,36.444444,3,0
2,0,0,0,1,1,0.333333,2,3,23.333333,1.5,0
