@relation lucene-2.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
3,0,7,1,12,0.638889,0.5,0,0.285714,3,4,26.6,6,1
1,1,0,1,3,0.619048,1,1,0.5,0,0,45.3,2,1
2,0,0,2,10,0.5625,0.333333,0,0.352941,1,5,21.941176,2,1
2,5,10,12,6,2,0,0,0.466667,1,1,1.8,1,0
1,0,6,22,1,2,0,0,0.5,0,0,0,1,1
1,6,79,15,1,0.723077,1,0,0.785714,0,0,8.142857,3,1
1,0,66,3,0,2,0,0,0.583333,0,0,0,1,0
1,0,3,1,1,0.602564,0,0,0.404762,0,0,15.5,1,0
1,0,67,9,22,0.897436,0.333333,12,0.403846,0,0,12.357143,1,1
1,0,1,0,2,2,0,0,0.75,0,0,2.5,1,0
1,0,0,8,4,0.678733,0.461538,1,0.243056,0,0,52.777778,4,1
2,2,21,3,1,0.705357,0.625,0,0.328571,1,4,27.666667,7,1
1,0,0,2,7,0.45,0.666667,5,0.479167,0,0,62.833333,1,1
2,0,0,1,2,0.571429,1,0,0.425,1,3,17.875,1,0
2,1,0,2,21,0.466667,1,1,0.23125,1,5,34.875,6,0
1,0,55,6,12,2,0,0,0.263636,0,0,0,1,1
2,0,12,3,10,0.625,1,0,0.158824,2,4,22.705882,7,1
1,2,105,19,0,2,0,0,0.311111,0,0,12.066667,1,1
1,0,6,2,0,2,0,0,0.333333,0,0,35.75,1,0
1,0,0,3,3,0.666667,1,2,0.34375,0,0,18.25,3,0
3,0,1,1,3,2,0,0,0.75,0,0,9.5,1,1
2,0,0,1,16,0.68254,1,1,0.157738,1,9,22.464286,6,1
2,1,0,2,5,0.520833,1,2,0.309524,1,3,26.571429,1,1
3,0,0,2,8,0.590909,1,0,0.208333,2,2,28.083333,7,0
1,0,0,22,2,0.5,0.5,0,0.426471,0,0,23.294118,5,1
1,0,66,3,0,2,0,0,0.583333,0,0,0,1,1
1,0,0,5,1,0.678571,0,2,0.533333,0,0,16.6,1,0
3,0,0,3,7,0.555556,1,1,0.34375,1,1,79.75,4,1
1,0,164,12,6,0.940789,0.25,0,0.261111,0,0,22.7,8,1
1,0,0,17,1,2,0,0,1,0,0,0,1,0
1,0,0,1,5,0.6,1,1,0.333333,0,0,54.666667,4,1
2,0,0,1,4,0,1,1,0.5,0,0,11.75,1,1
1,0,41,2,11,0.804762,0.533333,5,0.237037,0,0,43,3,1
3,0,1,0,7,2,0,0,0.833333,0,0,25,5,0
1,0,69,2,16,0.806723,1,4,0.237374,0,0,40,5,1
1,9,0,12,0,0.454545,1,0,0.444444,0,0,21.666667,7,1
1,15,72,48,7,0.833333,1,0,0.230769,0,0,18.076923,9,0
1,0,58,1,7,0.791667,1,2,0.201923,0,0,13.384615,1,1
2,0,0,1,5,0.5,1,2,0.4,1,2,26.6,1,0
1,1,1520,1,33,0.893046,0.595238,12,0.112169,0,0,50.359375,23,1
2,0,1,1,3,2,0,0,0.666667,0,0,4,1,0
2,0,0,3,3,0.375,0,1,0.5,1,3,53.4,18,1
2,4,8,4,4,0.5,1,1,0.3125,2,2,7.25,5,1
2,0,171,12,11,0.769231,1,0,0.102564,2,6,15.222222,12,1
1,0,0,8,0,0.125,0,0,0.55,0,0,18.2,1,0
1,0,0,71,0,0.136364,0,0,0.291667,1,1,10.333333,6,1
1,1,0,1,5,0,1,1,0.666667,0,0,31.5,1,0
