@relation KC2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute lOCodeAndComment numeric
@attribute uniq_Op numeric
@attribute problems {no,yes}

@data
1.4,1.3,1.3,2,2,2,1.2,no
1,1,1,1,1,1,1,yes
50,0.01,81.24,35,9,10,47,yes
10,0.03,93.74,15,34,5,23,yes
12,0.03,105.96,7,19,4,18,yes
13,0.03,84.14,2,20,0,19,yes
6,0.03,83.01,18,17,0,18,yes
1,0,0,0,0,0,1,no
1,0.17,15.21,0,1,0,9,no
1,0.14,9.22,0,0,0,8,no
1,0.5,15.85,0,0,1,4,no
1,0.67,7.74,0,2,0,3,no
1,0.27,9.74,9,0,0,6,no
1,0.67,16.84,0,0,0,3,no
1,0,0,0,0,0,3,no
1,0.67,7.74,0,0,0,1,no
1,0.05,22.58,1,7,0,19,no
1,0.4,7.86,1,0,0,5,no
1,0.25,21.89,0,0,0,8,no
1,0.25,21.89,0,0,0,8,no
1,0.35,20.08,0,0,0,5,no
1,0.35,20.08,0,0,0,5,no
1,0.27,28.67,0,1,0,7,no
1,0.13,18.4,1,0,0,11,no
4,0.05,45.59,2,4,0,14,no
1,0,0,0,0,0,1,no
4,0.05,57,5,8,0,22,no
1,0.5,26.94,0,0,0,3,no
1,0.67,39.21,0,0,0,3,no
1,0.4,6.2,0,0,0,5,no
1,0.67,7.74,0,0,0,3,no
5,0.07,35.81,1,1,0,13,no
1,0.15,21.28,0,1,0,10,no
1,0.07,37.63,1,5,1,16,no
1,0.07,37.44,1,4,2,12,no
1,0.22,6.67,0,0,0,6,no
1,0.07,78.4,0,7,0,11,no
1,0.18,11.89,0,1,0,8,no
1,0.17,20.15,0,1,0,9,no
1,0.14,65.12,28,5,0,9,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.5,11.23,0,2,0,4,no
1,0.05,50.61,7,5,0,14,no
1,0.4,14.62,0,0,0,5,no
1,0.16,14.01,0,2,0,10,no
1,0.15,27.09,6,4,0,11,no
1,0.15,30.1,3,1,0,10,no
1,0.67,31,0,2,2,3,no
1,0.13,17.97,0,3,0,11,no
1,0.13,16.65,3,2,0,10,no
1,0.11,27.68,0,3,0,13,no
1,0.29,9.96,0,0,0,7,no
1,0.13,21.73,0,1,0,12,no
1,0.29,9.96,0,0,0,7,no
1,0.33,8.42,0,0,0,6,no
1,0.33,18.5,0,0,0,6,no
1,0,0,0,0,0,1,no
1,0.09,28.97,0,2,0,14,no
1,0.17,23.63,1,4,0,10,no
1,0.12,31.02,2,5,0,9,no
1,0.1,39.28,0,2,0,11,no
1,0.1,66.7,1,3,0,11,no
1,1.33,8.45,0,0,0,3,no
1,0.12,8.16,0,0,0,2,no
1,0.91,61.92,0,0,0,1,no
1,0.67,5.33,0,0,0,3,no
1,0.5,7.75,0,0,0,4,no
1,0.67,5.33,0,1,0,3,no
1,0.17,39.25,0,1,0,6,no
1,0.67,7.74,0,0,0,3,no
1,0.06,95.28,3,13,0,11,no
1,0.5,9.83,0,0,0,4,no
1,0,0,2,1,0,5,no
5,0.04,65.26,5,4,0,16,no
1,0,0,0,0,0,1,no
1,0.14,12.16,0,2,0,9,no
3,0.08,28.31,2,5,0,15,no
5,0.07,24.72,2,5,0,14,no
1,0.67,5.33,0,0,0,3,no
4,0.05,77.62,3,5,0,17,no
1,0.17,13.96,0,0,0,8,no
1,0.09,42.68,1,7,1,11,no
1,0.06,36.37,1,7,1,13,no
4,0.08,24.97,0,2,0,12,no
1,0,0,0,0,0,1,no
1,0.08,28.4,0,4,0,12,no
1,0.05,47.31,0,14,0,11,no
1,0.67,5.33,0,0,0,3,no
1,0.33,10,0,0,0,4,no
1,0,0,0,0,0,4,no
1,0.36,12.45,0,0,0,2,no
1,0.92,80.83,0,0,0,1,no
1,0.07,45.55,1,5,0,16,no
1,0.4,6.2,0,0,0,5,no
1,0.67,5.33,0,0,0,3,no
1,0.14,29.47,0,2,0,8,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,7.74,0,1,0,3,no
1,0.23,41.22,0,0,0,6,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,7.74,0,0,0,3,no
1,0.4,6.2,0,0,0,5,no
4,0.05,180.68,9,40,0,19,no
1,0.67,7.74,0,0,0,3,no
1,0.3,9,0,1,0,5,no
1,0.67,7.74,0,0,0,3,no
1,0.67,7.74,0,0,0,3,no
1,0.3,9,0,1,0,5,no
1,0.3,9,0,1,0,5,no
1,0.17,22.93,0,1,0,9,no
1,0.3,9,0,0,0,5,no
1,0.3,9,0,1,0,5,no
1,0.3,9,0,1,0,5,no
1,0.3,9,0,2,0,5,no
1,0.3,9,0,1,0,5,no
1,0.67,7.74,0,1,0,3,no
1,0.67,7.74,0,0,0,3,no
1,0.3,9,0,1,0,5,no
1,0.3,9,0,1,0,5,no
1,0.67,7.74,0,0,0,3,no
4,0.05,46.73,2,19,0,17,no
1,0.2,70.51,0,2,0,9,no
1,0.06,42.12,0,12,0,17,no
1,0.08,28.4,0,4,0,11,no
1,0.27,6.74,0,1,0,5,no
1,0,0,0,0,0,1,no
1,1.33,8.45,0,0,0,1,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.67,5.33,0,0,0,3,no
1,0.07,17.77,1,3,0,10,no
1,0.67,7.74,0,0,0,3,no
1,0.4,6.2,0,0,0,5,no
1,0.09,17.71,0,5,0,9,no
1,0,0,0,0,0,1,no
