@relation lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,1,0,3,2,2,0,0,0.666667,0,0,4,1,0.5,0
1,0,0,0,4,9,0.388889,1,0,0.34,0,0,26.6,5,1.6,0
1,0,13,1,0,13,0.600962,1,0,0.253086,0,0,42.185185,26,5.7407,0
1,0,0,20,1,1,2,0,0,1,0,0,0,1,1,1
1,2,3,18,1,3,2,0,0,1,0,0,1.333333,1,0.6667,1
3,0,1,2,6,0,2,0,0,0.583333,1,1,29.5,1,0.5,1
2,0,1,1,5,7,0,1,0,0.314286,1,1,51.571429,12,3.5714,0
1,0,0,4,1,1,2,0,1,1,0,0,12,0,0,1
2,3,0,3,1,6,0.575,0.8,0,0.416667,1,4,21.111111,2,1,1
1,0,0,2,6,0,0.436364,0.727273,5,0.479167,0,0,61,1,0.6667,1
2,1,0,2,18,13,0.47619,1,1,0.251852,1,5,35.933333,6,1.2667,1
4,0,0,1,1,4,0.55,0.4,1,0.4,1,1,74,14,4.8,1
2,0,12,3,10,13,0.625,1,0,0.158824,2,4,22.529412,7,2.0588,1
1,1,91,18,0,14,2,0,0,0.297619,0,0,12.5,1,0.9286,1
2,0,1,4,2,0,2,0,0,0.666667,1,3,18.5,4,2,0
2,0,15,1,3,6,2,0,0,0.666667,1,3,4.166667,1,0.8333,0
2,0,0,11,3,0,2,0,1,1,0,0,9,0,0,0
3,0,0,1,7,12,0.613636,1,0,0.208333,2,2,27.25,7,1.75,1
1,0,0,22,1,14,0.5,0.5,0,0.428571,0,0,23.214286,5,2.5714,1
1,0,0,3,0,0,2,0,0,0,0,0,68,0,0,0
1,0,282,1,4,7,0.720301,0.210526,1,0.405714,0,0,77.777778,102,7.0556,1
3,0,0,2,6,0,0,1,0,0.571429,1,1,51.5,1,0.5,1
1,5,15,24,1,6,2,0,0,0.583333,0,0,2.5,1,0.8333,0
2,0,1,1,11,6,0.64,1,6,0.35,0,0,26.166667,6,1.5,0
1,0,41,2,11,10,0.804762,0.533333,5,0.237037,0,0,43,3,1.2,0
1,0,2,1,9,0,0.625,1,3,0.333333,0,0,62,1,0.8,1
3,0,12,2,2,4,0.666667,0.666667,1,0.3,2,8,14.25,1,0.875,0
1,13,72,42,7,12,0.833333,1,0,0.230769,0,0,18.076923,9,1.8462,0
2,0,0,1,8,9,0.291667,1,2,0.259259,2,3,36.444444,11,3,0
2,0,0,1,8,6,0,1,1,0.333333,2,3,23.333333,4,1.5,0
3,0,15,1,8,11,0.6,0.7,3,0.285714,1,1,33.2,10,1.7333,0
1,1,0,13,1,2,0.666667,0.333333,1,0.583333,0,0,6.333333,1,0.6667,0
