@relation ivy-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
0,374,26,1.012346,0,0,0.226337,0,31.642857,23,1
2,3,2,0.6,0,0,0.444444,0,4.666667,1,0
0,4,1,0.666667,1,0.5,0.5,0,4,1,0
0,6,9,2,0,0,0.666667,0,0,1,0
0,0,6,2,0,0,1,0,0,1,0
0,235,147,0.852273,1,0.28,0.280303,1,26.869565,9,1
0,0,1,0.625,2,0,0.314286,0,23.6,4,0
0,200,1,0.854167,0,0.736264,0.38,0,25.32,13,1
0,0,1,0.694444,0,0,0.571429,0,10.428571,1,0
0,154,5,0.905,2,0,0.184524,0,5.238095,1,0
0,1,1,2,0,0.666667,0.666667,1,4.5,1,0
0,28,5,2,0,0,0.3125,0,15.25,5,0
0,406,2,0.925558,0,0.683673,0.3,3,14.34375,1,0
2,70,2,0.833333,0,0,0.5625,0,14.846154,1,0
0,99,2,0.788889,1,0,0.263158,0,16.052632,5,1
0,1,3,2,0,0,0.5,0,71,10,0
0,0,2,2,0,0,1,0,0,1,0
0,234,6,0.591667,1,0,0.32,0,9.08,2,0
0,0,7,0,1,0,0.416667,0,14.625,1,0
1,0,24,0.375,1,0,0.466667,0,6.8,1,0
2,3,7,2,0,0,0.777778,0,10.333333,1,0
0,4,1,0.666667,1,0.714286,0.5,1,5.5,1,0
1,0,5,0.5,1,0,0.466667,0,5,1,0
0,1,4,1,1,0,1,0,2.5,1,0
0,0,3,2,0,0,1,0,0,1,0
0,15,25,0.755556,1,0,0.233333,1,12.3,6,0
0,66,0,2,0,0.938889,0.472222,1,4.583333,1,0
0,0,11,0,0,0,0.4,0,13.8,2,0
0,1241,7,0.943951,1,0.277778,0.205451,0,27.796296,5,0
0,2,1,0.85,0,0.777778,0.333333,0,10.2,1,0
0,570,2,0.848765,0,0.825243,0.12012,18,29.108108,9,1
3,29,3,0.777778,1,0,0.65,0,5.3,2,0
0,20,0,0.5,0,0.461538,0.4,0,26.375,5,0
2,0,2,0,1,0.923077,0.625,0,8,1,0
0,108,5,0.809211,1,0,0.235714,0,8,1,0
2,1,2,0,0,0,0.666667,0,4,1,0
