@relation mydataframe
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute MaxCyclomaticModified numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomaticStrict numeric
@attribute bug {'1','0'}
@data
4,82,5,61,7,191,328,719,51,0.28,246,'1'
0,0,0,0,0,0,16,0,0,0,0,'0'
4,54,4,49,1,185,65,19001,26,0.04,277,'1'
2,37,5,27,5,137,236,397,25,0.32,146,'0'
1,21,1,9,3,13,40,20,5,0.73,9,'0'
1,3,0,3,0,1,17,0,1,5.67,1,'0'
1,4,0,4,0,2,15,2,1,3,1,'0'
1,17,3,14,0,39,17,71,3,0.15,14,'0'
1,19,0,14,5,45,98,85,8,0.61,33,'0'
1,13,1,12,1,52,42,97,7,0.21,43,'0'
3,44,4,31,9,34,89,94,14,0.48,39,'1'
1,47,4,35,9,65,135,179,23,0.35,124,'1'
1,58,4,36,18,8,51,23,5,1.42,5,'0'
0,0,0,0,0,0,16,0,0,0,0,'1'
7,48,3,45,0,18,29,81,16,0.21,40,'0'
2,32,5,23,4,313,320,632,31,0.24,315,'1'
3,44,6,24,12,23,60,36,7,0.85,14,'1'
3,36,5,26,4,684,625,1312,36,0.21,649,'1'
1,20,3,14,3,147,157,220,7,0.35,74,'1'
1,94,10,84,0,3,40,46,22,0.48,26,'0'
0,0,0,0,0,0,16,0,0,0,0,'0'
0,0,0,0,0,0,16,0,0,0,0,'0'
1,8,1,8,0,13,15,14,1,0.48,3,'1'
1,10,1,9,0,19,15,18,2,0.35,6,'0'
3,23,2,19,1,39,55,115,8,0.25,43,'0'
1,89,12,49,12,3,30,16,10,0.61,21,'0'
1,14,1,13,0,22,123,42,4,1.84,14,'0'
1,33,2,26,2,57,45,232,30,0.12,80,'1'
1,24,2,19,0,37,32,108,13,0.18,38,'1'
2,54,3,39,7,44,120,175,23,0.34,72,'1'
2,28,2,19,6,51,82,89,12,0.42,35,'1'
4,57,6,40,10,348,709,901,37,0.34,509,'1'
2,43,5,26,12,38,169,166,12,0.58,62,'1'
8,93,15,72,1,27,23,111,23,0.1,41,'0'
2,39,3,29,6,264,381,624,29,0.3,223,'0'
1,13,1,9,0,18,26,4,1,0.96,3,'0'
3,40,4,22,4,46,55,126,9,0.22,55,'1'
1,13,2,10,1,26,25,45,6,0.29,20,'0'
3,41,5,31,4,254,344,479,16,0.36,148,'1'
2,36,3,22,5,113,148,212,21,0.29,100,'1'
3,47,5,40,0,38,81,141,16,0.37,47,'1'
4,100,16,53,5,34,59,194,25,0.19,49,'1'
4,4294967289,3,21,1,72,35,97,10,0.17,51,'0'
2,19,3,16,1,47,52,52,13,0.44,25,'0'
2,23,2,19,2,129,62,144,14,0.17,77,'1'
5,52,7,34,2,19,25,38,9,0.32,15,'0'
4,4294967253,3,23,2,67,61,96,16,0.28,40,'1'
2,24,2,16,2,58,68,46,11,0.54,26,'0'
3,23,3,20,0,80,50,91,12,0.25,34,'0'
3,39,5,30,3,258,357,572,32,0.27,321,'1'
5,65,7,49,6,197,190,357,40,0.25,131,'1'
4,65,4,54,6,274,324,747,72,0.19,423,'1'
2,39,4,30,5,38,37,52,13,0.32,19,'1'
2,56,5,36,15,123,293,279,50,0.48,114,'1'
1,16,2,12,2,43,26,39,3,0.32,8,'1'
2,18,3,14,1,51,25,46,8,0.26,14,'1'
2,25,4,18,3,59,137,92,10,0.79,34,'1'
3,47,6,34,5,166,143,382,26,0.2,153,'1'
3,45,5,33,4,260,234,640,27,0.21,232,'1'
