@relation mydataframe
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute bug {'1','0'}
@data
1.4,1.4,1.3,1.3,1.3,2,2,2,1.2,'0'
1,1,1,1,1,1,1,1,1,'1'
1,11,0.04,40.27,21378.61,10,6,0,18,'1'
6,8,0.07,51.81,11436.73,2,5,0,16,'1'
1,3,0.11,27.25,2381.95,0,2,0,11,'1'
1,3,0.09,50.53,6423.73,2,4,0,11,'1'
1,6,0.06,48.72,11596.34,2,2,0,12,'1'
1,12,0.04,44.45,33061.94,3,2,0,16,'1'
1,6,0.06,45.99,12069,2,1,0,12,'1'
1,7,0.06,44.97,14278.39,2,1,0,14,'1'
1,9,0.05,49.62,21261.63,2,2,0,15,'1'
1,5,0.05,40.62,15808.22,4,5,0,14,'1'
4,8,0.04,63.91,45222.23,14,12,0,19,'1'
1,4,0.09,30.6,3953.7,0,0,0,11,'1'
12,19,0.03,42.59,36434.54,7,7,0,18,'1'
1,1,0.29,13.32,163.12,0,0,0,7,'1'
1,2,0.18,35.32,1040.96,0,1,0,8,'1'
3,6,0.03,50.21,44757.43,4,15,0,22,'1'
1,1,0.21,64.87,1454.65,0,1,0,7,'1'
1,1,0.3,25.75,286.12,0,1,0,5,'1'
1,1,0.03,2.77,4212,0,0,0,3,'1'
1,3,0.08,40.76,6889.27,0,3,0,12,'1'
1,4,0.07,17.26,3145.3,0,3,0,9,'1'
7,3,0.1,25.13,2307.76,0,1,0,10,'1'
1,14,0.03,52.25,49320.73,26,6,0,18,'1'
1,4,0.07,25.32,5182.54,0,2,0,12,'1'
1,4,0.07,23.08,4853.18,0,1,0,12,'1'
1,2,0.16,14.45,592.07,0,3,0,8,'1'
1,3,0.06,37.74,9661.93,2,2,0,12,'1'
9,15,0.04,53.35,34029.33,0,10,0,21,'1'
1,3,0.07,54.62,10838.4,3,4,0,12,'1'
1,3,0.05,48.4,21346.25,2,3,0,15,'1'
1,6,0.06,67.19,21062.86,4,6,0,14,'1'
3,8,0.03,46.62,39470.86,5,5,0,17,'1'
1,1,0.3,22.83,253.69,1,3,0,5,'1'
1,1,0.3,22.83,253.69,1,2,0,5,'1'
1,10,0.04,42.36,26476.59,7,6,0,16,'1'
3,5,0.09,36.86,5016.67,1,1,0,14,'1'
1,5,0.1,60.05,5594.49,0,0,0,12,'1'
1,5,0.1,55.44,5344.61,0,1,0,12,'1'
1,2,0.08,26.4,4124.97,2,2,0,10,'1'
1,3,0.14,55.59,2805.82,0,3,0,11,'1'
1,6,0.08,43.58,6323.86,0,2,0,10,'1'
1,6,0.08,45.58,6755.1,0,3,0,10,'1'
1,1,0.33,16.73,150.57,0,0,0,6,'1'
5,12,0.05,45.08,18860.59,4,5,0,15,'1'
1,1,0.18,21.07,666.77,2,2,0,9,'1'
1,3,0.11,32.82,2757.59,0,1,0,11,'1'
1,1,0.4,19.37,121.08,0,0,0,5,'1'
1,1,0.19,26.79,738.4,0,0,0,7,'1'
1,7,0.06,36.49,9342.72,0,6,0,12,'1'
11,13,0.03,69.24,60862.61,7,22,0,26,'1'
1,4,0.08,35.53,4935.43,0,0,0,15,'1'
1,4,0.08,74.95,13042.34,1,5,0,13,'1'
1,1,0.16,58.93,2265.23,0,0,0,8,'1'
5,5,0.05,26.93,9619.48,0,10,0,21,'1'
1,2,0.1,20.27,1954.18,0,0,0,12,'1'
1,1,0.17,16.5,593.95,0,1,0,8,'1'
1,2,0.14,44.72,2284.41,0,3,0,9,'1'
1,11,0.03,57.05,47016.12,2,10,0,22,'1'
1,8,0.04,43.95,26025.75,2,7,0,22,'1'
1,2,0.08,6.82,1123.8,0,0,0,11,'1'
1,1,0.18,23.08,723.9,0,0,0,8,'1'
1,4,0.05,22.01,9158.6,1,3,0,18,'1'
1,1,0.4,37,231.28,0,0,0,5,'1'
1,2,0.07,9.94,1880.19,0,1,2,11,'1'
1,1,0.27,7.49,105.28,0,0,0,5,'1'
1,1,0.22,23.93,500.08,1,1,0,8,'1'
1,1,0.33,6.55,58.95,0,0,0,6,'1'
1,2,0.29,25.9,304.49,2,0,0,6,'1'
1,1,0.19,14.1,388.55,0,0,0,7,'1'
