@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
0,9,34,28,9,6,166,1,0,0.950617,0.4,4,9,17.222222,1,'1'
0,7,37,4,7,7,277,1,0,0.917647,0.46875,4,4,32.875,1.375,'0'
0,8,39,0,8,4,200,1,0,0.925,0.5,1,1,48.5,0.75,'0'
0,16,77,69,16,10,504,1,0,0.72549,0.233333,1,1,32.133333,1.4,'0'
0,3,37,41,2,14,437,0.75,1,0.454545,0.311111,1,2,27.333333,0.8,'0'
0,5,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
0,10,56,119,10,15,460,1,0,0.685185,0.377778,0,0,23.833333,2,'0'
0,3,7,1,3,2,23,0,0,0.969697,1,0,0,10.5,0.5,'0'
0,5,4,6,1,4,4,0,0,0,0.5,0,0,0,1,'0'
2,19,56,48,17,10,757,1,4,0.836957,0.19375,3,7,45.625,2.5,'0'
0,7,21,0,7,7,144,1,0,0.860465,0.342857,1,1,19,1.4286,'0'
0,11,5,10,0,5,5,0,0,0,0.533333,0,0,0,1,'0'
0,6,21,0,6,3,146,1,0,0.948718,0.666667,0,0,47.333333,0.6667,'0'
0,9,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
0,5,17,0,4,5,107,1,0,0.848485,0.47619,2,5,13.857143,1.2857,'0'
1,7,9,0,2,3,47,1,0,0,0.666667,0,0,14.333333,0.6667,'0'
0,10,33,0,10,6,511,1,0,0.939759,0.555556,1,1,83.5,0.8333,'0'
0,16,36,3,12,10,246,1,2,0.795455,0.266667,1,3,23.2,2.3,'0'
0,14,67,130,13,16,812,1,4,0.660714,0.25,1,1,39.05,3.05,'0'
0,15,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
