@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,1,10,13,9,5,0.75,230,0,0.375,0,31.571429,20,'0'
1,0,25,36,4,9,2,9,0,0.296296,0,0,1,'1'
2,0,11,3,11,3,2,142,0,0.555556,0,46.333333,10,'0'
2,0,7,1,7,2,2,20,0,0.75,0,9,1,'0'
2,0,10,14,8,12,0.831169,390,0,0.3,0,30.916667,30,'0'
1,0,12,0,12,2,0,77,0,0.75,0,37,4,'1'
1,0,14,20,13,3,0.571429,552,1,0.244898,0,67.75,26,'1'
3,0,7,3,7,3,2,46,0,0.555556,0,14.333333,3,'0'
3,0,5,1,3,1,2,156,0,0.666667,5,77,5,'0'
1,0,1,0,0,7,0.722222,104,0,0.428571,0,13,5,'0'
2,7,14,0,7,10,0,173,0,0.283333,0,16.2,3,'0'
1,0,11,10,9,4,1,126,0,0.583333,0,24,1,'0'
1,0,9,1,1,2,2,2,0,0.75,0,0,1,'0'
1,0,7,6,1,4,2,4,0,0.7,0,0,1,'0'
1,0,10,3,9,3,0.4,145,0,0.25,0,23,3,'0'
1,0,0,0,0,1,2,4,0,1,0,3,0,'0'
1,0,16,245,4,24,0.943333,193,1,0.194286,0,5.961538,4,'0'
3,0,11,4,8,4,2,188,0,0.5,0,46,10,'0'
1,0,2,231,0,22,2,22,0,0.204545,0,0,1,'0'
1,0,11,1,9,2,0.5,166,0,0.5,0,54,11,'0'
1,0,8,0,6,5,0.25,124,0,0.6,0,23.6,5,'0'
2,0,9,0,7,8,0.571429,219,1,0.375,0,26,15,'0'
1,0,2,0,0,3,0,20,0,1,0,5.333333,1,'0'
1,0,10,20,10,3,0.714286,125,1,0.244898,0,14.375,3,'1'
1,0,4,58,3,15,0.858333,199,0,0.277778,0,10.9375,9,'1'
1,0,4,13,4,3,0.8,57,0,0.2,0,8.333333,1,'0'
1,0,11,8,10,3,0.25,122,0,0.3125,0,23.2,6,'0'
1,0,8,9,1,10,0.666667,157,0,0.475,0,14.4,2,'0'
1,0,8,1,2,2,2,2,0,0.666667,0,0,1,'0'
1,0,15,0,3,1,2,1,0,1,0,0,1,'1'
1,0,11,15,1,6,2,6,0,0.458333,0,0,1,'0'
3,0,12,6,8,4,0.75,159,0,0.75,0,30.6,9,'0'
1,0,6,0,3,5,0,154,0,0.5,0,24.5,7,'0'
2,0,9,4,9,3,0.8125,318,0,0.5,0,60.2,22,'0'
3,0,12,3,12,3,2,151,0,0.555556,0,49.333333,9,'0'
3,0,2,3,1,3,1.5,60,0,0.555556,0,15,0,'0'
1,0,37,1172,30,47,0.941568,1164,4,0.134615,0,20.471698,39,'1'
2,0,10,3,10,3,1.5,212,0,0.555556,0,69,12,'1'
1,17,24,10,7,0,1,142,0,0.45,0,24.8,5,'0'
1,0,15,29,7,14,0.769231,159,2,0.3,0,9.928571,10,'0'
1,0,13,20,13,3,0.714286,152,1,0.244898,0,17.75,5,'1'
1,0,6,1,0,1,1.692308,80,0,1,0,26,0,'0'
1,0,4,0,0,2,0.5,179,0,0.333333,0,42.75,4,'0'
2,2,14,1,12,1,2,377,0,0.666667,0,187.5,25,'0'
1,1,21,0,19,2,0.25,242,0,0.5,0,47,4,'0'
3,0,3,26,3,4,0.857143,208,0,0.464286,4,24.875,8,'0'
3,0,5,4,5,3,0.666667,30,0,0.666667,0,6.25,1,'0'
1,0,17,11,16,2,1.044444,244,1,0.333333,0,38.166667,13,'1'
