@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
0,5,0,4,9,0,213,1,0,0.37037,0,22.555556,1,'0'
0,6,351,5,27,2,27,0,0,0.412037,0,0,1,'1'
0,3,30,2,8,0.375,82,0,0,0.355556,0,8,1,'0'
0,27,7,27,3,0.805556,198,3,0,0.416667,0,26.428571,1,'0'
0,10,0,9,3,0.357143,224,3,0.684211,0.371429,1,26.5,2,'1'
0,9,2,7,3,0.666667,52,3,0,0.4,0,11.25,1,'0'
0,10,2,9,3,0.666667,71,2,0,0.833333,0,16,1,'0'
0,2,1,1,1,2,22,0,0,0.5,0,7,3,'1'
0,116,153,0,18,2,18,0,0,0.666667,0,0,1,'0'
0,3,12,1,7,0.625,100,0,0,0.541667,0,9.777778,4,'0'
0,3,0,1,7,0.611111,66,0,0.333333,0.392857,0,8,2,'0'
0,11,15,10,6,0.5,44,0,0.772727,0.265306,0,5.142857,1,'1'
0,12,42,9,13,0.611111,175,1,0.885714,0.276923,4,12.230769,3,'1'
0,9,5,9,3,0.5,143,1,0.8,0.305556,1,22.5,1,'0'
1,16,68,15,11,0.864662,537,3,0.419355,0.173684,1,25.15,12,'1'
6,8,0,2,2,1,23,1,0.944444,0.666667,0,9.5,1,'1'
0,8,15,6,6,2,42,0,0.971429,0.416667,3,6,1,'1'
0,4,31,4,14,0.634615,140,0,0.885714,0.3,4,8.714286,1,'1'
0,2,0,1,2,1,22,0,0.944444,0.666667,0,9,1,'0'
0,7,0,6,5,0.166667,153,1,0.684211,0.357143,1,20.571429,4,'1'
0,4,3,3,2,2,32,0,0.6,0.666667,0,9.666667,1,'1'
0,22,133,19,18,0.644444,174,2,0.485714,0.157895,1,7.894737,2,'0'
0,2,190,1,20,2,50,0,0,0.4875,0,1.5,1,'0'
0,7,28,7,4,2,237,0,0,0.625,0,28.625,11,'1'
3,4,6,1,3,0.75,24,0,0,1,0,3.4,1,'0'
0,5,7,5,2,0.7,59,0,0.6,0.36,1,8.5,2,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'0'
15,32,139,11,16,0.822222,216,3,0,0.175439,1,10.105263,5,'1'
0,1,0,0,0,2,0,0,0,0,0,0,0,'0'
1,7,137,6,16,0.857143,183,1,0,0.157895,0,8.263158,2,'0'
0,6,15,5,6,2,14,0,0,0.361111,0,1.333333,1,'1'
0,4,0,2,2,0.5,33,1,0,0.666667,0,9,2,'1'
0,1,0,0,0,2,0,0,0,0,0,0,0,'0'
0,3,1,2,2,2,17,0,0,0.666667,0,7.5,2,'0'
0,6,61,5,14,0.830769,81,5,0,0.297619,0,4.428571,1,'0'
2,101,168,5,12,0.954887,352,0,0,0.219298,0,16.25,3,'0'
0,9,85,8,10,0.739496,242,3,0,0.205882,0,12.055556,5,'1'
15,49,6,0,4,1.333333,21,0,1,0.666667,0,4,0,'1'
0,4,1,2,6,0.6,50,1,0,0.5,0,7,2,'0'
0,2,1,1,2,2,121,0,0,0.666667,0,59.5,13,'1'
0,4,0,1,9,0.5625,122,0,0.272727,0.555556,0,12.111111,4,'0'
0,11,26,11,6,0.833333,57,1,0.708333,0.229167,0,5,1,'1'
0,6,2,6,4,0.5,44,1,0,0.583333,0,7.4,2,'0'
0,5,3,3,3,2,10,0,0.5,0.666667,0,2.333333,1,'1'
0,4,3,1,3,2,3,0,0,0.833333,0,0,1,'0'
0,6,41,6,11,0.833333,99,2,0.333333,0.393939,1,7.727273,5,'0'
0,4,7,3,9,0.666667,120,0,0.789474,0.425,2,10.6,1,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'0'
0,6,0,5,4,0.4,85,1,0.857143,0.4,2,12.833333,1,'0'
0,7,46,7,11,0.795455,83,2,0.153846,0.266667,0,5.583333,2,'0'
0,40,32,2,7,0.975,240,9,0.631579,0.375,1,24.555556,4,'1'
0,5,0,2,1,2,9,0,0,1,0,8,0,'0'
0,2,189,1,22,0.84127,182,0,0,0.171717,0,7,7,'1'
2,4,0,2,4,0,28,0,0,0.75,0,5.75,1,'1'
0,0,0,0,1,2,22,0,0,1,0,3,0,'0'
0,20,151,18,15,0.846561,401,6,0.457143,0.155844,1,16.818182,10,'1'
0,2,3,1,0,2,63,0,0,0.5,0,20,1,'0'
0,6,9,5,4,0.75,75,3,0.923077,0.333333,0,9.142857,2,'1'
0,7,0,4,5,0.166667,41,1,0.807692,0.47619,1,4.714286,1,'0'
0,5,10,2,5,2,5,0,0,0.55,0,0,1,'1'
0,2,0,1,2,0,25,0,0.944444,0.666667,0,11,1,'0'
0,21,598,19,34,0.93254,335,2,0.375,0.143939,1,7.675676,6,'1'
0,4,3,4,3,2,18,0,0,0.833333,0,5,1,'0'
17,22,1,5,5,0.333333,33,1,0.684211,0.357143,1,3.571429,1,'0'
0,14,302,9,26,0.802469,303,2,0.788136,0.146104,4,9.607143,3,'1'
0,6,13,6,6,0.4,107,0,0.9,0.416667,0,16.666667,4,'0'
1,7,79,5,12,0.788462,118,2,0,0.25641,0,7.142857,3,'1'
0,4,91,4,13,0.538462,105,2,0,0.964286,0,6.357143,2,'1'
1,1,0,0,4,0,27,0,0,1,0,5.5,1,'0'
0,5,28,4,5,0.666667,103,0,0.384615,0.31746,2,10.111111,2,'0'
0,3,0,1,1,2,1,0,0,1,0,0,1,'0'
0,7,14,7,7,0.642857,101,2,0.666667,0.326531,0,11.375,1,'1'
0,19,16,17,6,0.541667,382,0,0,0.347222,0,41.111111,6,'0'
1,13,59,12,5,0.821429,189,2,0,0.222222,0,11.2,4,'0'
0,1,0,0,0,2,0,0,0,0,0,0,0,'0'
0,1,0,1,1,2,6,0,1,1,0,3,0,'0'
0,5,1,3,3,0,31,1,0,0.5,0,9,1,'0'
0,4,10,4,2,2,25,0,0.884615,0.4,2,4,1,'0'
0,22,81,20,14,0.867347,218,1,0,0.1875,0,13.066667,2,'0'
0,4,0,3,13,0,70,1,0,0.326923,0,4.307692,1,'0'
0,1,0,1,3,0.5,33,0,0.894737,0.555556,0,9.333333,1,'1'
0,7,26,7,1,0.571429,417,0,0.588235,0.390625,1,51,8,'0'
0,8,37,8,10,0.525,212,1,0.907407,0.272727,14,17.909091,6,'1'
0,11,21,9,3,2,167,0,0,0.3,0,22.857143,3,'0'
0,0,0,0,0,2,0,0,0,0,0,0,0,'0'
4,10,79,6,11,0.816327,146,1,0.647059,0.205357,1,8.266667,1,'0'
0,12,6,12,3,0.583333,88,0,0.555556,0.4,2,16,1,'0'
0,8,21,6,4,2,66,0,0.875,0.326531,0,8.428571,2,'0'
0,3,0,1,1,2,1,0,0,1,0,0,1,'1'
0,5,1,2,2,2,2,0,0,1,0,0,1,'1'
0,8,74,7,12,0.844444,154,1,0,0.1875,0,8.25,3,'1'
0,9,6,4,4,2,25,0,0.970297,0.625,2,5.25,1,'1'
0,8,26,7,13,0.625,161,0,0.907407,0.307692,2,11.076923,5,'1'
0,10,2,9,3,0.666667,75,2,0,0.833333,0,17,1,'0'
0,5,0,3,1,2,6,0,1,1,0,5,0,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,5,0,1,1,2,1,0,0,1,0,0,1,'0'
0,18,101,17,13,0.75,118,2,0.548387,0.2,1,6.733333,2,'0'
0,9,15,1,5,2,102,0,0,0.333333,0,16,5,'1'
0,6,112,2,14,0.6,301,0,0,0.4875,0,17.6875,1,'1'
0,3,484,3,21,0.854071,651,0,0,0.253456,0,18.6875,7,'0'
0,4,1,2,2,2,8,0,0,0.75,0,3,1,'0'
0,2,9,1,6,0.2,45,0,0.5,0.416667,0,6.333333,2,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'0'
0,4,0,2,1,2,1,0,0,1,0,0,1,'1'
0,5,0,4,2,0,27,0,0.947368,0.666667,0,12,1,'1'
0,3,59,3,13,0.753846,125,0,0,0.178571,0,7.571429,1,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,14,16,14,9,0.795455,104,4,0,0.345455,0,7.333333,1,'0'
0,2,9,1,6,0.2,41,0,0.5,0.5,0,5.666667,2,'0'
2,9,9,7,10,0.666667,86,3,0,0.285714,0,7.3,3,'0'
0,8,1,7,2,2,31,0,0.952381,0.625,0,14.5,2,'1'
0,4,3,3,3,2,21,0,0,0.533333,0,6,1,'1'
1,8,8,6,5,0.285714,82,0,0.65,0.375,1,9.125,1,'1'
1,36,1166,33,38,0.913495,993,8,0.213115,0.088751,1,17.769231,7,'1'
0,10,0,10,2,0.733333,88,4,0.814815,0.3,1,10.857143,1,'0'
0,20,293,19,23,0.905325,343,4,0.074074,0.134615,0,11.222222,3,'0'
0,6,10,5,8,0.5,185,0,0,0.333333,0,19.222222,4,'0'
2,17,51,9,10,0.6,85,2,0.677419,0.246753,1,6.545455,2,'0'
0,9,0,8,3,0.25,84,2,0.764706,0.4,1,15.4,1,'1'
0,0,0,0,5,0.5,32,0,0,0.466667,0,5,1,'1'
0,1,1,1,2,2,26,0,0,0.75,0,12,1,'0'
0,4,1,3,2,2,9,0,0,1,0,3.5,1,'1'
0,19,2,19,3,0.5,157,1,0.846154,0.466667,1,30,1,'0'
0,10,59,3,13,0.641026,126,1,0,0.375,0,7.785714,4,'1'
0,9,2,9,2,0.777778,33,2,0.904762,0.4,0,6.5,1,'0'
0,11,4,1,2,0.952381,89,7,0.857143,0.444444,1,19.5,1,'0'
0,3,0,2,1,2,13,0,1,1,0,12,0,'0'
0,1,0,0,3,0.666667,37,0,0.972222,0.45,0,7.75,2,'0'
0,2,1,0,2,2,2,0,0,1,0,0,1,'0'
0,7,1,7,1,2,42,0,0.958333,0.666667,2,20,1,'0'
0,17,864,14,38,0.907468,523,3,0,0.138889,0,10.311111,4,'1'
0,5,0,1,1,2,1,0,0,1,0,0,1,'1'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'1'
0,4,0,3,1,0,33,1,0.954545,0.666667,0,15,1,'1'
0,0,0,0,0,2,0,0,0,0,0,0,0,'0'
0,10,4,9,3,0.666667,81,0,0,0.4375,0,19,6,'0'
0,11,0,6,4,0,34,1,0.947368,0.541667,0,7.25,1,'0'
0,3,4,3,4,0.666667,22,1,0.5,0.5,0,4.25,1,'0'
1,13,12,11,2,0.785714,388,2,0,0.321429,0,47,11,'1'
0,3,1,2,2,2,54,0,0,0.666667,0,26,6,'1'
0,11,1,0,2,2,2,0,0,0.833333,0,0,1,'0'
0,17,1318,17,49,0.607843,435,1,0.319444,0.101496,2,7.288462,5,'0'
0,11,44,10,8,0.727273,121,3,0.666667,0.233766,1,8.75,2,'0'
0,3,1,3,2,2,12,0,0.9,1,0,5,1,'0'
12,22,17,9,7,0.777778,90,4,0.590909,0.28,1,7.6,2,'1'
1,10,0,5,24,0.08,236,1,0,0.258242,0,8.038462,2,'0'
0,4,6,4,3,2,62,0,0.92,0.375,1,14.5,1,'0'
0,13,43,13,6,0.833333,116,2,0.741935,0.333333,2,10.4,2,'1'
0,2,237,2,22,0.075758,230,0,0,0.381818,0,8.869565,2,'0'
0,0,0,0,0,2,0,0,0,0,0,0,0,'0'
0,2,1,1,2,2,2,0,0,1,0,0,1,'0'
0,4,10,0,5,2,5,0,0,1,0,0,1,'1'
0,9,147,7,14,0.705882,100,1,0.692308,0.259259,3,4.5,1,'0'
7,11,24,4,5,0.375,125,2,0,0.444444,0,12.666667,2,'0'
0,3,27,2,10,0.666667,69,1,0,0.425,0,5.6,1,'1'
0,10,7,8,3,0.7,85,1,0.84,0.36,0,12.833333,2,'0'
0,21,916,16,38,0.686364,461,3,0.232143,0.252525,1,9.133333,5,'1'
0,5,3,3,3,2,65,0,0.882353,0.416667,0,20.666667,4,'0'
0,5,1,4,2,2,32,0,0,0.75,0,15,1,'0'
0,16,43,15,1,0.5,248,0,0.470588,0.4,4,21.454545,10,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'0'
0,5,4,5,3,0.666667,38,1,0.857143,0.466667,0,8.25,1,'1'
0,7,28,5,7,0.545455,507,1,0,0.329545,0,41,6,'1'
0,4,9,4,5,0.2,41,0,0,0.416667,0,5.666667,2,'1'
0,31,0,1,0,2,0,0,0,0,0,0,0,'0'
0,6,516,1,41,0.875,507,0,0,0.297561,0,10.95122,1,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,2,0,1,2,0,25,0,0.944444,0.666667,0,11,1,'0'
2,10,0,5,2,0,86,0,0.8125,0.5625,0,20.25,2,'1'
0,6,62,5,15,0.65,190,0,0.877358,0.375,4,10.625,2,'1'
0,0,45,0,9,2,81,0,0,0.25,0,7.1,2,'1'
0,2,0,1,7,0.583333,108,1,0.85,0.571429,0,14.142857,3,'0'
0,3,7,2,5,0.8,80,0,0.782609,0.416667,0,11.666667,3,'0'
0,17,52,16,12,0.681818,140,2,0.65625,0.191667,1,10.5,2,'0'
3,5,8,1,1,0.75,44,0,0.85,0.4,3,7.6,4,'0'
1,4,3,1,3,1.5,17,0,1,0.777778,0,4.333333,0,'0'
0,8,35,7,13,0.153846,105,0,0.657143,0.339286,7,6.428571,2,'0'
0,3,0,3,2,0.333333,86,0,0.884615,0.4375,3,20.25,3,'0'
4,5,9,0,5,0.6,23,0,0,0.5,0,2.666667,1,'0'
0,5,0,1,1,2,1,0,0,1,0,0,1,'0'
0,2,0,1,1,2,14,0,1,1,0,12,0,'0'
0,6,3,2,3,2,3,0,0,0.666667,0,0,1,'0'
0,4,0,4,2,0,22,1,0.947368,0.666667,0,9.5,1,'0'
27,31,49,2,7,0.807692,200,0,0,0.380952,0,12.857143,3,'1'
0,11,9,10,3,0.4,189,0,0.428571,0.333333,0,30.333333,5,'0'
0,2,1,0,2,2,2,0,0,1,0,0,1,'0'
0,3,0,2,3,0,21,0,0,0.666667,0,5.666667,1,'0'
4,12,17,4,3,0.75,108,1,0,0.428571,0,14.142857,3,'1'
0,1,0,0,6,0,52,0,0.692308,0.5,0,7.5,1,'1'
3,17,55,12,15,0.666667,168,1,0.622222,0.131579,3,7.684211,2,'1'
0,10,1,9,2,0.5,66,0,0,0.75,0,20.666667,1,'0'
0,4,10,3,4,2,56,0,0,0.44,0,10.2,1,'0'
11,23,687,10,31,0.897368,405,7,0,0.133772,0,9.128205,4,'1'
0,4,1,3,3,0,47,0,0,0.5,0,14.333333,2,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'0'
0,38,6,5,4,2,4,0,0,0.5,0,0,1,'0'
0,11,9,11,7,0.791667,75,3,0,0.357143,0,9.142857,1,'0'
0,6,4,1,2,0.916667,56,4,0.857143,0.444444,1,12,1,'0'
0,4,0,3,3,0.5,32,2,0.894737,0.555556,0,9,1,'0'
1,15,142,14,12,0.808333,276,2,0.4,0.2,2,11.857143,3,'0'
0,5,0,1,1,2,1,0,0,1,0,0,1,'0'
0,4,1,3,2,2,9,0,0,1,0,3.5,1,'1'
0,23,48,22,5,0.738095,614,4,0,0.314815,0,45.692308,8,'1'
0,9,15,6,6,2,42,0,0.971429,0.416667,3,6,1,'1'
6,8,6,2,3,2,37,0,0,0.5625,0,8.25,2,'0'
0,10,0,10,2,0,134,0,0.92,0.5,1,43.333333,2,'0'
0,4,104,4,8,0.90625,496,0,0.529412,0.338235,5,27.470588,12,'0'
0,2,8,2,5,0.5,57,0,0,0.3,0,10.2,2,'1'
0,12,11,12,5,0.6,87,1,0.857143,0.305556,0,13.166667,1,'0'
0,4,0,3,2,0.5,17,2,0.944444,0.625,0,6.5,1,'1'
0,16,218,15,20,0.753623,275,2,0.808696,0.284722,4,10.208333,4,'1'
0,13,0,13,5,0.642857,115,2,0.76,0.314286,0,12.875,2,'0'
0,0,0,0,0,2,0,0,0,0,0,0,0,'0'
2,9,3,7,1,2,24,0,0.954545,0.533333,0,7,1,'0'
0,5,21,3,6,2,112,0,0,0.607143,0,15,4,'0'
0,9,3,9,3,0.666667,43,2,0.826087,0.28,0,5.666667,1,'0'
0,5,1,4,2,2,40,0,0,0.75,0,19,1,'0'
0,3,9,2,7,0,59,1,0,0.5,0,7.285714,1,'0'
0,13,264,10,19,0.804348,186,1,0.631579,0.220238,2,6.666667,1,'0'
0,6,35,6,13,0.153846,132,0,0.657143,0.339286,7,8.357143,2,'0'
0,10,5,10,3,0.5,128,1,0.8,0.305556,1,20,1,'0'
0,8,0,8,5,0.375,163,0,0.826087,0.4,0,31.2,1,'0'
9,15,54,5,10,0.545455,98,0,0.521739,0.333333,2,7.083333,2,'1'
0,13,131,6,16,0.882353,144,2,0,0.235294,0,6.666667,2,'0'
1,15,407,14,27,0.862069,251,2,0,0.130769,0,7.266667,2,'1'
0,8,48,8,14,0.4,188,0,0.621622,0.2625,7,10.6875,4,'0'
3,6,3,3,2,2,47,0,0.6,0.666667,0,14.666667,1,'0'
0,10,21,9,1,2,138,0,0,0.5,0,18.714286,9,'0'
0,12,0,12,2,0.633333,227,2,0.791667,0.333333,0,30.714286,3,'0'
3,12,41,2,10,0.666667,91,1,0,0.327273,0,7,1,'1'
0,5,71,5,13,0.785714,113,0,0.638889,0.35,6,6.333333,2,'0'
0,1,0,0,7,0.25,83,0,0.692308,0.714286,0,10.571429,1,'1'
0,23,943,22,38,0.874582,1056,1,0.274194,0.104859,0,21.191489,6,'1'
0,4,1,3,2,2,9,0,0,1,0,3.5,1,'1'
0,1,208,1,20,0,215,0,0,0.409524,0,9.142857,5,'0'
0,11,59,10,9,0.692308,349,1,0.676471,0.24359,4,23.785714,4,'0'
0,4,0,3,3,0.5,34,1,0.894737,0.555556,0,9.666667,1,'0'
0,4,3,3,1,2,308,0,0.666667,1,1,101.666667,1,'0'
0,3,188,3,20,0.105263,168,0,0,0.4875,0,7.3,2,'0'
0,1,9,0,7,0.333333,47,0,0,0.47619,0,5.428571,1,'0'
0,9,1,1,2,2,2,0,0,0.75,0,0,1,'1'
0,6,24,6,9,0.6875,78,1,0,0.407407,0,7.444444,1,'0'
0,6,0,2,4,0,52,0,0.875,0.4375,0,11.75,2,'1'
0,22,0,3,1,2,1,0,0,1,0,0,1,'1'
0,2,4,1,4,0.333333,24,0,0.857143,0.75,2,4.75,1,'0'
0,5,318,5,29,0.86039,304,0,0.781513,0.199234,4,9.103448,1,'1'
0,13,10,6,4,2,63,0,0,0.44,0,11.6,2,'1'
3,4,0,0,1,2,7,0,1,1,0,5,0,'0'
0,5,1,4,1,2,23,0,0,0.5,0,10.5,3,'0'
0,7,13,7,4,0.466667,78,1,0.782609,0.444444,1,11.5,2,'0'
0,4,3,3,1,2,77,0,0.666667,1,1,24.666667,1,'0'
0,18,0,0,1,2,1,0,0,1,0,0,1,'1'
4,9,7,5,5,0.6,49,2,0.722222,0.375,0,6.833333,2,'0'
0,3,0,2,2,0,21,0,0.947368,0.666667,0,9,1,'1'
0,12,230,12,22,0.65,318,2,0,0.13,0,11.52,3,'1'
0,5,0,4,2,0,39,1,0,0.666667,0,18,1,'0'
0,18,126,17,14,0.782895,299,2,0.714286,0.16,1,13.55,2,'0'
2,5,6,3,1,2,93,0,0,0.4,0,22.25,4,'0'
0,14,19,8,6,0.966667,63,2,0,0.3,0,7.285714,2,'0'
0,3,0,3,22,0.521739,199,0,0,0.373913,0,7.166667,1,'0'
0,14,0,14,2,0.5,129,2,0.88,0.4375,1,24.4,5,'0'
0,2,1,2,1,2,15,0,0.965517,0.625,1,6.5,1,'0'
0,5,0,4,3,0.25,54,1,0,0.466667,0,16.333333,2,'1'
0,2,3,1,3,2,16,0,1,0.777778,0,4.333333,0,'0'
0,4,0,2,5,0,43,1,0,0.6,0,7.4,1,'0'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'1'
0,3,1,3,1,2,17,0,0.958333,0.666667,2,7.5,1,'0'
0,8,28,7,1,2,396,0,0.588235,0.347222,1,48.5,7,'0'
0,4,1,4,1,2,11,0,0.958333,0.666667,1,4.5,1,'0'
2,12,56,10,11,0.84375,257,5,0.464286,0.179688,1,13.529412,2,'1'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,2,1,1,3,0.5,15,0,0.666667,0.666667,0,3.666667,1,'0'
0,3,0,3,1,0,13,1,1,1,0,5,0,'0'
0,5,0,5,2,0,30,2,0,0.625,0,13,1,'0'
0,22,3486,20,83,0.960359,1002,1,0,0.092697,0,9.775281,29,'0'
0,2,0,1,2,1,22,0,0.944444,0.666667,0,9,1,'0'
0,8,2,7,2,0.5,131,2,0,0.777778,0,31.25,3,'1'
0,127,36,7,9,2,9,0,0,0.333333,0,0,1,'1'
0,1,3,1,3,2,12,0,0.923077,0.666667,2,3,1,'1'
0,3,4,1,2,0.962963,111,9,0.857143,0.444444,1,24.5,1,'0'
0,3,1,2,1,0.5,14,0,0.8,1,0,3.333333,1,'0'
0,0,6,0,5,0.75,24,0,0,0.466667,0,3.4,1,'0'
0,9,257,8,25,0.905455,216,0,0,0.136364,0,6.884615,2,'1'
0,1,0,1,1,2,7,0,1,1,0,3,0,'0'
0,9,6,6,4,2,28,0,0.923077,0.4375,1,6,1,'1'
0,11,6,9,4,2,43,0,0.970297,0.4375,0,9.75,1,'1'
0,8,10,6,5,2,36,0,0.980769,0.4,2,6.2,1,'1'
0,3,1,2,2,2,7,0,0,0.666667,0,2.5,1,'1'
0,104,0,1,1,2,1,0,0,1,0,0,1,'0'
0,3,66,1,11,2,112,0,0,0.1,0,8.333333,1,'1'
0,3,105,1,13,2,519,0,0,0.28,0,33.6,5,'1'
0,10,165,8,15,0.833333,109,1,0.679245,0.245614,3,4.684211,1,'0'
3,5,6,0,4,2,20,0,1,0.666667,0,4,0,'1'
0,4,9,3,6,0.933333,75,0,0,0.5,0,11,4,'1'
2,3,0,0,1,2,7,0,1,1,0,5,0,'0'
0,3,1,2,1,0.5,14,0,0.8,1,0,3.333333,1,'0'
0,11,36,5,9,2,9,0,0,0.349206,0,0,1,'0'
0,27,119,27,6,0.745098,356,2,0,0.235294,0,18.611111,6,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,21,1,0,2,2,2,0,0,1,0,0,1,'0'
0,1,0,1,4,0.333333,22,0,0.666667,0.583333,0,4.25,1,'0'
0,10,73,10,10,0.461538,192,0,0,0.306122,0,12.571429,2,'0'
0,12,26,8,5,0.714286,258,1,0,0.301587,0,31.125,6,'0'
0,7,6,6,4,2,27,0,0.923077,0.4375,1,5.75,1,'0'
0,3,0,2,3,0.333333,45,0,0.857143,0.625,1,10,1,'0'
0,16,52,13,4,0.854167,120,1,0,0.202381,0,7.923077,2,'0'
0,3,1,1,2,2,12,0,1,0.833333,0,4.5,0,'0'
0,14,29,14,11,0.82,101,2,0.52381,0.340909,0,7.727273,1,'0'
0,18,330,16,28,0.771605,241,5,0.074074,0.117347,0,7.392857,2,'1'
