@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
3,0,42,7,1,12,9,280,0.5,0,0.285714,3,26.6,1.4,'1'
1,1,21,0,1,3,1,477,1,1,0.5,0,45.3,1,'1'
2,0,42,0,2,10,15,393,0.333333,0,0.352941,1,21.941176,0.8824,'1'
2,5,7,10,12,6,4,14,0,0,0.466667,1,1.8,0.8,'0'
1,0,4,6,22,1,4,4,0,0,0.5,0,0,1,'1'
1,6,19,79,15,1,11,133,1,0,0.785714,0,8.142857,1,'1'
1,0,12,66,3,0,12,12,0,0,0.583333,0,0,1,'0'
1,0,25,3,1,1,13,237,0,0,0.404762,0,15.5,0.9286,'0'
1,0,29,67,9,22,12,199,0.333333,12,0.403846,0,12.357143,0.8571,'1'
1,0,3,1,0,2,2,7,0,0,0.75,0,2.5,0.5,'0'
1,0,44,0,8,4,4,981,0.461538,1,0.243056,0,52.777778,1.3333,'1'
2,2,30,21,3,1,9,438,0.625,0,0.328571,1,27.666667,1.2667,'1'
1,0,29,0,2,7,0,395,0.666667,5,0.479167,0,62.833333,0.6667,'1'
2,0,15,0,1,2,0,158,1,0,0.425,1,17.875,0.875,'0'
2,1,53,0,2,21,14,577,1,1,0.23125,1,34.875,1.25,'0'
1,0,11,55,6,12,11,11,0,0,0.263636,0,0,1,'1'
2,0,55,12,3,10,13,407,1,0,0.158824,2,22.705882,2.0588,'1'
1,2,18,105,19,0,15,196,0,0,0.311111,0,12.066667,0.9333,'1'
1,0,17,6,2,0,4,147,0,0,0.333333,0,35.75,0.75,'0'
1,0,19,0,3,3,8,160,1,2,0.34375,0,18.25,1.125,'0'
3,0,5,1,1,3,2,21,0,0,0.75,0,9.5,0.5,'1'
2,0,61,0,1,16,17,664,1,1,0.157738,1,22.464286,1.3929,'1'
2,1,25,0,2,5,5,201,1,2,0.309524,1,26.571429,0.8571,'1'
3,0,47,0,2,8,12,353,1,0,0.208333,2,28.083333,1.75,'0'
1,0,39,0,22,2,17,415,0.5,0,0.426471,0,23.294118,2.5882,'1'
1,0,12,66,3,0,12,12,0,0,0.583333,0,0,1,'1'
1,0,12,0,5,1,0,95,0,2,0.533333,0,16.6,0.8,'0'
3,0,19,0,3,7,0,326,1,1,0.34375,1,79.75,1.5,'1'
1,0,51,164,12,6,16,482,0.25,0,0.261111,0,22.7,1.5,'1'
1,0,1,0,17,1,1,1,0,0,1,0,0,1,'0'
1,0,39,0,1,5,5,339,1,1,0.333333,0,54.666667,1.3333,'1'
2,0,13,0,1,4,4,52,1,1,0.5,0,11.75,0.75,'1'
1,0,54,41,2,11,10,675,0.533333,5,0.237037,0,43,1.2,'1'
3,0,12,1,0,7,1,52,0,0,0.833333,0,25,2.5,'0'
1,0,61,69,2,16,0,745,1,4,0.237374,0,40,1.3333,'1'
1,9,13,0,12,0,8,275,1,0,0.444444,0,21.666667,2.0833,'1'
1,15,39,72,48,7,12,249,1,0,0.230769,0,18.076923,1.8462,'0'
1,0,36,58,1,7,13,191,1,2,0.201923,0,13.384615,0.9231,'1'
2,0,20,0,1,5,5,141,1,2,0.4,1,26.6,0.8,'0'
1,1,151,1520,1,33,40,3329,0.595238,12,0.112169,0,50.359375,2.4844,'1'
2,0,4,1,1,3,2,10,0,0,0.666667,0,4,0.5,'0'
2,0,21,0,3,3,0,274,0,1,0.5,1,53.4,5,'1'
2,4,12,8,4,4,8,68,1,1,0.3125,2,7.25,1.375,'1'
2,0,64,171,12,11,22,443,1,0,0.102564,2,15.222222,1.5926,'1'
1,0,6,0,8,0,0,100,0,0,0.55,0,18.2,0.4,'0'
1,0,21,0,71,0,9,138,0,0,0.291667,1,10.333333,1.3333,'1'
1,1,16,0,1,5,1,66,1,1,0.666667,0,31.5,0.5,'0'
2,0,22,0,10,6,6,100,1,1,0.232143,2,11.375,1.375,'1'
3,2,8,4,2,2,2,122,1,0,0.583333,0,27.75,0.75,'1'
4,0,2,0,28,0,1,5,0,0,1,0,4,0,'0'
2,0,31,23,0,9,5,410,1,0,0.313131,1,36.090909,0.8182,'1'
2,0,9,3,2,3,0,47,0,0,0.555556,1,14.666667,1.6667,'0'
1,3,33,141,32,4,18,177,1,1,0.296296,0,8.777778,0.9444,'1'
1,0,43,13,1,0,13,1174,1,0,0.253086,0,42.185185,5.7407,'1'
1,3,28,247,29,14,22,131,1,1,0.273913,0,4.652174,0.9565,'1'
4,0,7,3,1,5,2,38,0,0,0.5,1,11.666667,1.6667,'1'
1,6,4,3,12,1,3,8,0,0,0.666667,0,1.666667,0.6667,'1'
2,0,17,3,1,3,4,102,1,0,0.611111,0,15.833333,0.6667,'1'
2,1,37,0,2,5,9,357,1,1,0.416667,1,28.083333,0.8333,'0'
1,0,25,0,1,3,6,241,1,1,0.242857,0,20.454545,1.4545,'0'
2,1,12,17,1,1,8,185,0.75,0,0.36,1,17.1,0.9,'0'
1,0,10,2,7,0,8,83,0.666667,1,0.5,1,7.888889,1.1111,'0'
3,0,22,9,2,6,6,122,0.333333,1,0.333333,2,16,1.7143,'1'
1,1,16,0,1,2,0,178,1,1,0.611111,0,28.166667,1.3333,'0'
1,0,2,1,5,0,2,2,0,0,1,0,0,1,'1'
4,1,4,1,1,1,1,9,0,0,0.666667,1,3.5,0.5,'0'
2,0,14,15,3,5,5,57,0,0,0.333333,2,8.5,1.1667,'1'
1,0,18,0,5,2,10,104,1,2,0.375,1,9.2,1.4,'0'
1,0,2,1,2,0,2,2,0,0,1,0,0,1,'1'
1,0,7,1,17,0,2,21,0,0,0.5,0,9.5,1,'0'
