@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
0,6,128,5,23,0.948864,429,3,0.333333,0.352,6,15.28,0.92,'1'
0,4,138,4,20,0.84689,336,7,0.28,0.225,2,15.25,0.9,'1'
0,8,235,6,21,0.924242,379,0,0.354839,0.289855,5,15.086957,1.4783,'1'
0,5,159,3,18,0.702381,325,0,0.366667,0.266234,6,13.590909,1.4545,'1'
0,3,6,1,4,2,20,0,1,0.666667,0,4,0,'1'
0,6,9,4,7,0.833333,173,5,0,0.571429,0,22.857143,1,'1'
0,4,37,3,14,0.833333,151,2,0.368421,0.375,2,9.357143,0.8571,'0'
0,5,49,3,9,0.933333,107,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,5,43,4,9,0.85,117,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,10,0,10,4,0,492,2,0,0.5625,0,121,2,'1'
0,4,120,3,16,2,105,0,0.625,0.53125,0,5.5625,0.9375,'1'
0,6,43,4,12,0.717949,346,0,0.5,0.517857,6,23.5,1.1429,'1'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'0'
0,1,10,1,5,1,18,0,0.7,0.6,2,2.4,0.6,'1'
0,5,49,3,9,0.933333,106,0,0.578947,0.522727,6,8.363636,0.8182,'0'
0,93,32,93,5,0.75,1079,0,0,0.253968,0,118.666667,11.1111,'1'
0,8,24,2,8,0.863636,319,0,0,0.214286,0,25.25,1.25,'0'
0,8,10,4,5,2,50,0,0.555556,0.5,0,9,0.8,'0'
0,6,39,5,21,0.772727,382,4,0.354839,0.356522,6,15.26087,0.913,'1'
0,6,0,1,1,2,1,0,0,1,0,0,1,'0'
0,7,0,5,7,0.571429,134,2,0,0.458333,0,15.375,1.375,'0'
0,2,24,2,9,0.9375,48,0,0.5,0.416667,2,3.888889,0.7778,'1'
0,2,3,2,2,2,112,0,0,0.333333,0,36.333333,2.3333,'0'
0,5,49,3,9,1,109,0,0.578947,0.522727,6,8.454545,0.8182,'1'
0,6,4,5,15,0.7,252,3,0.44,0.376471,6,13.529412,0.8824,'1'
0,6,6,0,4,2,4,0,0,1,0,0,1,'0'
0,4,9,2,4,0.8,218,0,0,0.666667,0,34.833333,1.1667,'1'
0,7,0,1,1,2,1,0,0,1,0,0,1,'0'
0,7,198,5,19,0.921429,234,0,0.37931,0.361905,4,9.809524,1.5714,'1'
0,2,0,1,4,0.222222,129,1,0,0.4375,1,30.5,2.5,'0'
0,6,4,6,4,0.333333,82,0,0,0.416667,0,19.25,1.25,'0'
0,5,43,4,9,0.85,117,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'0'
0,5,49,3,9,0.933333,107,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,0,0,0,0,2,7,0,0,0,0,0,0,'0'
0,6,21,3,7,2,7,0,0,0.4,0,0,1,'1'
0,6,115,5,37,0.858553,697,9,0.234043,0.277778,6,16.461538,0.9487,'0'
0,6,0,3,41,1,329,1,0,0.304762,0,5.761905,0.9762,'1'
0,7,2,3,6,0.6875,145,0,0.611111,0.527778,6,14.666667,1.1111,'1'
