@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
2,0,3,4,1,2,2,10,0,0.666667,0,4,0.5,'0'
1,0,4,37,0,9,0.388889,278,0,0.34,0,26.6,1.6,'0'
1,0,1,43,13,13,0.600962,1174,0,0.253086,0,42.185185,5.7407,'0'
1,0,21,1,0,1,2,1,0,1,0,0,1,'1'
1,2,19,4,3,3,2,7,0,1,0,1.333333,0.6667,'1'
3,0,8,8,1,0,2,61,0,0.583333,1,29.5,0.5,'1'
2,0,6,30,1,7,0,373,0,0.314286,1,51.571429,3.5714,'0'
1,0,5,2,0,1,2,16,1,1,0,12,0,'1'
2,3,4,14,0,6,0.575,204,0,0.416667,1,21.111111,1,'1'
1,0,8,29,0,0,0.436364,383,5,0.479167,0,61,0.6667,'1'
2,1,19,50,0,13,0.47619,557,1,0.251852,1,35.933333,1.2667,'1'
4,0,2,18,0,4,0.55,380,1,0.4,1,74,4.8,'1'
2,0,12,55,12,13,0.625,404,0,0.158824,2,22.529412,2.0588,'1'
1,1,18,17,91,14,2,189,0,0.297619,0,12.5,0.9286,'1'
2,0,6,4,1,0,2,39,0,0.666667,1,18.5,2,'0'
2,0,4,10,15,6,2,31,0,0.666667,1,4.166667,0.8333,'0'
2,0,14,2,0,0,2,11,1,1,0,9,0,'0'
3,0,7,46,0,12,0.613636,343,0,0.208333,2,27.25,1.75,'1'
1,0,23,35,0,14,0.5,341,0,0.428571,0,23.214286,2.5714,'1'
1,0,3,1,0,0,2,87,0,0,0,68,0,'0'
1,0,5,52,282,7,0.720301,2855,1,0.405714,0,77.777778,7.0556,'1'
3,0,8,11,0,0,0,106,0,0.571429,1,51.5,0.5,'1'
1,5,25,8,15,6,2,21,0,0.583333,0,2.5,0.8333,'0'
2,0,12,12,1,6,0.64,173,6,0.35,0,26.166667,1.5,'0'
1,0,13,54,41,10,0.804762,675,5,0.237037,0,43,1.2,'0'
1,0,10,36,2,0,0.625,319,3,0.333333,0,62,0.8,'1'
3,0,3,19,12,4,0.666667,125,1,0.3,2,14.25,0.875,'0'
1,13,45,39,72,12,0.833333,249,0,0.230769,0,18.076923,1.8462,'0'
2,0,9,32,0,9,0.291667,340,2,0.259259,2,36.444444,3,'0'
2,0,9,28,0,6,0,147,1,0.333333,2,23.333333,1.5,'0'
3,0,9,29,15,11,0.6,523,3,0.285714,1,33.2,1.7333,'0'
1,1,14,4,0,2,0.666667,25,1,0.583333,0,6.333333,0.6667,'0'
2,3,4,5,1,1,0.5,17,0,0.666667,0,4.333333,0.3333,'0'
1,0,0,8,3,1,1,27,0,0.333333,0,7.666667,1,'0'
1,0,5,18,0,8,0.5,1224,0,0.5,0,134.555556,1,'1'
1,5,5,18,5,1,0.6,88,0,0.7,0,13.333333,0.5,'0'
2,0,10,41,10,15,0.133333,257,0,0.375,0,15,0.875,'1'
2,5,15,7,10,4,2,14,0,0.466667,1,1.8,0.8,'0'
1,0,8,33,25,10,0.722222,178,2,0.228571,0,16.4,0.9,'1'
2,0,6,20,0,5,0.5,141,2,0.4,1,26.6,0.8,'0'
1,1,30,129,888,32,0.873874,2830,11,0.13273,0,52.711538,2.6731,'1'
2,0,4,4,1,2,2,10,0,0.666667,0,4,0.5,'0'
2,0,6,21,0,0,0.375,274,1,0.5,1,53.4,5,'0'
1,6,21,3,1,2,2,5,0,0.666667,0,1.5,0.5,'0'
4,0,2,4,1,1,2,13,0,0.666667,1,5.5,1,'0'
3,0,6,31,0,11,0.375,218,2,0.208791,2,15.615385,1.3077,'0'
3,0,5,17,1,2,0.5,98,0,0.75,0,31,0.3333,'0'
2,0,14,22,0,6,0.142857,100,1,0.232143,2,11.375,1.375,'1'
3,2,4,8,4,2,0.857143,122,0,0.583333,0,27.75,0.75,'0'
1,0,1,29,16,6,0.142857,330,0,0.314286,0,40.125,2.5,'0'
1,0,11,6,6,3,1,15,2,0.833333,0,2.25,0.75,'0'
1,3,35,13,66,12,2,15,0,0.875,0,0.25,0.9167,'1'
3,0,8,42,0,10,0.45,285,0,0.220779,2,24.727273,1.7273,'1'
3,0,6,7,3,2,2,23,0,0.5,1,6.666667,1,'1'
1,1,3,15,0,7,0.571429,133,0,0.35,0,15.25,1.75,'0'
1,0,1,25,22,6,0.428571,126,0,0.178571,0,14.625,1.375,'0'
2,0,4,3,1,2,1,16,0,0.875,0,6.5,0,'0'
3,0,2,19,15,4,1.12,184,0,0.5,1,28.833333,2.8333,'0'
1,0,21,93,0,0,0.701961,1039,8,0.188889,0,55.888889,0.8889,'1'
1,1,6,20,15,9,0.514286,231,4,0.246753,0,19.363636,0.9091,'0'
1,0,5,1,0,1,2,1,0,1,0,0,1,'0'
2,0,4,15,0,6,0.466667,113,2,0.5,1,17.333333,0.8333,'0'
2,0,4,25,0,7,0.65,434,0,0.287879,1,38.090909,1.5455,'1'
1,0,0,18,0,3,1.166667,130,0,0.333333,0,30,2.5,'0'
2,1,2,14,0,7,0,47,1,0.428571,1,5.571429,0.8571,'0'
1,0,3,4,3,3,1.4375,23,2,0.5,0,4,1,'0'
2,0,2,16,0,5,0.5,102,1,0.4,1,19,1,'1'
1,0,4,2,1,2,2,2,0,1,0,0,1,'0'
1,0,3,4,0,0,2,15,0,1,0,11,0,'1'
3,0,5,13,15,7,0.333333,106,0,0.514286,0,13.857143,0.7143,'0'
1,0,3,2,0,0,2,38,2,1,0,33,0,'0'
1,0,21,119,742,32,0.891064,1211,6,0.115278,0,23.708333,0.9792,'1'
1,0,8,34,62,3,0.686667,461,6,0.28125,0,27.1875,1.1875,'1'
3,0,11,23,58,11,0.960526,656,0,0.219697,0,48,0.8462,'0'
2,2,9,34,0,6,0.675926,342,4,0.21978,1,24.615385,1.1538,'1'
2,0,8,15,0,6,0.5,67,0,0.333333,0,8.285714,0.1429,'0'
3,0,5,21,4,7,0.357143,188,1,0.270833,1,22.25,1.25,'1'
1,0,15,5,10,5,2,5,0,0.6,0,0,1,'0'
1,0,6,2,0,0,2,32,0,1,0,24,0,'1'
1,0,2,10,0,4,0.375,60,1,0.6,0,10.6,1.2,'0'
2,0,15,52,86,9,0.669173,449,3,0.223684,1,21.1,1.75,'1'
1,0,13,16,0,9,0.6,152,0,0.518519,1,15.333333,1.1111,'1'
1,0,18,87,0,0,0.700855,990,5,0.254545,0,96.7,2.4,'1'
1,0,0,5,1,0,1,44,0,1,0,17,0,'0'
2,2,10,27,1,6,0.333333,134,1,0.342857,2,18,1.5714,'0'
2,0,8,28,15,7,0.644444,440,3,0.287879,1,38.181818,1.1818,'1'
2,0,6,20,0,5,0.375,118,1,0.4,1,22.2,1,'1'
3,0,16,33,3,6,0.4,297,1,0.351852,2,48.166667,0.8333,'0'
2,1,7,33,0,6,0.545455,237,0,0.283333,1,18.416667,1,'1'
1,0,1,10,21,7,2,155,0,0.321429,0,21.142857,2.5714,'0'
3,0,3,10,1,3,0.5,63,0,0.666667,0,19,0.3333,'0'
1,0,2,1,0,0,2,169,0,0,0,132,0,'1'
1,0,11,6,15,6,2,6,0,0.375,0,0,1,'0'
1,0,3,3,1,0,1.4,112,0,1,0,52.5,0,'1'
4,0,13,30,3,5,0.6,216,0,0.5,0,34.5,0.8333,'1'
2,1,7,13,0,4,0.4375,110,1,0.5,0,20.2,1.6,'0'
4,1,2,4,1,1,2,9,0,0.666667,1,3.5,0.5,'0'
2,0,6,14,15,5,2,57,0,0.333333,2,8.5,1.1667,'1'
3,0,13,42,7,9,0.638889,280,0,0.285714,3,26.6,1.4,'1'
3,0,1,19,15,4,1.12,184,0,0.5,1,28.833333,2.8333,'0'
1,3,20,3,1,2,2,5,0,0.75,0,1.5,0.5,'0'
1,0,7,10,36,8,1.0625,16,1,0.5625,0,0.555556,0.8889,'0'
1,3,24,17,89,14,0.923077,224,0,0.271429,0,14.928571,0.9286,'0'
1,0,3,10,45,10,2,10,0,0.6,0,0,1,'1'
1,0,2,25,3,13,0.602564,237,0,0.404762,0,15.5,0.9286,'0'
