@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
0,19,18,0,4,84,0,7,0.5,0.4,0,14.4,3,'1'
0,13,41,7,9,286,0.5,0,0.72,0.285714,6,27.2,6,'1'
0,4,38,0,9,287,1,0,0,0.34,0,27.5,5,'0'
0,3,7,6,1,26,0,0,0.98125,0.5,3,5.5,3,'0'
2,20,82,160,8,596,0.833333,5,0.768421,0.197917,8,22.36,3,'1'
3,13,6,10,0,8,0,0,0,0.6,0,0.6,1,'0'
0,13,61,0,0,553,0.333333,3,0,0.179487,0,40.615385,4,'1'
0,6,34,34,7,323,0.777778,1,0.444444,0.173611,2,17.470588,3,'1'
0,8,36,58,13,191,1,2,0,0.201923,0,13.384615,1,'0'
0,30,8,28,8,8,0,0,0,0.3,0,0,1,'0'
0,3,7,0,3,125,0.142857,1,0,0.555556,0,38.333333,3,'0'
0,2,19,0,8,65,0,1,0.708333,0.3,4,6.875,1,'0'
1,5,7,15,0,9,0,0,0,0.416667,0,0.5,1,'0'
2,10,8,21,0,10,0,0,0,0.4,0,0.428571,1,'0'
0,10,25,0,6,91,0,3,0.5,0.333333,0,13.666667,1,'1'
0,2,17,0,6,90,1,1,0.5,0.583333,1,13.666667,2,'1'
0,7,5,0,1,57,0,3,0,0.75,0,24.5,1,'1'
0,20,64,167,22,446,1,0,0.333333,0.102564,6,15.333333,12,'1'
0,2,4,1,1,13,0,0,0.923077,0.666667,1,5.5,2,'1'
0,8,6,0,0,100,0,0,0,0.55,0,18.2,1,'0'
0,79,22,0,10,145,0,0,0,0.294872,1,10,6,'1'
2,7,16,0,1,66,1,1,0,0.666667,0,31.5,1,'0'
0,16,22,0,6,100,1,1,0.631579,0.232143,2,11.375,4,'1'
2,4,21,13,3,185,0.75,0,0.583333,0.366667,2,24.285714,1,'1'
0,36,2,0,1,5,0,0,1,1,0,4,0,'0'
0,9,33,34,5,453,1,0,0.885057,0.283333,5,36.583333,3,'0'
0,16,6,6,3,15,0,2,0,0.833333,0,2.25,1,'0'
0,4,17,5,5,109,1,2,0,0.392857,0,14.142857,2,'1'
2,11,6,10,2,8,0,0,0,0.466667,0,0.6,1,'0'
3,57,36,176,19,193,0.5,1,0,0.291667,0,8.55,1,'1'
2,10,47,108,15,817,0.333333,1,0.24,0.26875,0,37.333333,2,'1'
5,10,6,4,5,19,1,0,0,0.8,0,2.6,1,'1'
0,4,14,4,2,74,0,0,0.777778,0.416667,2,17,1,'0'
0,4,10,15,6,31,0,0,0.615385,0.666667,3,4.166667,1,'1'
0,9,20,5,3,191,0,4,0.285714,0.277778,0,25,8,'0'
0,5,6,3,3,18,0,0,0.5,0.666667,0,5,1,'0'
0,14,2,0,0,11,0,1,1,1,0,9,0,'0'
1,13,46,0,7,357,1,2,0,0.309524,0,49,1,'1'
0,30,39,0,17,432,0.833333,2,0,0.426471,0,22.666667,5,'0'
0,3,12,66,12,12,0,0,0,0.583333,0,0,1,'1'
0,5,12,0,0,95,0,2,0,0.533333,0,16.6,1,'0'
0,8,20,0,0,389,1,2,0.833333,0.325,1,76,5,'1'
0,31,57,203,18,565,0.222222,0,0,0.221739,0,23.173913,3,'1'
0,19,1,0,1,1,0,0,0,1,0,0,1,'0'
0,9,51,14,5,414,0.75,2,0,0.303571,0,44.111111,4,'0'
0,12,12,1,6,173,1,6,0.921569,0.35,0,26.166667,6,'0'
0,16,103,317,28,865,0.888889,0,0.688679,0.152381,10,23.457143,3,'1'
0,2,23,26,6,155,0,0,0.913793,0.5,0,18.125,1,'1'
0,5,5,0,2,31,0,4,0,0.666667,0,11.5,1,'0'
0,11,37,3,6,281,0,3,0.4,0.2125,0,23.909091,5,'0'
1,8,6,10,0,8,0,0,0,0.466667,0,0.6,1,'0'
0,10,26,0,8,143,0,2,0.6,0.222222,4,14.666667,5,'1'
0,7,21,9,6,120,0.333333,1,0.705882,0.333333,3,15.714286,6,'1'
2,5,4,3,1,6,0,0,0,0.666667,0,1,1,'0'
0,9,39,0,11,480,1,2,0.545455,0.229167,2,38.666667,13,'1'
0,5,29,53,6,514,1,1,0.541667,0.333333,4,34.928571,14,'1'
5,19,19,13,5,119,0.333333,0,0,0.6,0,18.333333,1,'1'
0,14,30,0,4,136,0,2,0.5,0.285714,0,18.142857,1,'0'
0,7,31,0,12,182,1,1,0.566667,0.196429,2,11.857143,6,'1'
1,14,4,0,3,25,0.333333,1,0,0.583333,0,6.333333,1,'1'
0,11,13,1,3,88,1,1,0.666667,0.533333,3,28,3,'1'
6,28,5,3,3,15,0,0,0,0.833333,0,4,1,'1'
0,17,14,78,12,20,0,1,0,0.427083,0,0.384615,1,'1'
7,40,22,147,17,314,1,0,0,0.25,0,16.277778,1,'1'
6,16,19,70,11,121,1,0,0,0.769231,0,8,2,'1'
0,8,9,1,0,64,0,0,0.952381,0.583333,1,31,1,'1'
0,4,6,0,3,44,0,3,0.5,0.466667,0,12.666667,3,'0'
1,23,29,67,12,199,0.333333,12,0,0.403846,0,12.357143,1,'1'
0,2,3,1,2,7,0,0,0,0.75,0,2.5,1,'0'
0,23,77,92,8,1568,0.52381,1,0,0.182857,1,41.972222,4,'1'
2,4,33,42,10,478,0.625,0,0.548387,0.302083,5,26.647059,8,'0'
0,2,8,8,3,90,0,0,0.714286,0.45,2,16.4,3,'0'
0,13,58,0,22,719,1,4,0,0.184615,0,26.269231,2,'1'
0,3,19,0,5,100,0,0,0.5,0.466667,2,18.6,1,'0'
3,11,4,3,0,6,0,0,0,0.555556,0,1,1,'0'
0,18,11,55,11,11,0,0,0,0.263636,0,0,1,'1'
0,4,5,0,3,65,0.666667,1,0.777778,0.47619,0,14.5,4,'0'
3,29,25,167,18,343,1,1,0,0.25,0,16.894737,1,'1'
0,9,46,102,16,454,1,2,0.413793,0.128125,4,21.55,7,'1'
0,2,17,6,4,147,0,0,0,0.333333,0,35.75,1,'1'
0,6,4,1,0,39,0,0,0.923077,0.666667,3,18.5,4,'1'
0,3,18,7,4,112,0.5,0,0.7,0.4,2,17,1,'1'
0,8,22,38,10,447,0,1,0.607143,0.214286,4,32.615385,8,'0'
0,7,30,0,6,303,1,3,0,0.228571,0,28.7,4,'0'
0,14,6,15,6,6,0,0,0,0.375,0,0,1,'1'
3,9,8,21,0,15,0,1,0,0.342857,0,1,1,'0'
1,2,12,17,8,185,0.75,0,0.653846,0.36,5,17.1,1,'0'
0,5,10,4,0,298,0,0,0,0.444444,0,67,4,'0'
0,30,97,553,28,729,0.411765,1,0.686957,0.162162,2,17.736842,6,'1'
0,8,28,0,17,482,0,0,0.709677,0.30719,6,27.352941,4,'1'
1,3,16,0,0,178,1,1,0,0.611111,0,28.166667,3,'1'
0,10,23,6,2,185,0,3,0.4,0.333333,0,35,1,'1'
0,8,2,1,2,2,0,0,0,1,0,0,1,'0'
1,2,4,1,1,9,0,0,0.923077,0.666667,1,3.5,1,'0'
0,7,14,15,5,57,0,0,0.705882,0.333333,3,8.5,3,'1'
0,12,21,24,5,167,0,6,0.363636,0.270833,0,16.555556,6,'0'
0,10,43,0,11,292,1,0,0.607143,0.22619,2,23.166667,7,'1'
1,7,6,10,0,8,0,0,0,0.4,0,0.6,1,'0'
0,17,7,1,2,21,0,0,0,0.5,0,9.5,2,'1'
0,8,12,4,3,55,1,0,0.857143,0.5,1,12.5,2,'1'
0,3,35,196,10,729,0.707317,0,0,0.214286,0,26.52,3,'0'
0,7,53,38,9,725,0.857143,3,0,0.197917,0,40.823529,6,'1'
0,2,25,0,11,98,0,1,0.62963,0.242424,5,7.727273,1,'0'
0,1,25,22,6,126,1,0,0,0.178571,0,14.625,5,'1'
0,4,3,1,2,16,0,0,0,0.875,0,6.5,0,'1'
0,2,19,15,4,184,0,0,0.8125,0.5,1,28.833333,14,'1'
1,6,4,3,0,6,0,0,0,1,0,1,1,'0'
0,31,128,39,0,1901,0.884615,10,0,0.169421,0,80.521739,6,'1'
0,3,23,0,8,143,0.5,0,0.538462,0.288889,2,12.9,2,'0'
0,53,185,1998,0,2835,0.409836,12,0,0.069867,0,35.5,23,'1'
0,4,21,8,7,116,1,1,0.3,0.4375,2,13.25,2,'1'
0,1,7,1,2,37,0,0,0,0.75,0,17.5,3,'0'
4,10,6,0,2,22,1,0,0.714286,0.75,0,4.25,1,'1'
0,0,8,3,1,27,0,0,0,0.333333,0,7.666667,2,'0'
2,12,2,0,0,8,0,0,0,1,0,3,0,'0'
0,11,18,9,5,65,1,0,0.733333,0.333333,1,9.666667,3,'1'
0,4,19,2,6,116,1,2,0,0.34375,0,13,2,'0'
5,5,18,5,1,88,0.5,0,0,0.7,0,13.333333,1,'0'
0,6,54,98,9,509,1,5,0,0.204082,0,22.761905,3,'1'
0,20,24,276,24,24,0,0,0,0.291667,0,0,1,'1'
0,1,5,1,0,44,0,0,0,1,0,17,0,'1'
2,10,27,1,6,136,1,1,0.666667,0.342857,3,18.285714,5,'1'
0,4,8,19,7,49,0,2,0,0.52381,0,4.857143,2,'1'
0,4,7,3,3,20,0,0,0.777778,0.555556,3,5.666667,1,'0'
0,3,12,3,6,69,1,0,0.555556,0.380952,0,9.833333,1,'0'
0,16,33,3,6,297,1,1,0.883721,0.351852,3,48.166667,1,'1'
1,6,21,2,7,278,1,1,0.533333,0.355556,3,29.333333,1,'1'
0,1,10,21,7,155,0,0,0,0.321429,0,21.142857,4,'0'
0,3,32,1,6,346,1,0,0.444444,0.444444,2,47.571429,2,'0'
0,12,77,64,5,1021,0.818182,3,0,0.205263,0,49.5,2,'1'
0,17,58,37,4,751,0,6,0.35,0.190476,0,48.333333,5,'1'
0,14,45,79,6,629,1,7,0,0.25,0,31.421053,4,'1'
