@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
2,0,28,1,7,1,2,394,0,0.347222,1,48.25,7,'1'
0,0,10,2,8,2,2,97,0,0.45,0,18.4,2,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
3,0,50,5,41,5,0.892857,344,0,0.25,1,24.923077,5,'0'
2,0,17,4,2,7,0.75,46,1,0.428571,0,5.285714,1,'0'
1,6,15,7,4,5,2,52,0,0.541667,0,7.666667,2,'0'
4,0,45,3,11,8,1,101,0,0.314815,0,9,1,'0'
1,0,119,4,28,6,0.705882,350,1,0.235294,0,18.277778,6,'0'
1,0,379,8,2,29,0.855556,328,0,0.3,0,9.290323,8,'1'
1,0,2,2,10,3,0.583333,154,0,0.5,1,29.2,1,'0'
2,0,5,2,13,3,0.6,88,2,0.416667,1,13.333333,1,'1'
2,0,0,0,1,1,2,7,0,1,0,3,0,'0'
3,0,0,1,8,2,0,37,1,0.666667,0,17,1,'0'
4,0,22,3,12,8,0.708333,244,1,0.259259,1,25.777778,11,'0'
1,0,1,1,2,2,2,10,0,0.666667,0,4,1,'0'
2,0,4,3,1,2,0.916667,56,4,0.444444,1,12,1,'0'
0,0,0,1,4,9,0,213,0,0.37037,0,22.555556,1,'0'
0,0,69,4,13,9,0.857143,165,2,0.221154,0,10.285714,3,'0'
4,0,1,2,1,2,2,12,0,0.833333,0,4.5,0,'0'
1,0,2,3,7,3,0.666667,52,3,0.4,0,11.25,1,'0'
1,0,87,1,4,13,0.694118,317,0,0.317647,0,16.333333,5,'0'
1,0,4,0,2,4,0.5,25,0,0.6,0,3.8,1,'0'
1,0,0,1,5,2,0,31,0,0.625,0,14,1,'0'
1,0,0,1,1,0,2,0,0,0,0,0,0,'0'
2,0,0,1,3,2,0,27,0,0.666667,1,7.666667,1,'0'
4,0,21,3,6,7,2,45,0,0.392857,3,5.428571,1,'1'
3,0,0,1,7,4,0.416667,82,1,0.5,0,14.8,1,'0'
4,0,3,0,8,1,2,52,0,0.666667,2,16.333333,1,'0'
2,0,0,1,6,5,0.166667,152,1,0.357143,1,20.428571,4,'0'
3,0,3,4,3,2,2,32,0,0.666667,0,9.666667,1,'0'
4,0,51,1,8,11,0.6,96,0,0.345455,2,7.545455,1,'1'
1,0,0,1,5,2,0,46,1,0.666667,0,21.5,1,'0'
1,0,0,2,0,4,0.333333,21,0,0.75,0,4,1,'0'
1,0,9,6,10,3,0.6,297,0,0.35,0,48.166667,7,'0'
3,0,26,1,9,6,0.84375,81,0,0.325,1,7.555556,2,'0'
1,0,1,2,5,3,0.5,28,1,0.555556,0,8,1,'1'
5,0,0,1,2,2,0,21,0,0.666667,0,9,1,'0'
1,0,0,1,4,2,0,39,1,0.666667,0,18,1,'0'
1,0,1,1,2,1,0.5,88,0,0.5,0,28,5,'0'
1,0,247,11,21,23,0.924242,118,3,0.178744,0,4,1,'0'
3,0,0,1,5,3,0,29,0,0.533333,0,8.333333,1,'0'
1,0,41,0,9,7,0.666667,96,1,0.314286,0,8.4,2,'0'
3,0,0,1,14,2,0.5,129,1,0.4375,1,24.4,5,'0'
5,0,1,0,2,1,2,15,0,0.625,1,6.5,1,'0'
1,0,0,1,4,3,0.25,54,1,0.466667,0,16.333333,2,'0'
1,0,349,9,3,24,0.807692,292,0,0.08284,0,9.777778,1,'1'
4,0,160,5,19,13,0.8625,287,4,0.166667,1,12.285714,5,'0'
1,0,0,2,2,5,0,43,1,0.6,0,7.4,1,'0'
2,0,3,0,1,3,2,12,0,0.666667,1,3,1,'0'
1,0,171,67,9,19,2,19,0,0.157895,0,0,1,'1'
3,0,3,1,8,4,0.666667,150,1,0.305556,1,23.5,1,'0'
1,0,25,1,7,9,0.722222,86,0,0.311111,0,7.2,3,'0'
3,1,112,10,27,11,0.770833,230,1,0.229167,2,12.352941,5,'0'
1,0,6,13,3,5,0.625,31,1,0.466667,0,4.8,1,'0'
4,0,7,1,3,9,0.666667,120,0,0.425,1,10.6,1,'1'
2,0,3,0,13,3,1,70,2,0.666667,0,21.333333,3,'0'
2,0,26,1,18,9,0.738095,183,2,0.230769,0,12.538462,5,'0'
2,0,46,0,7,11,0.795455,83,2,0.266667,0,5.583333,2,'0'
1,0,4,1,3,2,0.333333,39,0,0.5,0,8.5,1,'0'
1,0,1,5,0,2,2,2,0,1,0,0,1,'0'
3,0,13,1,3,6,0.583333,55,0,0.314286,1,6.571429,3,'1'
4,0,0,1,20,1,0.333333,202,2,0.666667,1,97,1,'0'
1,0,0,0,0,0,2,23,0,1,0,3,0,'0'
2,0,0,9,6,5,0,41,0,0.44,1,7,1,'0'
1,0,22,1,8,5,0.8125,140,2,0.285714,0,13.888889,3,'0'
1,3,0,3,0,4,0.333333,31,0,0.625,0,6.5,1,'0'
2,0,9,7,6,5,0.733333,48,1,0.366667,0,6.5,1,'0'
3,0,814,7,19,39,0.909091,555,1,0.146694,1,11,7,'1'
1,0,3,0,4,3,2,18,0,0.833333,0,5,1,'0'
4,0,0,3,7,9,0.25,94,0,0.277778,2,9.333333,1,'1'
1,0,4,14,2,5,0.25,30,0,0.7,0,4.8,1,'0'
1,0,10,0,4,5,2,28,0,0.36,0,4.6,1,'0'
1,0,0,1,4,3,0,53,0,0.5,0,16.333333,1,'0'
1,0,0,3,1,1,2,1,0,1,0,0,1,'0'
2,0,14,1,7,7,0.642857,105,1,0.326531,0,11.875,1,'1'
3,0,2,2,18,3,0.5,172,1,0.466667,1,33,1,'0'
1,0,0,1,6,2,0.5,72,0,0.6,0,22.333333,6,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
2,0,362,3,24,24,0.910053,323,1,0.148148,1,10.285714,2,'0'
1,0,0,3,14,2,0.428571,378,0,0.342857,0,45.875,5,'0'
5,0,0,2,1,2,0,25,0,0.666667,0,11,1,'0'
3,1,1,2,3,1,2,11,0,0.666667,1,4.5,1,'0'
1,0,136,4,17,16,2,138,0,0.196078,0,7.117647,1,'0'
1,0,3,1,4,3,2,20,0,0.833333,0,5.666667,1,'0'
2,0,89,6,18,15,0.944444,123,0,0.138095,1,6.6,1,'0'
1,1,137,1,6,16,0.857143,183,1,0.157895,0,8.263158,2,'1'
3,0,0,1,4,1,0,24,1,0.5,1,6.666667,1,'0'
6,0,0,1,2,4,0.666667,45,1,0.4375,0,9.5,1,'0'
1,0,0,4,1,1,2,1,0,1,0,0,1,'0'
4,0,151,3,14,11,0.852814,603,1,0.164502,1,25.909091,15,'1'
1,0,0,6,0,1,2,1,0,1,0,0,1,'0'
3,0,1,1,1,3,0.5,15,0,0.666667,0,3.666667,1,'0'
1,0,6,1,0,5,0.75,24,0,0.7,0,3.4,1,'0'
1,0,81,2,20,14,0.867347,218,0,0.1875,0,13.066667,2,'0'
5,0,0,1,1,4,0.5,52,0,0.5,0,11.5,2,'0'
1,2,11,2,2,7,0.777778,37,1,0.357143,0,3.857143,1,'0'
1,0,0,1,0,0,2,0,0,0,0,0,0,'0'
2,0,0,1,4,1,0,42,0,0.6,0,19.5,3,'0'
1,0,1,2,1,2,2,6,0,0.75,0,2,1,'0'
2,1,27,5,1,14,0.798077,176,0,0.535714,0,11,5,'0'
1,0,0,5,1,1,2,1,0,1,0,0,1,'0'
2,0,1,1,10,6,0.638889,126,3,0.277778,1,11.2,2,'0'
3,0,13,5,11,3,0.722222,95,2,0.388889,1,12.142857,1,'0'
3,0,4,0,1,3,0.666667,16,1,0.666667,1,2.75,1,'0'
2,36,256,38,16,16,0.804348,301,1,0.31677,1,11.375,3,'1'
1,0,1,1,1,2,2,16,0,0.666667,0,7,3,'0'
4,0,3,0,3,3,2,12,0,0.666667,1,3,1,'0'
1,0,1,2,0,2,2,2,0,0.75,0,0,1,'0'
1,0,0,5,0,1,2,1,0,1,0,0,1,'0'
3,0,3,1,4,2,2,16,0,0.5,1,4.333333,1,'0'
0,0,102,4,23,9,0.890625,229,4,0.173611,0,12,3,'0'
1,0,4,1,0,9,0.625,59,0,0.288889,0,5.222222,1,'0'
1,3,21,3,9,6,0.722222,151,1,0.37037,0,13.7,1,'1'
1,0,0,0,0,5,0.5,32,0,0.466667,0,5,1,'0'
1,0,1,0,1,2,2,26,0,0.75,0,12,1,'0'
6,0,7,1,2,5,0.8,80,0,0.416667,0,11.666667,3,'0'
2,0,7,1,5,2,0.7,59,0,0.36,1,8.5,2,'0'
1,0,3,0,0,3,2,57,0,0.444444,0,18,1,'0'
1,0,435,18,29,29,2,193,0,0.133333,0,5.433333,1,'1'
1,0,0,4,1,1,2,1,0,1,0,0,1,'0'
1,1,75,1,6,12,0.803571,139,1,0.27619,0,8,2,'0'
2,0,0,2,11,3,0.7,115,2,0.466667,1,17.5,2,'1'
1,0,24,3,3,7,0.714286,68,0,0.541667,0,7.25,2,'0'
1,0,12,3,9,7,0.65,224,4,0.275,0,23.333333,4,'0'
2,0,0,7,6,4,0,34,1,0.541667,0,7.25,1,'0'
3,0,3,1,6,2,2,22,0,0.666667,1,6.333333,1,'0'
3,0,46,3,33,2,0.777778,672,0,0.305556,2,50.461538,5,'0'
1,0,1,18,0,2,2,2,0,0.833333,0,0,1,'0'
1,0,13,1,2,4,0.4,57,0,0.666667,0,8.333333,3,'0'
0,0,1,0,3,2,2,12,0,1,0,5,1,'0'
1,3,58,3,1,10,0.777778,112,1,0.472222,0,7.384615,2,'1'
3,0,9,2,4,5,0.5,52,0,0.309524,1,6.285714,2,'0'
1,0,1,1,1,2,2,2,0,1,0,0,1,'0'
1,0,1044,8,17,42,0.915278,620,3,0.128728,0,11.346939,6,'0'
3,0,7,2,3,5,0.866667,46,1,0.583333,0,6.166667,2,'0'
1,0,697,105,4,36,0.918919,923,0,0.090734,0,23.263158,8,'1'
3,0,1,6,5,5,0.333333,45,1,0.428571,1,5.285714,1,'0'
3,0,157,4,15,18,0.944444,111,0,0.215278,1,4.526316,1,'0'
1,0,1484,1,13,45,0.666667,738,0,0.125,0,11.842105,6,'0'
1,0,82,3,7,13,0.84375,162,1,0.183007,0,8.176471,3,'1'
4,0,33,1,9,14,0.653846,167,0,0.3,1,10.642857,5,'1'
0,0,2,1,9,3,0.666667,71,2,0.833333,0,16,1,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
1,0,60,0,7,12,0.727273,63,1,0.106061,0,4.166667,1,'0'
1,0,1,0,6,2,2,23,0,0.75,0,10.5,1,'0'
3,0,11,1,8,3,0.809524,334,1,0.314815,1,31.7,1,'0'
2,0,120,1,1,17,0.9375,84,0,0.367647,0,3.470588,1,'0'
2,0,1,0,3,2,2,11,0,0.833333,0,4.5,0,'0'
1,1,14,5,30,6,0.761905,207,1,0.35,0,24.5,1,'0'
1,0,0,4,2,1,2,1,0,1,0,0,1,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
3,0,71,1,5,13,0.785714,113,0,0.35,2,6.333333,2,'0'
1,0,6,6,2,4,2,4,0,0.583333,0,0,1,'0'
1,0,0,0,3,4,0.333333,34,0,0.5,0,7.25,2,'0'
1,31,49,33,2,7,0.807692,200,0,0.380952,0,12.857143,3,'1'
1,0,6,4,4,3,2,31,0,0.3125,0,6.75,1,'0'
1,0,0,3,0,0,2,0,0,0,0,0,0,'1'
4,0,10,1,5,5,2,28,0,0.6,1,4.6,1,'0'
1,0,0,6,0,6,0.4,57,0,0.5,0,8,2,'0'
1,0,0,2,3,1,2,1,0,1,0,0,1,'0'
2,0,0,2,0,6,0,52,0,0.5,0,7.5,1,'1'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
0,0,4,2,12,2,0.666667,88,0,0.833333,0,20.75,2,'0'
1,0,10,1,3,4,2,56,0,0.44,0,10.2,1,'1'
3,0,0,1,6,2,0,24,1,0.6,0,10.5,1,'0'
1,0,9,0,11,7,0.791667,75,3,0.357143,0,9.142857,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
5,0,0,1,3,3,0.5,32,2,0.555556,0,9,1,'0'
1,0,1,8,4,1,2,23,0,0.5,0,10.5,1,'0'
1,0,0,2,2,2,0.5,33,1,0.666667,0,9,2,'0'
0,0,32,0,13,10,0.818182,138,1,0.272727,0,10.083333,8,'0'
0,0,1,1,7,2,0.5,41,0,0.75,0,12.333333,1,'0'
1,0,85,4,21,11,1.048077,461,0,0.192308,0,31.357143,6,'0'
3,0,0,1,4,1,0,26,1,0.555556,1,7.333333,1,'0'
1,0,3,0,3,3,2,13,0,0.333333,0,3.333333,1,'0'
4,1,3,1,8,1,2,52,0,0.666667,2,16.333333,1,'0'
2,1,28,3,13,11,0.611111,120,1,0.241758,0,8,1,'0'
5,0,0,2,3,3,0.5,21,2,0.5,0,5.333333,1,'0'
