@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
4,0,3,12,6,1,4,2,0,1,3,23.75,3,1,'0'
1,0,0,3,1,0,2,2,0,0,0,2,1,0.5,'0'
1,0,6,22,0,3,8,0.142857,1,0,0,20.875,5,3.125,'0'
2,1,7,24,12,6,8,0.936508,0.555556,0,0,20.25,7,2.25,'0'
1,5,34,13,45,2,9,1,0,0,0,1.6,1,0.8,'0'
2,0,10,35,24,10,11,0.994135,0.064516,2,4,40.666667,23,5.0833,'1'
1,0,4,4,1,3,1,2,0,0,0,4,1,0.5,'0'
1,0,1,14,8,1,2,0.875,0,0,0,7.6,1,0.6,'0'
2,0,4,11,0,3,1,0,0,0,0,31.5,5,2.5,'0'
1,0,0,14,3,0,2,2,0,0,0,43.333333,4,1.6667,'0'
1,0,3,9,9,2,6,0.866667,0,0,0,5.833333,2,1.1667,'1'
3,0,7,25,0,5,8,0.795918,0.571429,1,1,25.25,5,1.625,'0'
1,0,2,12,4,2,2,0.833333,0,0,0,8,1,0.5,'0'
1,0,8,3,3,0,3,2,0,0,0,0,1,1,'0'
1,2,20,42,91,11,9,1.051282,0,0,0,16.428571,3,1.2857,'1'
1,0,7,25,0,4,2,0.733333,0,0,0,24.25,2,0.75,'0'
1,0,3,25,13,3,2,0.7,0,0,0,32.333333,2,1.3333,'0'
1,0,2,8,1,2,2,0.75,0,0,0,12.333333,1,0.3333,'0'
1,0,3,34,34,3,2,0.875,0,0,0,17.333333,3,1.4444,'0'
1,0,3,20,1,3,2,2,0,0,0,41.5,6,3,'0'
1,0,1,7,8,0,3,0.75,1,0,0,3.2,1,0.6,'0'
3,1,10,42,0,8,11,0.729167,0.5,1,10,20.923077,5,1.2308,'1'
1,9,20,31,131,9,18,0.909722,0.875,0,0,8.105263,4,1.4211,'0'
1,0,6,30,17,6,2,0.75,0,0,0,19.285714,2,0.8571,'0'
1,0,12,41,0,2,9,0.666667,0,0,0,21.666667,6,2.25,'1'
3,2,9,12,0,1,4,0,1,2,2,13,2,1,'0'
1,0,1,11,2,0,2,0.777778,0,1,1,13.5,6,2,'0'
1,0,3,19,6,3,2,0.666667,0,0,0,15.75,2,1.25,'0'
1,2,40,13,15,0,8,0.811966,0,0,0,14.6,7,2.1,'1'
3,1,5,9,0,2,5,0,1,1,1,7.4,1,0.8,'0'
1,0,7,21,0,2,5,0.9,0.2,0,0,43,5,2.8333,'1'
1,0,28,16,9,1,6,1,0.75,0,0,11.428571,3,1.2857,'1'
1,0,3,14,0,1,8,0.571429,0,0,0,16.625,3,1.75,'0'
1,0,53,27,20,4,6,0.894231,0.076923,0,0,14.333333,3,1.3333,'1'
1,0,0,15,6,0,4,2,0,0,0,17.25,1,0.75,'1'
5,0,7,44,13,7,4,0.85,0,2,2,33,3,1,'0'
1,0,1,7,0,1,2,0,0,0,0,6.333333,1,0.6667,'0'
2,0,5,24,9,5,6,0.92,0.8,1,1,38.333333,5,1.8333,'1'
2,0,4,6,3,3,3,2,0,1,6,7.333333,2,1,'0'
1,0,5,35,15,5,2,0.75,0,0,0,24,2,1,'1'
2,2,17,46,58,8,15,0.649123,0.666667,1,3,19.2,7,1.65,'1'
4,0,3,11,4,2,2,0.666667,0,2,2,6.75,1,0.5,'0'
2,0,10,69,129,8,13,0.885965,0.105263,1,3,33.526316,11,2.1579,'0'
2,0,2,37,23,2,7,0.833333,0,0,0,28.1,4,1.7,'0'
2,0,6,33,33,6,9,0.933333,0.6,1,1,30.6,5,1.7,'1'
1,0,0,14,4,0,2,0.25,0,0,0,14.8,2,1,'0'
1,0,3,22,1,2,2,2,0,0,0,63,5,2.5,'0'
2,0,2,18,8,1,5,0.75,0.5,1,2,15.8,1,0.8,'0'
1,3,60,96,688,12,42,0.828947,0.473684,0,0,14.938776,6,2.1429,'1'
1,0,1,0,0,0,0,2,0,0,0,0,0,0,'0'
1,0,2,0,0,1,0,2,0,0,0,0,0,0,'0'
2,0,0,10,28,0,8,2,0,1,2,1.625,1,0.875,'0'
2,0,7,27,29,7,8,0.911111,0.2,1,3,13,3,1.4,'0'
1,0,22,9,36,4,9,2,0,0,0,0,1,1,'1'
2,0,2,9,0,1,2,1,0,1,1,13,4,1.75,'0'
1,0,6,22,11,6,3,0.666667,0,0,0,13.857143,2,0.8571,'0'
2,0,6,26,83,5,10,0.871795,1,1,1,9.785714,4,0.7143,'1'
1,0,4,12,0,4,2,0,0,0,0,32,2,1,'0'
3,0,4,5,1,4,1,2,0,1,1,6,1,0.5,'0'
1,1,2,2,0,1,0,2,0,0,0,3,0,0,'0'
2,0,9,62,52,9,8,0.939815,0,2,3,32.153846,10,2.3846,'1'
1,0,4,32,17,4,2,0.666667,0,0,0,20.857143,2,1,'0'
2,0,3,8,0,3,4,0.916667,0,0,0,17,6,2.5,'0'
1,0,0,16,0,0,2,0.208333,0,0,0,51.4,4,2,'0'
1,5,9,10,7,2,2,0.72,0,0,0,27.166667,6,1.8333,'0'
2,0,28,79,153,14,9,0.939815,0.25,1,1,38.052632,10,2.4211,'1'
1,0,1,17,10,1,4,2,0,0,0,10.6,1,0.8,'0'
2,0,2,5,6,2,4,2,0,0,0,2,1,0.75,'0'
2,0,7,27,29,7,8,0.911111,0.2,1,4,13,3,1.4,'1'
1,0,5,24,4,5,2,0.833333,0,0,0,19.25,1,0.5,'0'
1,0,1,35,0,1,11,0.083333,0,0,0,17,1,0.8462,'0'
1,0,7,42,14,7,2,0.75,0,0,0,37,4,1.5,'0'
1,0,0,15,8,0,1,0.833333,0,0,0,94.2,7,2,'0'
1,0,4,40,8,4,2,0.697917,0,0,0,38.076923,7,2.7692,'0'
2,0,19,95,223,15,8,1.013605,0,1,1,51.181818,11,3.2273,'1'
2,0,6,12,13,3,6,0.8,0,0,0,7.833333,1,0.8333,'0'
1,3,8,6,10,2,5,1.25,0,0,0,0.8,1,0.8,'1'
1,0,9,10,0,1,1,0,0,0,0,14.333333,1,0.6667,'0'
2,0,8,43,41,6,10,0.846154,0.153846,2,3,23.714286,6,1.6429,'1'
3,2,4,12,6,0,4,1.333333,0,1,3,26,6,1.75,'0'
1,0,3,25,17,3,2,0.833333,0,0,0,13.571429,2,1.1429,'0'
1,0,8,1,0,0,1,2,0,0,0,0,1,1,'0'
1,0,4,30,9,4,2,0.666667,0,0,0,22.5,2,1,'0'
4,0,3,8,0,2,4,0.333333,1,2,2,8.25,1,0.75,'0'
1,0,1,17,0,1,2,0.5,0,0,0,30.8,3,1.4,'0'
2,0,5,35,25,5,7,0.761905,0,2,3,25.5,5,1.8,'0'
1,0,3,1,0,1,1,2,0,0,0,0,1,1,'0'
1,0,8,1,0,1,1,2,0,0,0,0,1,1,'0'
1,0,6,49,6,6,2,0.666667,0,0,0,46.5,3,1.75,'1'
1,0,15,41,8,14,2,0.956044,0.461538,0,0,82.125,21,6.25,'1'
1,0,5,1,0,1,1,2,0,0,0,0,1,1,'0'
1,0,2,4,1,1,1,2,0,0,0,3,1,0.5,'0'
2,0,4,37,8,4,7,0.822917,0,0,0,32.555556,7,2,'0'
3,0,3,18,4,3,3,0.5,0,1,7,14,4,1.2,'0'
1,0,5,6,15,1,6,2,0,0,0,0,1,1,'0'
1,0,15,2,1,1,2,2,0,0,0,0,1,1,'0'
1,0,7,31,10,7,2,0.875,0,0,0,27.6,3,1.4,'0'
4,0,6,20,0,5,4,1.066667,0,2,4,17,3,1.5,'0'
1,0,7,41,2,7,5,0.375,0,0,0,47.8,3,1.6,'0'
1,0,3,27,5,3,2,0.566667,0,0,0,26.285714,4,1.7143,'1'
1,0,8,26,10,8,2,2,0,0,0,100.6,3,1.4,'0'
1,0,4,15,0,3,2,0.25,0,0,0,35.5,2,1,'0'
1,0,22,54,76,6,10,0.861111,0,0,0,39.846154,11,3,'1'
1,0,0,10,4,0,3,0.333333,0,0,0,27.25,4,1.5,'0'
5,0,8,44,8,7,3,0.875,0,0,0,56,3,1,'0'
1,0,5,19,10,2,7,0.375,0,0,0,12.111111,4,1.6667,'0'
1,0,7,7,1,7,2,2,0,0,0,6.5,1,0.5,'0'
1,0,4,13,0,1,7,0.366667,0,0,0,32,6,2.5714,'1'
1,0,4,4,1,2,1,2,0,0,0,4,1,0.5,'0'
4,0,3,10,0,2,4,0.5,0,2,2,8.75,1,0.75,'0'
2,0,3,10,0,2,3,0,0,0,0,8,1,0.75,'0'
2,0,9,39,14,9,12,0.863636,0,2,3,13,4,1.3333,'1'
4,0,3,15,4,1,4,0.333333,0,1,3,18.75,2,0.75,'0'
1,0,7,27,4,7,2,0.666667,0,0,0,32.25,3,1.5,'0'
1,0,2,16,1,2,2,2,0,0,0,49,3,1.5,'0'
1,0,4,29,17,4,2,0.666667,0,0,0,20.714286,2,1,'0'
1,0,2,24,15,2,2,0.611111,0,0,0,15.285714,2,1.1429,'0'
1,0,2,32,15,2,1,0.625,0,0,0,22.428571,2,1.1429,'0'
2,0,2,9,0,1,2,0.916667,0.25,0,0,9.75,3,1.25,'0'
1,0,0,0,0,0,0,2,0,0,0,0,0,0,'0'
3,0,1,7,1,0,3,0.5,1,1,3,5.333333,1,0.6667,'0'
2,0,4,8,0,4,4,0.916667,0,0,0,15.25,4,2,'1'
2,0,13,18,30,4,8,0.9375,0.625,0,0,10.777778,3,1.2222,'1'
2,2,5,17,2,1,2,0.625,0.333333,1,1,16.8,3,1.4,'1'
1,0,6,30,22,6,2,0.942857,0,0,0,38.25,5,2,'0'
1,0,21,43,24,7,9,0.704545,0.25,0,0,27.5,6,2.1667,'1'
2,0,3,8,15,3,6,1,0,1,1,4.333333,2,0.8333,'0'
1,0,2,21,17,2,2,0.666667,0,0,0,11.571429,2,1,'0'
2,0,1,2,0,1,0,2,0,0,0,3,0,0,'0'
1,0,4,38,24,4,2,0.714286,0,0,0,39,2,1,'1'
4,0,2,3,0,1,0,2,0,0,0,6,0,0,'0'
2,0,3,16,0,3,1,0,0,0,0,23.5,2,1,'0'
2,0,3,11,0,2,4,0.25,0,1,1,6.2,1,0.8,'0'
1,0,2,26,17,2,2,0.666667,0,0,0,17.428571,2,1,'0'
3,0,4,6,1,4,1,2,0,1,1,6,1,0.5,'0'
