@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
3,0,112,1,5,11,0.777778,509,0,0.74,8,30.625,1,'0'
2,14,0,17,8,12,0.363636,149,2,0.731707,7,11.25,5,'0'
1,0,1362,22,15,49,1.001603,2089,0,0,0,37.962264,49,'1'
3,2,1176,34,12,46,1,743,1,0.606838,21,14.142857,16,'0'
1,0,0,5,1,1,2,1,0,0,0,0,1,'0'
1,0,36,7,1,9,2,9,0,0,0,0,1,'0'
4,0,15,4,14,6,0.5,166,0,0.973094,7,22.571429,1,'1'
3,0,28,1,3,7,2,177,0,0.860465,4,21.125,1,'0'
1,0,28,0,1,8,2,8,0,0,0,0,1,'0'
2,0,4,1,2,5,0,129,0,0.851852,0,24.4,5,'0'
1,0,0,1,0,5,0.25,32,0,0,1,5.2,2,'0'
1,10,526,103,21,32,0.998047,300,16,0,0,7.606061,2,'0'
1,0,0,3,6,5,0.5,155,1,0,0,20.857143,4,'1'
2,0,0,1,1,9,0.2,632,0,0.590909,2,56.181818,1,'0'
1,0,1,0,1,2,2,7,0,0,0,2.5,1,'0'
4,0,1,0,5,2,2,15,0,0.979592,6,6.5,1,'0'
3,0,23,0,55,9,0.798319,1308,8,0.811594,3,85.066667,14,'0'
1,0,0,0,0,1,2,4,0,0,0,3,0,'0'
1,0,388,1,7,26,0.895703,2321,2,0,0,46.291667,21,'0'
5,0,3,1,2,3,2,8,0,0.990698,2,1.666667,1,'0'
1,0,0,2,2,0,0.892857,353,1,0,0,37.444444,3,'0'
3,0,0,0,15,6,0.814815,242,2,0.934211,8,32.285714,3,'0'
2,0,120,2,2,14,2,229,0,0.821429,7,13.3125,1,'0'
1,0,6,67,0,4,2,4,0,0,0,0,1,'0'
3,0,15,0,10,5,1,615,0,0.615385,6,101.166667,7,'1'
1,1,10,15,2,5,2,8,0,0,0,0.6,1,'0'
3,0,10,0,4,5,2,74,0,0.98,5,13.8,16,'0'
3,0,28,1,0,7,1.142857,273,0,0.857143,0,17.375,2,'0'
5,0,4,1,13,3,0.75,251,2,0.968992,5,48.4,10,'1'
1,0,0,5,1,0,2,188,0,0,0,0,0,'0'
1,0,39,3,12,14,0.826923,343,0,0,0,22.642857,2,'0'
1,0,0,0,0,1,2,8,0,0,0,3,0,'0'
1,0,0,7,5,7,0.305556,596,1,0,0,58.2,1,'0'
5,0,0,1,4,2,0.636364,179,0,0.989529,1,41,1,'0'
3,0,0,0,21,3,0.333333,123,1,0.949153,5,29.5,2,'0'
1,0,0,2,0,8,0.52381,217,0,0,0,25.375,4,'0'
3,0,3,1,5,3,2,40,0,0.953488,2,12.333333,1,'0'
4,0,4,1,19,5,0.5,225,0,0.969697,4,43.8,13,'0'
1,0,0,3,1,6,0.7,183,0,0,0,28.5,7,'0'
5,0,1,0,5,2,2,14,0,0.982143,7,6,1,'0'
1,0,5,2,2,8,0.714286,248,2,0,0,20.272727,5,'0'
1,0,1,2,0,0,1,38,1,0,0,16,2,'0'
1,0,49,2,6,12,0.833333,139,3,0,0,7.866667,6,'0'
2,0,0,1,13,7,0,74,1,0.5,0,9.428571,1,'0'
2,4,0,6,7,11,0.2,88,1,0.75,7,6.909091,3,'0'
5,0,0,4,25,15,0.535714,499,1,0.954064,0,32.133333,2,'0'
5,0,3,1,5,1,2,30,0,0.990698,2,9,1,'0'
5,0,1,1,4,2,0.5,28,0,0.992806,3,8,2,'0'
5,0,0,2,12,8,0.583333,426,1,0.94697,11,46,14,'1'
2,1,0,3,2,8,0,47,1,0.740741,1,4.75,1,'0'
5,0,1,1,5,0,2,19,0,0.995327,1,8.5,1,'0'
5,0,1,0,7,2,2,34,0,0.982456,6,16,1,'0'
6,0,0,1,1,1,2,6,0,1,0,5,0,'0'
