@relation mydataframe
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
0,0,1,3,0,2,0,1,0,0,3,0,'0'
0,21,1,0,7,2,0.910448,0.571429,2,2,8.571429,2,'0'
0,19,3,0,5,0.666667,0,0.444444,0,0,24.428571,1,'1'
0,273,1,0,20,0.730769,0.826667,0.145062,4,6,16.666667,8,'0'
0,0,1,4,1,2,1,1,0,0,7,0,'0'
0,8,4,4,3,0.75,0,0.5,0,0,4.6,2,'0'
0,133,2,0,6,0.781513,0.272727,0.313725,1,3,30.166667,11,'0'
0,8,1,4,3,0.75,0,0.5,0,0,4.6,2,'0'
0,0,1,4,2,1,0.933333,0.625,0,0,9,1,'0'
0,0,1,3,11,0.30303,0,0.316667,0,0,17,2,'0'
0,24,7,3,12,0.65,0,0.346154,0,0,21.461538,4,'0'
0,0,2,0,1,2,0,1,0,0,0,1,'0'
0,88,1,0,14,0.719298,0.672414,0.166667,1,3,33.1,5,'0'
3,1,3,1,2,0,0,0.666667,0,0,4,1,'0'
0,3,1,0,3,2,0.777778,0.833333,1,1,8,1,'0'
0,171,7,12,22,0.828283,0,0.147826,0,0,25.130435,4,'0'
5,112,7,7,10,0.614035,0,0.177273,0,0,11.6,3,'1'
0,68,0,3,12,0.833333,0.835616,0.487179,0,0,13.307692,3,'0'
0,26,3,0,6,0.714286,0.142857,0.238095,1,1,11.25,1,'1'
0,0,1,2,1,0,1,1,0,0,6,0,'0'
0,0,5,1,1,2,0,1,0,0,0,1,'0'
0,1,1,0,3,0,0,0.416667,0,0,69.333333,4,'0'
0,36,4,14,9,2,0,0.181818,0,0,14.888889,3,'0'
0,10,1,0,5,2,0.636364,0.666667,2,2,7.6,2,'0'
0,0,1,0,7,0,0.538462,0.464286,1,1,16.714286,3,'1'
5,85,5,0,12,0.588235,0.861789,0.205882,3,7,36.055556,10,'1'
0,439,2,10,35,0.909926,0.642105,0.371429,3,4,14.657143,3,'1'
0,0,2,2,2,0,0.944444,0.75,0,0,5.5,1,'0'
0,1,4,1,2,2,0,0.666667,0,0,0,1,'0'
3,1,3,4,2,0.5,0.857143,0.583333,0,0,8,1,'0'
0,45,5,23,9,2,0,0.3,0,0,94.7,25,'0'
0,0,6,1,1,2,0,1,0,0,0,1,'0'
0,25,2,6,8,0.518519,0.703704,0.55,1,2,17.6,2,'0'
0,154,4,4,13,0.967419,0.413793,0.233333,0,0,8.6,4,'0'
0,0,2,5,5,0.466667,0,0.55,0,0,13.333333,4,'0'
0,9,1,0,6,0.4,0,0.666667,0,0,5.5,2,'0'
0,1,10,0,1,0.75,0,0.75,0,0,8.333333,1,'0'
0,66,0,0,12,2,0.91791,0.472222,1,1,4.583333,1,'0'
0,374,15,0,25,1.012346,0,0.226337,0,0,31.642857,22,'0'
0,1,1,0,3,0.5,0,0.666667,0,0,3.333333,1,'0'
0,15,6,0,5,0.5,0,0.291667,0,0,171.285714,4,'0'
2,29,2,6,8,0.777778,0,0.65,0,0,5.3,2,'0'
0,0,10,1,3,0.5,0,0.555556,0,0,5,1,'0'
0,4,1,5,2,0.666667,0.5,0.5,0,0,5.5,1,'0'
0,0,1,3,1,2,1,1,0,0,7,0,'0'
1,121,14,9,22,0.877551,0,0.166667,0,0,20,8,'0'
0,23,1,2,9,0.5,0,0.433333,0,0,7.2,2,'0'
0,0,0,0,4,0.166667,0.636364,0.533333,1,1,27.2,5,'0'
0,91,3,16,7,2,0.74,0.276786,2,3,30.428571,1,'0'
0,30,0,7,12,0.8,0.847222,0.708333,0,0,8.666667,1,'0'
2,3,2,11,1,2,0.977011,1,0,0,49.666667,1,'0'
0,0,22,0,1,2,0,1,0,0,0,1,'0'
0,0,1,7,3,0.833333,0.875,0.444444,0,0,24,1,'0'
0,0,4,0,3,0.5,0,0.666667,0,0,5,1,'0'
6,28,6,0,9,0.75,0,0.333333,0,0,3.777778,1,'0'
2,21,2,0,7,2,0,0.761905,0,0,5.142857,1,'0'
0,28,5,0,4,2,0,0.71875,0,0,23.75,2,'0'
0,1,10,1,2,2,0,0.75,0,0,0,1,'0'
0,0,4,0,4,0.333333,0,0.5,0,0,7,1,'0'
