@relation mydataframe
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
15,1,0,18,37,15,0.75,271,4,0.255102,0,16.533333,13,'1'
3,3,0,2,3,1,1.5,60,0,0.555556,0,15,0,'0'
15,1,18,23,7,5,0.47619,229,0,0.380952,0,14.066667,4,'1'
2,3,0,6,1,4,2,14,0,0.5,0,6,1,'0'
2,1,0,11,1,3,2,2,0,0.833333,0,0,1,'1'
4,2,0,8,4,8,0.666667,141,0,0.666667,0,34,6,'0'
4,2,0,7,4,7,0.666667,78,1,0.444444,1,18.25,5,'1'
51,1,0,4,1025,3,0.86,481,0,0.236667,0,8.27451,3,'0'
14,1,0,14,0,9,0.730769,544,0,0.285714,0,37.285714,8,'0'
4,1,0,4,0,0,0.5,179,0,0.333333,0,42.75,4,'0'
2,2,2,16,1,14,2,373,0,0.666667,0,185.5,25,'0'
17,1,0,23,34,19,0.848214,673,6,0.242188,0,37.764706,30,'0'
3,2,0,10,3,10,2,139,0,0.555556,0,45.333333,10,'0'
10,1,0,33,45,5,2,10,0,0.283333,0,0,1,'0'
20,2,0,31,104,29,0.872807,844,1,0.185,0,40.6,39,'1'
15,2,0,12,67,12,0.761905,609,0,0.276786,2,39.4,9,'0'
3,2,0,8,3,8,2,114,0,0.555556,0,37,7,'0'
17,2,0,14,100,12,0.90625,444,2,0.3,0,24.647059,12,'1'
3,2,0,11,3,11,2,156,0,0.555556,0,51,12,'0'
3,3,0,7,3,7,2,46,0,0.555556,0,14.333333,3,'0'
2,3,0,5,1,3,2,183,0,0.666667,2,90.5,9,'1'
5,3,0,20,0,16,0,319,1,0.666667,2,62.6,23,'1'
12,1,0,10,66,3,2,12,0,0.285714,0,0,1,'0'
10,2,7,14,0,7,0,176,0,0.283333,0,16.5,3,'1'
8,2,0,21,0,21,0.535714,570,1,0.404762,1,69.75,4,'0'
3,1,0,4,3,2,2,3,0,0.666667,0,0,1,'0'
9,1,0,38,30,37,0.625,620,0,0.196429,0,67.777778,6,'1'
11,3,0,18,1,16,0.814286,542,1,0.30303,1,47.636364,16,'1'
3,1,0,5,1,5,0.5,21,0,0.5,0,5.666667,1,'0'
12,1,0,12,2,7,0.772727,319,0,0.25974,0,24.75,7,'1'
26,1,0,17,245,4,0.943333,193,1,0.194286,0,5.961538,4,'0'
4,1,0,7,4,6,0.333333,76,0,0.333333,0,17.75,5,'1'
3,3,0,13,3,13,2,142,0,0.555556,0,46.333333,9,'0'
23,1,0,18,143,17,0.878788,537,0,0.181818,0,21.956522,5,'0'
5,1,0,14,0,13,0.25,695,0,0.3125,0,137.8,50,'0'
43,1,0,18,781,0,0.953515,274,0,0.297674,0,4.883721,1,'0'
15,1,0,28,99,28,0.357143,507,0,0.314286,0,32.733333,19,'1'
6,3,0,71,13,21,0.9,219,0,0.366667,2,35.166667,8,'1'
3,3,0,7,3,7,2,46,0,0.555556,0,14.333333,3,'0'
5,1,0,13,0,6,0.5,151,0,0.583333,0,28.8,5,'1'
6,1,0,12,3,10,0.4,194,0,0.6,0,31,9,'0'
16,3,0,34,60,12,0.828571,428,0,0.25,1,25.3125,29,'1'
1,1,0,2,0,0,2,1,0,1,0,0,1,'0'
4,2,0,6,2,6,1.047619,97,0,0.666667,0,21.5,7,'0'
28,2,0,31,216,29,0.877493,828,3,0.203571,0,28.107143,17,'1'
4,2,0,10,4,10,0.666667,133,0,0.666667,0,32,6,'0'
3,5,0,6,3,5,2,18,0,0.5,0,5,1,'0'
7,1,0,8,9,5,0.5,151,0,0.566667,0,19.571429,5,'0'
1,1,0,10,0,1,2,1,0,1,0,0,1,'0'
3,4,0,83,3,0,1.5,17,0,0.777778,0,4.333333,0,'1'
4,2,1,13,0,12,2,178,0,0.5,2,43.5,9,'0'
6,1,0,10,15,10,2,35,0,0.361111,0,4.833333,1,'0'
3,1,0,11,1,11,0.625,200,0,0.666667,0,64.333333,11,'0'
5,1,1,21,0,19,0.25,242,0,0.5,0,47,4,'0'
8,3,0,3,8,3,0.785714,202,0,0.357143,3,24,1,'1'
1,1,0,1,0,0,2,1,0,1,0,0,1,'0'
4,3,0,11,2,11,0.666667,212,0,0.666667,0,51.25,15,'0'
6,1,0,17,11,16,1.044444,242,1,0.333333,0,37.833333,13,'1'
5,1,0,7,0,6,0.5,153,2,0.5,0,28.8,4,'0'
5,1,0,22,4,20,0.25,493,0,0.416667,0,96.8,1,'1'
0,1,0,0,0,0,2,0,0,0,0,0,0,'0'
4,3,0,9,2,9,0.666667,218,0,0.666667,0,52.75,16,'0'
3,1,0,5,1,4,0.5,40,2,0.5,0,11.666667,3,'1'
5,1,0,12,0,9,0.583333,46,2,0.25,0,7.6,1,'0'
11,1,0,16,11,13,0.616667,250,3,0.316667,0,21.181818,14,'0'
3,1,0,4,3,2,2,3,0,0.666667,0,0,1,'0'
2,1,0,6,0,5,0,36,1,0.625,0,16,1,'0'
3,2,0,10,3,10,2,56,0,0.555556,0,17.666667,4,'0'
3,3,0,11,3,11,2,145,0,0.555556,0,47.333333,10,'0'
8,2,0,8,0,6,0.571429,219,2,0.375,0,26,15,'1'
3,1,0,2,0,0,0,20,0,1,0,5.333333,1,'0'
4,3,0,5,4,5,0.666667,31,0,0.666667,0,6.5,1,'0'
4,1,0,24,0,9,0.333333,59,0,0.333333,0,13.5,1,'0'
22,2,0,4,135,4,0.878788,388,1,0.201058,0,16.136364,16,'1'
6,1,0,4,9,4,0.9,171,0,0.2,0,27.166667,1,'1'
5,1,0,11,8,10,0.25,122,0,0.3125,0,23.2,6,'0'
10,1,0,8,9,1,0.666667,148,0,0.475,0,13.5,2,'0'
2,1,0,8,1,2,2,2,0,0.666667,0,0,1,'0'
4,3,0,9,6,9,2,35,0,0.583333,2,7.75,1,'0'
6,1,0,13,15,1,2,6,0,0.458333,0,0,1,'0'
5,3,0,12,6,8,0.75,159,0,0.75,0,30.6,9,'0'
6,1,0,6,0,3,0,154,0,0.5,0,24.5,7,'0'
5,2,0,9,4,9,0.803571,384,0,0.5,0,73,28,'0'
7,1,0,9,5,9,0.708333,334,0,0.416667,0,46.142857,23,'0'
25,1,0,32,174,21,0.868056,740,2,0.333333,0,28.12,11,'1'
8,2,0,10,0,8,0.5,167,1,0.270833,0,19.625,6,'1'
10,1,0,7,35,3,0.851852,46,1,0.266667,0,3.3,1,'0'
2,2,0,2,1,1,2,10,0,0.75,0,4,1,'0'
6,1,0,10,3,8,1,232,0,0.6,0,37,10,'0'
15,2,1,14,61,11,0.8,307,2,0.333333,1,19.133333,18,'0'
27,3,0,11,349,11,1.030769,845,0,0.164835,1,29.740741,11,'0'
3,2,0,7,3,7,2,41,0,0.555556,0,12.666667,3,'0'
3,3,0,8,3,8,2,45,0,0.555556,0,14,3,'0'
4,3,0,5,4,5,0.666667,30,0,0.666667,0,6.25,1,'0'
4,2,0,8,2,8,0.666667,218,0,0.666667,0,51.5,14,'0'
2,3,0,8,1,2,2,9,0,0.75,0,3.5,1,'0'
4,2,0,10,6,10,2,456,0,0.4,0,113,18,'0'
4,2,0,11,2,11,0.666667,191,0,0.666667,0,46.25,14,'0'
3,2,0,11,3,11,2,225,0,0.555556,0,74,13,'0'
8,1,0,27,20,27,0.785714,313,1,0.333333,0,37.875,2,'1'
2,1,0,5,1,2,2,2,0,0.75,0,0,1,'0'
7,1,0,13,0,12,0.625,488,1,0.270833,0,68.142857,39,'1'
12,2,0,15,54,14,0.590909,117,1,0.21875,1,8.583333,1,'0'
6,1,0,7,1,2,0.666667,56,0,0.555556,0,7.833333,1,'0'
6,3,0,12,13,11,0.7,606,0,0.4,2,99.333333,15,'1'
9,1,0,10,26,2,0.928571,70,1,0.375,0,6,1,'0'
10,2,0,15,0,13,0.5,210,0,0.242857,0,19.8,9,'1'
8,1,0,4,28,0,2,8,0,1,0,0,1,'0'
4,2,0,4,4,4,0.666667,27,0,0.666667,0,5.5,1,'0'
17,2,0,17,88,16,0.888889,329,0,0.205357,0,17.823529,12,'0'
14,1,0,30,51,29,0.820513,511,2,0.192308,0,35.071429,17,'1'
4,1,0,13,4,9,0.666667,132,0,0.4,0,31.75,6,'0'
4,2,0,14,2,14,0.666667,161,0,0.666667,0,38,8,'0'
1,1,0,5,0,2,2,1,0,1,0,0,1,'0'
3,3,0,8,3,8,2,45,0,0.555556,0,14,3,'0'
4,1,0,19,2,18,0.583333,598,0,0.333333,0,147.5,40,'0'
7,1,4,20,9,4,0.5,220,0,0.333333,0,30.142857,7,'0'
4,2,0,18,0,16,0,268,1,0.5,0,65.75,27,'1'
6,2,0,10,0,7,0.533333,106,1,0.4,1,16.166667,2,'0'
9,1,0,24,32,24,0.875,235,0,0.270833,0,24.666667,7,'1'
9,1,0,11,22,11,0.75,351,0,0.4,0,37.777778,1,'1'
2,2,0,13,1,13,2,88,0,0.75,1,43,6,'1'
20,2,0,14,90,12,0.837321,677,3,0.190789,0,32.3,34,'1'
5,2,0,7,2,6,0.55,207,0,0.625,0,39.4,5,'0'
3,3,0,2,1,1,2,43,0,0.777778,2,13.333333,2,'0'
7,1,0,48,21,1,2,7,0,0.428571,0,0,1,'1'
3,1,0,9,1,8,0.5,50,0,0.5,0,15.333333,3,'1'
11,1,0,11,0,9,0.56,336,1,0.28,0,29.090909,3,'0'
2,2,0,10,1,10,2,38,0,0.75,1,18,3,'0'
67,1,0,44,1931,37,0.952102,1449,5,0.109091,0,20.164179,49,'1'
3,2,0,11,3,11,1.5,232,0,0.555556,0,75.333333,16,'1'
5,1,19,26,10,7,1,154,0,0.45,0,26.8,5,'0'
14,1,0,15,29,7,0.769231,159,2,0.3,0,9.928571,9,'0'
18,1,0,2,87,1,0.852941,200,0,0.361111,0,9.666667,1,'0'
4,3,0,5,4,5,0.666667,31,0,0.666667,0,6.5,1,'0'
2,1,0,4,1,0,1.689655,88,0,1,0,28.5,0,'1'
3,3,0,7,3,7,2,46,0,0.555556,0,14.333333,3,'0'
3,1,0,9,0,8,0,113,1,0.533333,0,35.666667,1,'0'
3,2,0,12,3,12,2,94,0,0.555556,0,30.333333,8,'0'
7,1,1,10,13,9,0.75,227,0,0.375,0,31.142857,20,'0'
3,2,0,10,3,10,2,110,0,0.555556,0,35.666667,9,'0'
3,2,0,12,3,12,2,144,0,0.555556,0,47,11,'1'
2,2,0,6,1,6,2,20,0,0.75,0,9,1,'0'
12,2,0,10,14,8,0.831169,390,1,0.3,0,30.916667,30,'1'
2,2,0,11,1,11,2,63,0,0.75,1,30.5,4,'0'
5,2,0,11,8,11,0.75,220,1,0.4375,2,42.8,12,'0'
7,1,0,7,9,4,0.333333,558,0,0.3,0,78.571429,12,'1'
16,2,1,17,58,14,0.8,918,0,0.333333,0,56,16,'1'
2,1,0,6,1,4,2,21,0,0.5,0,9.5,2,'0'
7,1,0,1,0,0,0.722222,113,0,0.428571,0,14.285714,7,'0'
10,1,0,11,0,7,0.746032,248,0,0.314815,0,23.1,6,'1'
9,1,0,10,6,5,0.671875,235,0,0.34375,0,24.222222,3,'1'
5,1,0,12,10,9,1,143,0,0.583333,0,27.4,1,'0'
2,1,0,11,1,1,2,2,0,0.75,0,0,1,'0'
4,1,0,7,6,1,2,4,0,0.7,0,0,1,'0'
6,1,0,11,3,10,0.4,214,0,0.266667,0,34.5,8,'1'
1,1,0,0,0,0,2,4,0,1,0,3,0,'0'
17,3,0,11,52,9,0.794643,535,3,0.218487,1,30.058824,21,'1'
3,1,1,2,0,1,0,17,0,0.666667,0,4.333333,1,'0'
1,1,0,1,0,0,2,1,0,1,0,0,1,'0'
4,1,0,11,2,10,0.583333,101,0,0.333333,0,23.25,4,'0'
7,1,0,5,13,3,0.766667,68,2,0.4,0,8,3,'1'
2,2,0,16,1,16,2,145,0,0.75,1,71.5,8,'1'
8,1,6,28,26,23,0.928571,342,0,0.371429,0,41.5,19,'1'
5,1,0,22,8,20,0.25,165,0,0.3,0,31.8,15,'1'
15,2,0,21,27,19,0.728571,357,3,0.192593,0,22.466667,13,'1'
8,2,2,12,12,9,0.75,709,0,0.678571,0,86.125,23,'1'
4,1,0,7,4,6,0.666667,30,1,0.5,0,6.25,2,'0'
8,1,18,34,22,16,0.771429,181,0,0.346939,0,21,5,'0'
3,2,0,13,3,13,2,128,0,0.555556,0,41.666667,8,'0'
22,2,0,25,135,23,0.865801,544,2,0.304762,0,23.227273,22,'1'
3,1,0,11,3,1,2,3,0,0.666667,0,0,1,'0'
9,1,0,14,0,10,0.5,406,1,0.3125,0,43.666667,7,'1'
2,2,7,12,1,5,2,40,0,0.666667,0,19,3,'0'
3,1,0,13,1,11,0.5,90,0,0.5,0,28,7,'0'
4,1,0,12,2,10,0.5,145,0,0.333333,0,34.75,12,'0'
1,1,0,1,0,0,2,1,0,1,0,0,1,'0'
9,1,0,2,22,1,0.8125,75,2,0.288889,0,6.888889,4,'0'
14,1,0,3,0,0,0.723077,126,0,0.446429,0,7.642857,4,'0'
2,1,0,4,1,2,2,2,0,0.75,0,0,1,'0'
14,2,2,19,47,13,0.666667,442,0,0.255102,0,30.357143,7,'1'
4,2,0,10,4,10,0.666667,174,0,0.666667,0,42,15,'0'
1,1,0,4,0,2,2,1,0,1,0,0,1,'0'
4,3,0,5,4,5,0.666667,30,0,0.666667,0,6.25,1,'0'
3,3,0,7,3,5,2,74,0,0.833333,1,23.666667,8,'1'
52,1,0,78,1326,10,2,52,0,0.126603,0,0,1,'0'
5,3,0,7,8,6,0.75,80,1,0.5,2,14.8,3,'1'
4,4,0,7,4,7,1,48,0,0.555556,1,10.75,1,'1'
3,3,0,5,3,4,2,33,0,0.555556,0,10,2,'0'
7,1,0,8,15,7,0.166667,245,0,0.4,0,33.857143,12,'1'
5,1,0,12,0,12,1,132,0,0.5,0,24.6,1,'0'
4,3,0,12,4,8,2,188,0,0.5,0,46,10,'0'
22,1,0,2,231,0,2,22,0,0.204545,0,0,1,'0'
3,1,0,11,1,9,0.5,158,0,0.5,0,51.333333,11,'0'
6,1,0,5,5,3,0.7,76,1,0.3,0,11,2,'0'
6,1,0,11,3,9,0.4,202,0,0.6,0,32.333333,8,'0'
1,1,0,1,0,0,2,1,0,1,0,0,1,'0'
6,1,0,7,5,6,0.55,163,0,0.3,0,25.5,4,'0'
6,2,1,7,13,6,0.8,139,1,0.45,2,22,6,'1'
4,2,0,4,4,4,0.666667,51,1,0.444444,1,11.5,3,'0'
4,2,0,11,4,11,0.666667,117,1,0.444444,1,28,6,'1'
5,2,0,10,6,10,1.027778,435,0,0.5,0,84.2,30,'0'
4,2,0,10,2,10,0.666667,260,0,0.666667,0,62.75,19,'0'
4,2,0,7,2,7,0.666667,66,0,0.666667,0,14.75,3,'0'
4,1,0,9,0,6,0.5,89,0,0.583333,0,20.75,5,'1'
11,1,6,23,49,18,0.4,566,0,0.2625,0,50.363636,35,'0'
23,2,0,22,175,18,0.881818,461,3,0.25974,1,18.608696,23,'0'
4,1,0,13,2,12,0.583333,126,0,0.333333,0,29.5,6,'0'
3,3,0,13,1,12,2,82,0,0.555556,2,26.333333,3,'0'
3,2,0,12,3,12,2,101,0,0.5,1,32.666667,7,'0'
50,1,0,46,697,20,0.871985,976,2,0.135008,0,18.3,8,'1'
4,3,0,5,4,5,0.666667,30,0,0.666667,0,6.25,1,'0'
2,2,7,14,1,7,2,46,0,0.5,0,22,3,'0'
2,3,0,5,1,3,2,106,0,0.666667,2,52,7,'1'
1,1,0,0,0,0,2,10,0,1,0,3,0,'0'
4,2,0,9,4,9,0.666667,150,0,0.666667,0,36.25,11,'1'
12,2,0,16,10,14,0.818182,435,1,0.238095,0,34.75,27,'1'
2,2,0,8,1,8,2,46,0,0.75,0,22,1,'0'
7,1,0,9,0,6,0.541667,265,1,0.333333,0,36.285714,3,'1'
2,2,0,11,1,6,2,50,0,0.75,0,24,5,'1'
3,2,0,9,3,9,2,50,0,0.555556,0,15.666667,4,'0'
2,3,0,10,1,8,2,114,0,0.75,1,56,11,'1'
3,2,0,8,3,8,2,88,0,0.555556,0,28.333333,8,'0'
1,1,0,0,0,0,2,6,0,1,0,3,0,'0'
3,1,0,8,1,6,0.5,26,0,0.5,0,7.333333,1,'0'
13,1,0,14,10,12,0.583333,382,1,0.190476,0,28,4,'0'
25,2,0,26,168,24,0.854167,753,1,0.188,0,28.64,16,'1'
6,1,0,34,0,32,0.5,620,0,0.371429,0,102,7,'1'
4,2,0,13,2,13,0.666667,167,0,0.666667,0,40,5,'0'
8,1,0,33,28,28,2,455,0,0.2,0,55.875,6,'1'
4,2,0,13,2,13,0.69697,222,0,0.666667,0,51.75,12,'0'
2,1,0,6,1,4,2,33,0,0.5,0,15.5,3,'1'
2,1,0,1,0,0,0,57,0,0.625,0,26,1,'0'
