@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
8,0,15,1,10,4,128,0,0,0.994206,0.333333,7,20.333333,5,'0'
6,0,28,3,6,1,573,1,2,0.983655,0.5,3,45.416667,2,'1'
7,0,69,3,28,8,732,1,2,0.98048,0.174603,0,50.571429,9,'1'
2,0,1,1,2,2,85,0,0,0.875,0.625,0,41.5,5,'0'
6,0,0,2,4,1,337,1,0,0.993994,0.5,4,64,3,'1'
2,0,1,0,1,2,16,0,0,0.75,0.75,1,7,2,'0'
8,0,1,3,11,2,206,0,0,0.998836,0.75,4,102,16,'0'
5,0,28,1,2,7,143,0,0,0.992974,0.5,1,16.875,3,'1'
1,0,21,36,0,7,7,0,0,0,0.52381,0,0,1,'0'
6,0,20,2,4,1,119,0.666667,1,0.991018,0.5,12,13.5,1,'0'
1,0,0,1,5,4,347,1,1,0,0.371429,0,47.285714,8,'1'
7,0,2,1,3,4,533,1,0,0.993912,0.4,0,103.8,7,'0'
2,0,2,1,4,4,197,1,0,0.935484,0.466667,7,37.6,8,'1'
1,0,10339,93,46,116,4593,0.76087,13,0,0.080909,0,29.313333,30,'1'
2,0,21,8,9,8,973,1,1,0.853333,0.589744,6,68.071429,11,'1'
3,0,0,2,7,10,541,1,0,0.666667,0.30303,4,47.818182,21,'1'
6,0,1,1,4,1,371,1,0,0.996988,1,4,118.666667,3,'1'
1,0,15,1,0,6,6,0,0,0,0.75,0,0,1,'0'
4,0,16336,53,37,193,9106,0.775862,10,0.724215,0.076316,14,35.483871,29,'1'
2,0,1,3,6,1,54,0,0,0.947368,0.666667,2,24.5,1,'0'
1,1,6,2,2,4,36,1,1,0,0.5,0,7.75,2,'0'
6,0,27,8,8,1,559,1,0,0.984871,0.363636,0,49.090909,9,'0'
2,0,1,1,7,1,50,0,0,0.947368,0.625,1,24,1,'0'
1,0,3,0,9,2,54,1,0,0,0.333333,0,16.666667,3,'1'
1,3,7,31,1,6,49,1,1,0,0.583333,0,6.833333,1,'1'
6,0,51,5,10,1,516,1,1,0.980741,0.5,12,35.285714,3,'0'
7,0,3,1,5,3,110,1,0,0.996947,0.666667,0,35.333333,1,'0'
7,0,517,7,26,8,1788,0.892857,5,0.94775,0.210526,8,44.128205,14,'1'
2,0,0,1,4,0,87,0,1,0.777778,0.444444,2,27.333333,7,'0'
1,0,0,4,1,8,368,0.104167,17,0,0.40625,0,34.555556,2,'0'
2,0,0,1,6,3,99,1,0,0.636364,0.6,0,18.4,4,'0'
1,0,0,9,7,21,1726,1,3,0,0.251701,0,80.857143,31,'1'
1,0,0,9,1,1,12,0,0,0,1,0,9,0,'0'
5,0,0,4,5,2,54,1,1,0.995856,0.416667,0,12,2,'0'
1,0,46,3,6,21,1223,1,3,0,0.254464,0,42.107143,16,'1'
6,0,10,2,3,3,181,1,0,0.98806,0.5,4,18.444444,1,'0'
6,0,1298,118,37,42,1532,0.482759,9,0.920114,0.083102,1,25.368421,19,'1'
1,4,400,24,14,26,504,0.454545,0,0,0.26129,0,14.40625,5,'0'
3,0,16,1,1,8,49,1,0,0.911392,1,0,4.875,1,'0'
1,0,10,0,2,5,12,0,0,0,0.8,0,1.4,1,'0'
2,0,3,1,3,0,20,0,0,0.777778,0.466667,2,5.666667,1,'0'
2,0,0,1,3,0,80,1,0,0.7,0.357143,2,18.25,5,'0'
7,0,29,2,9,4,392,1,0,0.984917,0.363636,0,34,4,'0'
1,0,6075,6,1,27,5223,0.717391,1,0,0.138067,0,42.483051,9,'0'
