@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,374,26,7,24,1.012346,926,0,0.226337,0,31.642857,23,'1'
1,2,3,2,1,4,0.6,36,0,0.444444,0,4.666667,1,'0'
2,0,4,1,4,2,0.666667,21,1,0.5,0,4,1,'0'
1,0,6,9,0,4,2,4,0,0.666667,0,0,1,'0'
1,0,0,6,2,1,2,1,0,1,0,0,1,'0'
2,0,235,147,5,20,0.852273,653,1,0.280303,1,26.869565,9,'1'
1,0,0,1,7,4,0.625,127,2,0.314286,0,23.6,4,'0'
4,0,200,1,0,18,0.854167,666,0,0.38,0,25.32,13,'1'
1,0,0,1,1,7,0.694444,86,0,0.571429,0,10.428571,1,'0'
1,0,154,5,2,21,0.905,141,2,0.184524,0,5.238095,1,'0'
2,0,1,1,1,2,2,11,0,0.666667,1,4.5,1,'0'
1,0,28,5,5,7,2,130,0,0.3125,0,15.25,5,'0'
4,0,406,2,0,27,0.925558,504,0,0.3,1,14.34375,1,'0'
1,2,70,2,2,9,0.833333,208,0,0.5625,0,14.846154,1,'0'
1,0,99,2,7,3,0.788889,329,1,0.263158,0,16.052632,5,'1'
1,0,1,3,3,1,2,144,0,0.5,0,71,10,'0'
1,0,0,2,2,1,2,1,0,1,0,0,1,'0'
1,0,234,6,4,23,0.591667,257,1,0.32,0,9.08,2,'0'
1,0,0,7,5,8,0,126,1,0.416667,0,14.625,1,'0'
1,1,0,24,2,5,0.375,41,1,0.466667,0,6.8,1,'0'
1,2,3,7,0,3,2,34,0,0.777778,0,10.333333,1,'0'
3,0,4,1,5,1,0.666667,27,1,0.5,1,5.5,1,'0'
1,1,0,5,1,5,0.5,32,1,0.466667,0,5,1,'0'
1,0,1,4,1,1,1,8,1,1,0,2.5,1,'0'
1,0,0,3,1,1,2,1,0,1,0,0,1,'0'
1,0,15,25,2,10,0.755556,138,1,0.233333,1,12.3,6,'0'
5,0,66,0,0,12,2,67,0,0.472222,1,4.583333,1,'0'
1,0,0,11,3,5,0,75,0,0.4,0,13.8,2,'0'
2,0,1241,7,0,16,0.943951,1589,1,0.205451,0,27.796296,5,'0'
3,0,2,1,3,5,0.85,61,0,0.333333,0,10.2,1,'0'
6,0,570,2,26,24,0.848765,1123,0,0.12012,4,29.108108,9,'1'
1,3,29,3,6,8,0.777778,67,1,0.65,0,5.3,2,'0'
2,0,20,0,6,4,0.5,221,0,0.4,0,26.375,5,'0'
2,2,0,2,2,1,0,19,1,0.625,0,8,1,'0'
1,0,108,5,3,20,0.809211,188,1,0.235714,0,8,1,'0'
1,2,1,2,1,2,0,16,0,0.666667,0,4,1,'0'
1,0,0,1,8,2,0,125,2,0.444444,0,39.666667,1,'0'
1,0,8,4,29,3,0.809524,955,2,0.3125,0,118,4,'1'
2,0,16,2,0,5,0.666667,336,1,0.46875,1,40.625,2,'0'
