@relation mydataframe
@attribute v.g. numeric
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Opnd numeric
@attribute total_Opnd numeric
@attribute bug {'1','0'}
@data
1.4,1.4,1.4,1.3,1.3,1.3,1.3,2,2,2,1.2,1.2,'0'
1,1,1,1,1,1,1,1,1,1,1,1,'1'
7,1,6,0.05,20.31,55.85,23029.1,10,8,1,36,86,'1'
3,1,3,0.06,17.06,254.87,74202.67,29,28,2,135,271,'1'
4,1,4,0.06,17.19,34.86,10297.3,1,6,0,16,50,'1'
2,1,2,0.08,12.25,47.55,7135.87,0,5,0,24,42,'1'
9,5,4,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.36,2.8,18.11,142.01,0,1,0,5,7,'1'
2,1,2,0,0,0,0,0,0,0,0,0,'1'
22,20,10,0,0,0,0,0,0,0,0,0,'1'
10,4,6,0,0,0,0,0,0,0,0,0,'1'
11,10,7,0,0,0,0,0,0,0,0,0,'1'
3,1,1,0.15,6.87,24.34,1150.68,0,2,0,12,15,'1'
4,1,4,0.06,17.35,40.1,12067.3,1,16,0,23,42,'1'
8,1,5,0,0,0,0,0,0,0,0,0,'1'
22,10,8,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.5,2,13.5,54,0,6,0,4,4,'1'
49,34,16,0.01,97,99.72,938311.06,92,17,0,64,388,'1'
8,1,1,0.02,40.95,28.35,47536.38,0,16,0,10,117,'1'
9,1,7,0.03,32.64,52.53,55961.02,0,14,0,47,118,'1'
17,13,8,0.03,33.41,61.94,69127.22,13,14,0,59,146,'1'
6,6,3,0.04,25.33,36.63,23506.58,0,13,0,24,64,'1'
35,26,16,0.02,42.56,77.45,140300.03,1,16,0,56,227,'1'
6,6,3,0,0,0,0,0,0,0,0,0,'1'
8,1,3,0.05,20.53,32.8,13824.9,0,7,0,16,73,'1'
43,33,24,0.02,40.88,142.15,237606.8,41,26,2,113,330,'1'
3,1,3,0.08,12.04,38.63,5599.99,0,6,0,25,43,'1'
5,4,3,0.03,33.11,146.86,160969.13,11,23,1,103,310,'1'
16,9,5,0.03,34.52,35.83,42683.63,19,6,1,29,91,'1'
3,1,3,0.08,13.09,70.84,12140.27,1,9,0,44,72,'1'
2,1,2,0.19,5.2,24.86,672.19,1,3,0,10,13,'1'
6,4,4,0.06,16.67,35.7,9916.61,0,4,0,21,50,'1'
1,1,1,0.5,2,13.5,54,0,6,0,4,4,'1'
3,1,1,0.11,9,13.11,1062.25,4,0,0,5,10,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
21,21,8,0,0,0,0,0,0,0,0,0,'1'
6,1,5,0.04,28.21,38.01,30254.54,6,19,6,28,79,'1'
