@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,9,61,6,11,0.769231,425,1,0.294872,0,29.142857,8,'0'
2,0,4,0,3,0,0.541667,300,1,0.333333,3,41.285714,16,'0'
1,0,3,9,3,5,0.6,113,3,0.333333,0,16.333333,5,'0'
2,0,16,3,8,5,0.666667,92,0,0.444444,0,13.833333,1,'0'
2,0,5,0,4,0,0.125,206,0,0.35,3,39.8,11,'0'
2,0,10,2,8,3,0.555556,174,0,0.5,1,41.75,1,'0'
2,0,6,0,4,6,0.285714,157,0,0.40625,2,18.5,2,'0'
1,0,2,0,1,3,0.222222,62,0,0.666667,0,13.75,3,'0'
1,0,5,10,1,5,2,5,0,1,0,0,1,'0'
2,0,1,6,1,0,2,93,0,0.571429,2,22.25,5,'0'
1,2,11,39,3,8,0.777778,33,1,0.25,0,2.2,1,'1'
2,0,14,10,12,1,1.071429,182,0,0.72,0,34,1,'0'
5,0,41,1183,27,25,0.930334,1425,5,0.122896,12,24.907407,11,'1'
6,0,6,6,5,3,0.75,260,1,1,4,50,3,'1'
2,0,7,25,6,9,0.833333,198,0,0.386364,2,16.727273,4,'0'
1,0,58,925,21,42,0.776471,1458,5,0.144,0,27.254902,33,'0'
6,0,21,117,20,6,0.771242,762,0,0.1875,6,40.833333,7,'1'
2,0,6,9,4,7,0.722222,64,1,0.357143,1,7.714286,1,'0'
6,0,4,1,3,1,0.5,330,0,1,4,105.333333,3,'1'
4,0,59,11469,39,169,0.883278,7612,10,0.084392,9,34.872038,25,'1'
1,0,70,725,21,34,0.955263,1492,1,0.135965,0,37,16,'1'
1,0,31,0,1,1,2,1,0,1,0,0,1,'0'
1,0,5,2,0,2,1.083333,179,0,0.333333,0,41.75,20,'1'
7,0,7,52,7,10,0.709091,279,2,0.277778,0,21.833333,3,'1'
5,0,31,57,22,12,0.595238,828,6,0.210526,1,42.210526,21,'1'
1,3,29,7,1,6,0.6,49,1,0.583333,0,6.833333,1,'0'
6,0,9,5,8,1,0.733333,300,1,0.5,12,41.142857,5,'1'
7,0,7,65,7,4,0.846154,313,1,0.285714,0,20.857143,3,'1'
7,0,22,315,20,4,0.83014,1603,5,0.233333,2,51.533333,11,'1'
2,0,6,0,6,0,0,69,1,0.571429,1,32.5,7,'0'
1,0,4,0,1,8,1.015957,361,16,0.40625,0,33.888889,2,'0'
2,0,7,4,6,3,0.625,93,0,0.6,0,17.2,4,'0'
1,0,10,0,1,1,2,12,0,1,0,9,0,'0'
6,0,6,0,5,2,0.8,210,1,0.32,0,40,2,'0'
7,0,8,2,8,4,0.5,364,1,0.466667,0,70.8,3,'0'
2,0,10,1,9,2,2,106,0,0.625,2,52,1,'0'
2,0,5,13,4,9,0.722222,230,1,0.472222,3,21.6,3,'1'
6,0,4,1,3,1,0.5,370,0,1,4,118,5,'0'
8,0,10,1,9,2,2,175,0,0.75,3,86.5,15,'1'
5,0,4,28,2,7,2,143,0,0.5,1,16.875,3,'0'
1,0,36,21,0,7,2,7,0,0.52381,0,0,1,'0'
6,0,5,20,4,1,0.761905,123,1,0.5,12,14,2,'1'
4,0,10,337,7,25,0.927203,628,3,0.127778,18,19.333333,20,'1'
2,0,12,6,11,1,1,279,0,0.45,1,68.5,4,'0'
1,2,14,15,8,7,0.566667,182,3,0.236364,0,15.272727,3,'0'
2,0,12,1,11,1,2,185,0,0.625,2,91.5,1,'0'
2,0,10,1,9,1,1,79,0,0.625,1,38,1,'0'
2,0,1,1,1,2,2,14,0,0.75,0,6,1,'0'
6,0,3,1,2,3,0.5,263,0,1,4,84,5,'1'
1,2,6,76,2,8,0.972222,439,0,0.318182,0,32.538462,10,'0'
6,0,5,2,3,3,0.458333,191,1,0.4375,11,36,8,'1'
1,0,4,1,2,2,2,2,0,1,0,0,1,'0'
1,0,41,898,5,28,0.795455,1472,2,0.083333,0,31.622222,12,'0'
1,0,23,630,14,14,2,1557,0,0.155983,0,42.25,30,'0'
1,0,1,0,0,0,2,6,0,1,0,3,0,'0'
1,0,12,129,6,9,0.873016,593,5,0.140909,0,25.272727,11,'1'
1,0,5,13,0,6,0.5,64,0,0.166667,0,7.857143,4,'0'
